P2,P1,Time
1,1,54791170
2,1,33066398
3,1,46556333
4,1,34802029
5,1,30882564
6,1,26208906
7,1,24923724
8,1,29789747
9,1,20041097
10,1,23225669
11,1,21752263
12,1,18230684
13,1,22388576
14,1,27434040
15,1,27930270
16,1,25432209
17,1,26564018
18,1,19506450
19,1,24466735
20,1,21734479
21,1,25605594
22,1,20804150
23,1,17798511
24,1,22300511
25,1,19784232
26,1,18424710
27,1,24921603
28,1,22470990
29,1,18246774
30,1,21297954
40,1,25988978
50,1,23649446
60,1,25018000
70,1,20302830
80,1,18762359
90,1,23938203
100,1,21696346
200,1,21241304
300,1,22316913
400,1,25265913
500,1,27846584
600,1,19311302
1,2,38159752
2,2,26283677
3,2,26980060
4,2,21140290
5,2,23699086
6,2,28412104
7,2,28281532
8,2,27357576
9,2,25656373
10,2,24314367
11,2,23018994
12,2,25742276
13,2,27859570
14,2,24751514
15,2,26831736
16,2,27209019
17,2,27732029
18,2,25518799
19,2,25810251
20,2,26205062
21,2,21666839
22,2,22811740
23,2,26732879
24,2,27729504
25,2,24627428
26,2,23756281
27,2,25796543
28,2,26535925
29,2,27443942
30,2,25473421
40,2,21783396
50,2,23449601
60,2,27741583
70,2,27510727
80,2,25865984
90,2,24494020
100,2,23572153
200,2,26996346
300,2,28925555
400,2,28714187
500,2,24247855
600,2,22472630
1,3,44211165
2,3,46183183
3,3,19567100
4,3,20546075
5,3,24901459
6,3,22465126
7,3,20049677
8,3,23047442
9,3,23743309
10,3,18839699
11,3,21609190
12,3,24443811
13,3,23155217
14,3,26401086
15,3,24760363
16,3,26955709
17,3,22731803
18,3,20027097
19,3,21190600
20,3,23351163
21,3,24511754
22,3,25416103
23,3,24323394
24,3,21215872
25,3,21322386
26,3,23849119
27,3,18526719
28,3,21927148
29,3,23733463
30,3,24937102
40,3,24606208
50,3,19612201
60,3,19389108
70,3,22795594
80,3,19825119
90,3,20311761
100,3,24375571
200,3,21446859
300,3,23656408
400,3,23725205
500,3,23880575
600,3,21182491
1,4,24969340
2,4,24393641
3,4,23373652
4,4,22354669
5,4,21042491
6,4,21385761
7,4,25032067
8,4,25208216
9,4,25102542
10,4,19911857
11,4,23611938
12,4,20763257
13,4,21642055
14,4,21921498
15,4,19687506
16,4,23753458
17,4,27282646
18,4,25867435
19,4,24759045
20,4,21908282
21,4,24517295
22,4,25048203
23,4,31288920
24,4,29624032
25,4,33121833
26,4,22812519
27,4,19435067
28,4,22191111
29,4,25843598
30,4,25562984
40,4,23088492
50,4,24112804
60,4,19808796
70,4,21356432
80,4,24949980
90,4,21403057
100,4,21522270
200,4,21732462
300,4,23399142
400,4,23196925
500,4,22472106
600,4,25056094
1,5,34743168
2,5,34927485
3,5,20196325
4,5,25707378
5,5,24452733
6,5,23294882
7,5,19872839
8,5,20146928
9,5,28820821
10,5,24076015
11,5,22622328
12,5,47578592
13,5,27254364
14,5,25877220
15,5,61196636
16,5,40524316
17,5,20325932
18,5,42466301
19,5,25108932
20,5,27752350
21,5,31558948
22,5,50061732
23,5,47254265
24,5,52203537
25,5,20757152
26,5,43544623
27,5,25751865
28,5,24632633
29,5,24758050
30,5,22442788
40,5,41279756
50,5,24783241
60,5,23204649
70,5,24787322
80,5,26104377
90,5,22312489
100,5,24034883
200,5,27476576
300,5,21433310
400,5,20562640
500,5,25139069
600,5,22825878
1,6,32635014
2,6,29728590
3,6,38198300
4,6,22339516
5,6,20822362
6,6,28292229
7,6,24809464
8,6,20326400
9,6,18416114
10,6,22902892
11,6,20806438
12,6,25752172
13,6,24326047
14,6,24169396
15,6,20615803
16,6,24277903
17,6,28717552
18,6,38603457
19,6,20678501
20,6,31891395
21,6,25341369
22,6,27840447
23,6,18040809
24,6,20843909
25,6,23557916
26,6,26170536
27,6,22500866
28,6,20004828
29,6,21613075
30,6,23129267
40,6,22724644
50,6,19092760
60,6,24429206
70,6,52147821
80,6,49238192
90,6,21619466
100,6,20632381
200,6,24397688
300,6,25272942
400,6,24322395
500,6,21694046
600,6,19685793
1,7,29382310
2,7,30767303
3,7,27120991
4,7,20805757
5,7,24919925
6,7,22023105
7,7,17545907
8,7,23795695
9,7,21176077
10,7,24875745
11,7,20521055
12,7,18917538
13,7,23383406
14,7,19437066
15,7,19368472
16,7,24618930
17,7,20283605
18,7,19171010
19,7,23787773
20,7,20572286
21,7,24814321
22,7,19515210
23,7,19605525
24,7,23175039
25,7,18971951
26,7,21011530
27,7,24168039
28,7,19586411
29,7,19015206
30,7,23456618
40,7,19380569
50,7,19902574
60,7,23988174
70,7,19452383
80,7,18872162
90,7,24222861
100,7,21309832
200,7,20124287
300,7,24406629
400,7,20466299
500,7,24383005
600,7,20372592
1,8,25049183
2,8,25881655
3,8,23321328
4,8,23598188
5,8,18634346
6,8,22755151
7,8,21346330
8,8,24927823
9,8,19744434
10,8,18807213
11,8,23175123
12,8,20046412
13,8,19619975
14,8,26229180
15,8,23600407
16,8,18353700
17,8,23611982
18,8,23683841
19,8,19419546
20,8,20830443
21,8,23600485
22,8,23926439
23,8,25451534
24,8,23020889
25,8,25219010
26,8,28354750
27,8,25034963
28,8,58698453
29,8,47734146
30,8,27288906
40,8,28055533
50,8,19145489
60,8,17053606
70,8,24786269
80,8,17849477
90,8,21545164
100,8,27409999
200,8,24654694
300,8,20851701
400,8,23586453
500,8,17380171
600,8,19998026
1,9,31433412
2,9,31570704
3,9,32709303
4,9,27916989
5,9,25744700
6,9,21397469
7,9,22933123
8,9,29061460
9,9,27675527
10,9,26515495
11,9,20892668
12,9,20824348
13,9,27557646
14,9,24257938
15,9,25005061
16,9,26573727
17,9,26084354
18,9,20227071
19,9,21853797
20,9,25443265
21,9,25478110
22,9,20060188
23,9,22770896
24,9,26472433
25,9,27307693
26,9,22993376
27,9,21729315
28,9,26651220
29,9,27519907
30,9,23886716
40,9,27689260
50,9,21851145
60,9,24113273
70,9,23922039
80,9,18293584
90,9,22223167
100,9,24624991
200,9,19228710
300,9,19601647
400,9,22373986
500,9,18369260
600,9,21220237
1,10,45413113
2,10,28671757
3,10,18456886
4,10,20223639
5,10,22653674
6,10,25391436
7,10,23018906
8,10,18588289
9,10,20048598
10,10,22692558
11,10,26660712
12,10,23630064
13,10,23373794
14,10,18175610
15,10,26221387
16,10,20701334
17,10,24516440
18,10,21560183
19,10,18594129
20,10,22591073
21,10,20617617
22,10,25394127
23,10,27949971
24,10,23759174
25,10,21610238
26,10,27155227
27,10,26435115
28,10,22946123
29,10,21528916
30,10,38929252
40,10,40289963
50,10,18974951
60,10,24903555
70,10,24292415
80,10,23630176
90,10,18218411
100,10,21931822
200,10,28376990
300,10,28087878
400,10,20315292
500,10,22456530
600,10,25278359
1,11,35158105
2,11,28104911
3,11,23329599
4,11,18659293
5,11,20620625
6,11,24530401
7,11,19887331
8,11,28249089
9,11,27880654
10,11,26574890
11,11,24280041
12,11,18655292
13,11,24636737
14,11,27211786
15,11,24439967
16,11,19353160
17,11,18811140
18,11,22510559
19,11,17728343
20,11,26887746
21,11,28372345
22,11,25251225
23,11,25021174
24,11,27765932
25,11,20151638
26,11,25947973
27,11,27385462
28,11,23193389
29,11,20822182
30,11,23799774
40,11,27566611
50,11,25423930
60,11,18807151
70,11,19787271
80,11,23578930
90,11,24965045
100,11,23192083
200,11,25786568
300,11,25522728
400,11,24377333
500,11,24616615
600,11,26112178
1,12,37182861
2,12,36538603
3,12,23154200
4,12,21488682
5,12,22332262
6,12,24991125
7,12,24243089
8,12,25480235
9,12,25122986
10,12,24356761
11,12,20002119
