#(threads),time taken(in ns)
1,264870174
2,83117225
3,83567210
4,41091951
5,42864983
6,36710434
7,55878226
8,48174695
9,47695590
10,37526982
11,36938551
12,34911219
13,37958218
14,38476126
15,43848625
16,37869906
17,45627189
18,37108523
19,34106958
20,38827883
21,37347495
22,37102173
23,37564603
24,34743984
25,40494641
26,40396645
27,37791996
28,40301774
29,36911807
30,37104379
31,38111142
32,38311340
33,38816431
34,41559940
35,40402823
36,38822017
37,41511408
38,41453539
39,41320681
40,42905465
41,38801127
42,42011024
43,35975781
44,42594087
45,41152753
46,42593917
47,42891590
48,41727067
49,45599738
50,46038293
51,36203352
52,42054018
53,45762148
54,49913350
55,48925112
56,54503916
57,50120464
58,52495868
59,52196614
60,46988541
61,53830021
62,54083110
63,52833708
64,56971559
65,55240813
66,51446220
67,56009477
68,55648003
69,49384790
70,49922469
71,54343218
72,51077043
73,51097401
74,52034868
75,48736603
76,58052384
77,53067166
78,56990466
79,53563304
80,53674343
81,51146733
82,54906964
83,52680649
84,50317607
85,51921830
86,52089223
87,52190127
88,47965842
89,50081721
90,52666608
91,49121036
92,48488884
93,53340715
94,50853187
95,48363783
96,53487258
97,53107427
98,50371374
99,48711279
100,48744322
101,47825135
102,48000569
103,50431636
104,55149875
105,47513735
106,46905878
107,48543283
108,51208166
109,49368288
110,51974049
111,49391766
112,50902728
113,52613858
114,52525594
115,51243924
116,49203101
117,50253896
118,48263052
119,50723123
120,51894953
121,49764374
122,53092942
123,52333241
124,56462741
125,53188091
126,53167402
127,51802745
128,48091871
129,48871104
130,52017572
131,51811499
132,54642462
133,56000260
134,52045717
135,53295580
136,52898422
137,52500215
138,52427311
139,50810193
140,57018139
141,55698225
142,55292811
143,50696347
144,54569438
145,51657311
146,53986987
147,52113852
148,54457767
149,57072225
150,55784378
151,54756071
152,53579498
153,53563785
154,57397771
155,55556636
156,52303444
157,56665261
158,57566896
159,50748321
160,54119542
161,57800797
162,52735565
163,53788181
164,53332348
165,51026705
166,56053743
167,53092011
168,51935450
169,54270266
170,50510770
171,56039626
172,55463744
173,53069736
174,55097424
175,54045637
176,58964688
177,54298892
178,56841038
179,53370107
180,54618057
181,54966689
182,51693422
183,52130519
184,53162241
185,51755266
186,53888729
187,53981498
188,51038291
189,53351371
190,52481406
191,49042469
192,52119993
193,54660599
194,56035669
195,55660000
196,56151802
197,51086074
198,53230167
199,55137731
200,51920174
201,58426258
202,57579506
203,52441686
204,55507013
205,54915901
206,52096930
207,55317786
208,51844018
209,54669521
210,54208600
211,54342132
212,52662067
213,55986583
214,51085633
215,53464015
216,56032904
217,54045571
218,53592068
219,54942839
220,57171597
221,55797196
222,56066664
223,55203284
224,52803511
225,54585546
226,52898959
227,55634068
228,53642951
229,52830626
230,55326865
231,55621731
232,54530751
233,52403597
234,54768099
235,56501419
236,55091835
237,54356640
238,54827999
239,54336682
240,53927427
241,54398979
242,53845981
243,53503923
244,55911602
245,53711338
246,54242740
247,51789149
248,56795658
249,54229748
250,54951201
251,54957331
252,53241103
253,57400633
254,53672540
255,54853297
256,57402773
257,55131553
258,55038709
259,54965775
260,58216491
261,56391017
262,50693530
263,57249512
264,55300547
265,58303285
266,55262870
267,55738188
268,56198527
269,54993814
270,55721981
271,54464047
272,58222552
273,53970591
274,56101800
275,56250163
276,57302212
277,55244759
278,55539907
279,56715327
280,54665883
281,55688484
282,51900875
283,54588402
284,53943204
285,55182195
286,56252217
287,54560366
288,54978840
289,56129697
290,54288145
291,53204852
292,52771951
293,56286603
294,54383519
295,55643634
296,53446658
297,54408569
298,52968728
299,54561462
300,55266514
301,52527333
302,54536908
303,53603633
304,54837891
