#(threads) in P2,#(threads) in P1,time taken(in ns)
1,1,14765490
8,17,5827257
1,3,18556655
7,15,4050520
1,20,64164925
2,3,58676845
7,16,5602108
1,2,65842315
7,19,3550552
1,22,66336101
2,8,4098189
1,18,3999313
5,17,38473603
2,9,66864535
4,7,8557956
3,19,43644947
5,8,3744759
4,5,14166116
4,4,12951023
2,14,56271316
5,12,61789861
4,17,48514614
7,17,29989038
3,15,50802351
3,23,47913365
3,21,61941350
7,14,29598051
5,22,47803252
1,24,69053582
7,20,27340869
4,8,22969180
7,13,25120397
5,5,17972786
1,19,23543484
6,3,45889387
7,25,21867827
2,4,68896391
8,1,19418739
8,6,13666704
7,18,36052079
8,2,18986386
5,2,37269168
5,6,13860097
2,11,5104573
8,23,42780223
7,12,7005859
3,11,15289011
5,24,61251551
4,19,61549116
5,25,4654398
2,21,60372501
3,22,59683862
5,7,59955594
6,4,58775835
6,5,17758051
4,10,59443177
3,12,8697498
5,11,59315025
5,20,8052501
6,10,47453162
5,16,57293887
8,9,18283392
6,7,22655181
4,11,62843964
3,16,71133565
2,24,9388559
4,14,67882175
3,9,78458831
5,15,62160207
8,7,19274795
6,24,8427983
8,19,19161559
5,3,73266606
5,13,32838325
3,13,20386274
5,14,34766064
5,10,66062319
5,9,23318057
8,20,26438597
4,20,36820668
6,2,66873486
7,24,52853001
4,23,59036276
3,17,57887497
4,21,45659364
9,14,21095615
10,16,6705298
2,23,28616779
9,22,22209444
1,7,27937777
3,1,43600291
8,5,42794749
8,24,44158434
4,22,43242642
7,22,22397769
8,3,17836105
2,25,43361666
10,22,6897759
4,24,72317716
10,1,27475482
10,24,11438562
10,4,25195320
10,5,17219903
9,23,24128618
2,22,35702312
10,13,34839890
1,11,29867663
9,18,40606023
7,21,37358670
6,15,3514883
9,24,34434948
6,1,60533749
1,8,48635960
8,16,52546533
10,6,35385047
8,25,58077246
8,18,54982851
8,8,65390293
10,9,26070247
10,10,30758878
9,15,35151681
10,3,35561754
10,12,31634330
10,14,29971141
6,16,11274320
10,8,36417435
8,10,56081850
9,4,30674268
1,5,61950316
9,9,13012492
9,11,30304943
8,4,44319076
9,2,33351272
9,25,43394727
6,12,29699083
9,19,46730514
6,13,28731349
1,6,65638767
9,13,66428653
8,15,66377712
6,14,28826025
7,23,66279273
9,6,44489434
10,11,67726375
8,22,67931111
9,1,69695083
10,17,35653712
8,14,72460013
8,12,75132873
9,7,46168655
9,20,74263399
7,10,5350953
9,21,70688495
8,13,70959312
10,7,71513680
8,11,71114166
10,18,35750354
10,2,59426781
9,17,64949211
10,20,31526002
6,11,47810125
6,17,21302927
7,11,19526949
9,3,50594778
10,21,39081492
10,25,35096556
7,2,29555952
9,12,72042748
9,10,37225149
6,22,34442639
7,3,35522050
6,25,32922616
10,23,45684647
7,6,36668289
6,21,31367835
7,1,40588601
7,9,30595761
6,18,38035415
9,5,36426836
6,19,46482541
10,15,41523866
7,5,40498799
9,16,78963313
7,8,44226140
9,8,83688370
7,7,66408278
7,4,65463784
6,23,89328490
6,20,90626100
10,19,137561909
