#(threads),time taken(in ns)
532,56688343
533,60228289
534,56976034
535,55238102
536,56099066
537,56666378
538,55598538
539,57288237
540,56097249
541,57739296
542,58253995
543,57240707
544,59927005
545,59649215
546,57036385
547,58379456
548,56959517
549,56099808
550,59330958
551,55466170
552,57961643
553,56795206
554,55722920
555,55754094
556,55535168
557,57493727
558,56525106
559,59052083
560,57008331
561,58901641
562,56965134
563,58091365
564,57772552
565,58065740
566,56946376
567,56961430
568,57036958
569,56922040
570,58994364
571,57526819
572,59228097
573,57383404
574,57241186
575,57905558
576,59052166
577,55143778
578,56953371
579,58034345
580,58571687
581,59581154
582,56092609
583,55980116
584,57321376
585,58571716
586,58889435
587,57347869
588,58297901
589,62496561
590,56463137
591,58974037
592,59723344
593,56852677
594,56628522
595,57062893
596,59849374
597,58443292
598,56099265
599,56496353
600,59006290
601,56675810
602,58601734
603,55876564
604,56506087
605,58640121
606,57323822
607,55971856
608,56770059
609,57644409
610,56943946
611,56523735
612,58690872
613,59700932
614,57848660
615,57360977
616,58326467
617,58620214
618,56998335
619,58040054
620,58684318
621,59481118
622,58118175
623,58461164
624,55557755
625,58704803
626,57997705
627,61033843
628,57460683
629,57429292
630,57494281
631,57929122
632,57183891
633,58996536
634,57529590
635,58574646
636,59071181
637,57110619
638,59457356
639,58405382
640,58654135
641,58234561
642,58242904
643,58901982
644,60913972
645,59514991
646,59416700
647,59634335
648,58678711
649,61079161
650,61264473
651,57399519
652,58406817
653,58289718
654,61705237
655,61731789
656,59667058
657,60226235
658,60466855
659,58154364
660,58909155
661,61222114
662,57910818
663,59125675
664,58648162
665,57500366
666,57538104
667,57735618
668,57291482
669,57187836
670,54857747
671,58434273
672,58552862
673,59553033
674,57670215
675,57065957
676,57053562
677,56386211
678,57166058
679,58582439
680,57761265
681,56707681
682,58515585
683,62157572
684,56101872
685,58587092
686,57279099
687,56817333
688,60356634
689,60119530
690,54711195
691,60064975
692,60093040
693,56322189
694,58680928
695,57726380
696,56477607
697,59120061
698,57197352
699,56217129
