#(threads),time taken(in ns)
1,177321724
2,66176293
3,63243492
4,35782277
5,35566896
6,31276091
7,51630339
8,40735311
9,37200092
10,47348769
11,38100032
12,37047247
13,34987388
14,38452201
15,38075121
16,44033888
17,40383113
18,46725667
19,43758670
20,37665668
21,38492994
22,41559290
23,37667800
24,37845531
25,32025782
26,40338338
27,35188373
28,35354289
29,42869533
30,38915942
31,33679245
32,34622209
33,37828779
34,39277803
35,39339661
36,41943442
37,38290394
38,37086273
39,39612707
40,39279169
41,35207140
42,37563103
43,43218888
44,38730182
45,45031588
46,39341527
47,41058738
48,45261756
49,45021542
50,45368307
51,40484613
52,44614713
53,49967972
54,45560805
55,54420455
56,48312123
57,40530759
58,42102609
59,50554967
60,46523654
61,47714503
62,40325167
63,49496769
64,47579220
65,58672480
66,49927613
67,49822246
68,48845629
69,45848242
70,51141685
71,51709900
72,43039127
73,46476483
74,53655327
75,46360151
76,47288246
77,50807282
78,50767937
79,50977901
80,55162252
81,53184474
82,47053471
83,50287011
84,54895689
85,51374846
86,49569840
87,47702849
88,51440119
89,48415426
90,48563967
91,49350579
92,45986182
93,48114695
94,48572989
95,46184737
96,49339379
97,50904053
98,47572437
99,47940753
100,52914343
101,42374882
102,44653692
103,53120764
104,49247853
105,52012453
106,57516579
107,51938798
108,47464498
109,57412211
110,45021982
111,47186349
112,48497208
113,49412374
114,50756322
115,50552979
116,46912302
117,58818569
118,53319413
119,58466237
120,52793506
121,63301736
122,55998997
123,52508608
124,51770857
125,49434679
126,48756846
127,48236754
128,47590023
129,46131628
130,49859965
131,52940590
132,48863530
133,54940124
134,57262174
135,46647493
136,49302201
137,48002331
138,50600695
139,56573502
140,51960619
141,50716531
142,51928416
143,52124516
144,49778360
145,67262933
146,62643267
147,70203001
148,66145302
149,53393137
150,59470450
151,64642938
152,68969004
153,45847108
154,53337087
155,57795146
156,61517261
157,49687983
158,49571374
159,55744506
160,52588009
161,44216661
162,55861470
163,51120749
164,46011832
165,47829179
166,50899033
167,72174927
168,72406100
169,88929010
170,66234798
171,57838474
172,54723895
173,56168038
174,51503813
175,53217267
176,47457662
177,60469436
178,59085174
179,53310453
180,56270171
181,59426441
182,56098655
183,49558145
184,53589439
185,47839734
186,54645036
187,52766564
188,58806636
189,59933443
190,49712463
191,54910461
192,51179996
193,50976369
194,52137483
195,50965107
196,56983838
197,47597496
198,51088842
199,54287316
200,49274850
201,54207743
202,73426948
203,62135556
204,66397153
205,57064219
206,60523052
207,67379871
208,58592867
209,61967907
210,58525937
211,57907819
212,59588610
213,57610092
214,73325958
215,64731090
216,54115975
217,54842299
218,51226337
219,51608189
220,56132491
221,66718486
222,68263714
223,49750941
224,49430481
225,49356034
226,52983771
227,54167795
228,51135465
229,51711573
230,62822894
231,63402307
232,65613404
233,77237991
234,77918414
235,62319068
236,59606297
237,53679981
238,91198533
239,61988500
240,62824946
241,51906072
242,52698840
243,54652763
244,57925340
245,51828747
246,49893141
247,59558658
248,48424529
249,51263936
250,53598260
251,56964603
252,51674814
253,51242462
254,56702600
255,52924522
256,53591835
257,62352204
258,51669981
259,51138980
260,52825882
261,53927258
262,59480189
263,52955438
264,58450081
265,51392137
266,54350597
267,58484215
268,67749936
269,63970679
270,59978035
271,85180081
272,51745011
273,59526575
274,57848951
275,66414219
276,51030526
277,55712522
278,57159472
279,56716308
280,63292347
281,49349140
282,57672879
283,54722592
284,54041636
285,66673416
286,51331709
287,53598384
288,50457390
289,57491682
290,58836283
291,57853739
292,61597424
293,66061263
294,57721606
295,63715648
296,61908701
297,54318953
298,55609931
299,53305479
300,55200059
301,59389961
302,55333400
303,60724379
304,66097322
305,62378952
306,50516138
307,58676200
308,56056559
309,53015461
310,58460226
311,54895757
312,53027170
313,55423979
314,54154739
315,49293372
316,53664669
317,57501349
318,53430946
319,71055161
320,65767438
321,74431530
322,55155170
323,51402296
324,50758150
325,58819151
326,54890322
327,58618628
328,56146582
329,49709578
330,54428771
331,52521815
332,48976383
333,50481333
334,59163725
335,59292353
336,60347193
337,60518828
338,57748317
339,53178301
340,58915616
341,53178423
342,64303377
343,55284502
344,53511881
345,57568501
346,48236619
347,66078820
348,59680076
349,56037458
350,53347274
351,51758101
352,50767400
353,49321552
354,66526080
355,55684174
356,64618993
357,52093547
358,51068101
359,55058223
360,53135027
361,51853182
362,56198569
363,52823179
364,58327685
365,56738880
366,57434064
367,51115425
368,52839726
369,53704197
370,52395568
371,48954646
372,51358821
373,53119372
374,59686556
375,51012447
376,52646911
377,55950045
378,71622679
379,72339169
380,63736784
381,56493894
382,54365670
383,54579897
384,63751247
385,61284990
386,57495981
387,68129444
388,53449593
389,56091021
390,58526100
391,52974813
392,63311720
393,60395564
394,57076940
395,51966580
396,56340225
397,61055649
398,53688757
399,53609315
400,55821510
401,62832212
402,58178600
403,53314309
404,62010321
405,55550415
406,51468874
407,54072542
408,51790802
409,57973160
410,51221518
411,59720723
412,61295250
413,72696321
414,63744036
415,54928412
416,59548491
417,55215171
418,52324205
419,54136712
420,53526346
421,53357254
422,51860471
423,53445794
424,54123221
425,51329128
426,59980500
427,62601685
428,56375687
429,57458337
430,77546624
431,65261060
432,64953136
433,52856928
434,52776667
435,54717635
436,83757511
437,62603449
438,58814938
439,53600833
440,58861776
441,61244485
442,59584585
443,51551844
444,53797588
445,50070329
446,53900098
447,57149005
448,55008224
449,57582792
450,90227706
451,61315121
452,56745059
453,54421153
454,73343676
455,53807378
456,58608768
457,75274063
458,61372964
459,52777797
460,55209299
461,55709604
462,57747355
463,58245199
464,62295357
465,79157426
466,55617060
467,53251419
468,61964902
469,55094387
470,50899873
471,54270668
472,50893396
473,54401979
474,51363279
475,58335769
476,65045979
477,64048961
478,68090307
479,57351032
480,52220019
481,59384098
482,63407517
483,63124436
484,58114095
485,57276957
486,73183353
487,58605247
488,64085694
489,57735782
490,73026733
491,109962281
492,65775390
493,70853125
494,68565184
495,66595870
496,54265284
497,70016474
498,59542738
499,65849413
500,71313487
501,63012910
502,82749863
503,87915155
504,66925491
505,60534145
506,55634252
507,76428838
508,55982731
509,65548344
510,63119654
511,59849914
512,51889074
513,58309991
514,63345187
515,57675485
516,73589027
517,67781481
518,56005669
519,62149594
520,53982680
521,70046884
522,56334025
523,98737271
524,60728592
525,144021840
526,55468060
527,68860011
528,76194915
529,81995265
530,89963890
531,83730498
532,86371899
533,83458124
534,60137504
535,53948198
536,64717351
537,55893443
538,61431934
539,56013111
540,56369305
541,59722739
542,62459761
543,62520373
544,58900534
545,58075484
546,55577546
547,60443423
548,63285226
549,51844431
550,58347122
551,58045482
552,59157704
553,69382825
554,56489825
555,60865475
556,65445686
557,62249182
558,58767042
559,60075344
560,86480653
561,60600977
562,92382137
563,95108453
564,59453013
565,60322357
566,64833198
567,72295128
568,60599218
569,64045350
570,61357754
571,63121807
572,81385541
573,75117314
574,78078805
575,59629299
576,55065694
577,64448607
578,56622330
579,57637952
580,64985222
581,57634935
582,54119475
583,65927220
584,58525587
585,61694803
586,55379226
587,58360510
588,65626819
589,56298032
590,90429955
591,52438883
592,56026598
593,62024036
594,52442978
595,57833169
596,54089526
597,64730193
598,61412533
599,56594804
600,56402327
601,57727500
602,59169791
603,52980777
604,65056979
605,60641270
606,56481299
607,56149514
608,56594301
609,62602684
610,65949099
611,63939492
612,58819688
613,52871979
614,67047500
615,56893357
616,53175004
617,54262468
618,54346081
619,64996224
620,59028085
621,56537459
622,59374064
623,56581957
624,59141936
625,84028817
626,64675606
627,54065747
628,52738496
629,56484674
630,65384729
631,65309050
632,58611544
633,54319328
634,62365335
635,56560986
636,65505505
637,68044949
638,58814329
639,55978995
640,55582644
641,55726680
642,63083937
643,59324862
644,58962861
645,55948070
646,57970112
647,57304115
648,53146558
649,54196420
650,58696058
651,59392463
652,53839789
653,55482971
654,56732502
655,56201630
656,56136809
657,53305344
658,54852164
659,59563198
660,55603587
661,64332025
662,60606411
663,65587239
664,55294311
665,53176704
666,57473429
667,54847547
668,54302999
669,60106521
670,56632401
671,57197922
672,54407958
673,56476473
674,63365415
675,59376617
676,54805613
677,56927938
678,54396061
679,59435885
680,58146292
681,54204021
682,59158557
683,54887318
684,85304462
685,53652629
686,54845050
687,51972722
688,60612566
689,60547368
690,57809648
691,69905700
692,60630929
693,54991300
694,60036788
695,57603924
696,60638875
697,57514939
698,55640856
699,54086695
700,54212250
701,52437905
702,54277494
703,56258868
704,53324978
705,61980019
706,66557808
707,63994101
708,60469523
709,74627013
710,53549195
711,56116723
712,55545585
713,56651060
714,69432994
715,53179050
716,61809898
717,57851240
718,61926910
719,60675824
720,59109853
721,57415105
722,72340673
723,59851515
724,55964437
725,66550466
726,54750266
727,55772940
728,56288491
729,61645758
730,54605335
731,62098770
732,58046555
733,65590467
734,57048003
735,56187981
736,62343655
737,61286572
738,56417164
739,59951079
740,61078236
741,56429097
742,56970073
743,67350691
744,62573983
745,51734337
746,74557288
747,67618409
748,56987015
749,57841343
750,55925771
751,56279110
752,55046619
753,62450265
754,56763612
755,65950902
756,59763665
757,58337620
758,53001393
759,63296619
760,53567846
761,55270581
762,54783716
763,60721994
764,68730083
765,56686376
766,57721158
767,58242005
768,61947190
769,54373765
770,54060131
771,64084766
772,60245160
773,54765006
774,54796461
775,54705688
776,54102132
777,61800997
778,60076276
779,57112313
780,55461514
781,58371975
782,55914011
783,58534973
784,56427410
785,53009628
786,55370963
787,67230346
788,55108894
789,58886752
790,55764065
791,62774529
792,60546294
793,64878732
794,62335006
795,54921827
796,57412149
797,57838487
798,58697292
799,57515994
800,58379110
801,70834602
802,56717889
803,61083071
804,56006423
805,63491802
806,54757255
807,59127458
808,65007383
809,59124584
810,63838092
811,59542393
812,60388608
813,68841548
814,64058985
815,58370818
816,70751296
817,59909601
818,56979789
819,56704318
820,64632286
821,60622810
822,75719814
823,55816662
824,59244495
825,56763826
826,58581364
827,77442640
828,61864995
829,63303422
830,62025034
831,61434222
832,71116661
833,69554493
834,64594052
835,77456062
836,61528777
837,56753945
838,70670524
839,65808773
840,66813584
841,90582197
842,66709116
843,65092234
844,56454841
845,58063871
846,66038251
847,66691011
848,60363457
849,63926260
850,58153148
851,58055567
852,73071545
853,59004889
854,67565849
855,73591739
856,71219070
857,60426929
858,64289044
859,66021672
860,65090056
861,62250745
862,58385971
863,83501193
864,55698448
865,72002583
866,65202033
867,57584020
868,64635391
869,68447797
870,70585104
871,59416521
872,61079700
873,60199624
874,60053461
875,65319889
876,58854568
877,59723922
878,70217076
879,67558494
880,60195062
881,61154705
882,60731862
883,56504711
884,55912338
885,70199643
886,57311772
887,56400841
888,58083828
889,73345426
890,64794652
891,61974654
892,60679648
893,59755349
894,61652117
895,59320532
896,62876477
897,56702092
898,65889508
899,61494903
900,55870589
901,58752386
902,68049881
903,60672750
904,64871586
905,61742128
906,67521421
907,69760420
908,63220627
909,62316410
910,60282974
911,62719783
912,59335900
913,59842227
914,57422350
915,58307909
916,60226409
917,58878070
918,57554440
919,61031253
920,55861541
921,56343182
922,58113472
923,63502057
924,61454996
925,57989078
926,57688667
927,65552407
928,57688149
929,65326721
930,56816894
931,60902987
932,69021393
933,62382923
934,69195355
935,63550378
936,60399379
937,58875894
938,64569222
939,56358557
