Size,Time
50,1033361
50,811501
50,733412
50,880852
50,788547
50,906149
50,814582
50,845593
50,853622
50,854980
50,890376
50,831521
50,884924
50,876644
50,979912
50,818677
50,841052
50,927079
50,848549
50,814994
50,865539
50,902901
50,884341
50,884817
50,854153
50,1208337
50,826666
50,872607
50,781062
50,841915
50,846157
50,797712
50,817417
50,849600
50,862809
50,821772
50,825390
50,815270
50,817059
50,754299
50,791018
50,873968
50,865206
50,832909
50,806956
50,818664
50,941672
50,451327
50,481231
50,454719
50,412643
50,453037
50,516986
50,453020
50,485842
50,467214
50,468084
50,566197
50,444550
50,520566
50,447840
50,467679
50,444332
50,492751
50,494853
50,528713
50,500778
50,456323
50,478842
50,505052
50,460538
50,456037
50,550695
50,440368
50,460752
50,479915
50,565453
50,495984
50,453071
50,473240
50,458444
50,436317
50,516644
50,470876
50,470432
50,462124
50,451391
50,684561
50,761859
50,463492
50,500807
50,454205
50,427164
50,444802
50,519717
50,521066
50,417790
50,481661
50,471073
50,565017
50,505316
50,471837
50,518419
50,494700
50,501610
50,503400
50,541164
50,503365
50,498441
50,482698
50,482060
50,523306
50,456200
50,739565
50,499014
50,509561
50,514744
50,529721
50,489198
50,500894
50,588507
50,527582
50,467710
50,582165
50,561374
50,543593
50,545684
50,538424
50,524222
50,532877
50,684793
50,473356
50,599206
50,501730
50,473961
50,491715
50,527951
50,496479
50,619885
50,465635
50,487570
50,468834
50,422082
50,440047
50,406199
50,449933
50,480062
50,579683
50,456513
50,460009
50,663905
50,420350
50,412009
50,434177
50,524866
50,425202
50,471715
50,428887
50,421116
50,394222
50,386593
50,612921
50,464697
50,456275
50,461493
50,607314
50,409445
50,447132
50,431063
50,452889
50,417792
50,453434
50,380670
50,564905
50,464898
50,579496
50,510909
50,494751
50,572694
50,441408
50,493213
50,457026
50,467580
50,440884
50,434004
50,528473
50,706133
50,405398
50,477807
50,408614
50,432988
50,479740
50,546237
50,455228
50,425579
50,426365
50,536423
50,481689
50,414998
50,473064
50,470514
50,696643
50,557885
50,461127
50,474715
50,566907
50,489525
50,682031
50,473789
50,595711
50,431509
50,427248
50,524074
50,471434
50,718315
50,408792
50,682885
50,414085
50,471214
50,400813
50,558713
50,417393
50,399480
50,469886
50,669048
50,453885
50,558158
50,430562
50,477100
50,565161
50,604536
50,421572
50,455821
50,512616
50,469833
50,509240
50,538906
50,493588
50,586788
50,486920
50,548609
50,490112
50,633493
50,566257
50,502771
50,560958
50,522744
50,534214
50,521447
50,616539
50,656188
50,604407
50,583928
50,526876
50,546127
50,538171
50,570904
50,561579
50,568909
50,498889
50,465945
50,548197
50,521259
50,602099
50,553833
50,549515
50,580868
50,538457
50,554827
50,520318
50,524567
50,535822
50,479875
50,529072
50,552985
50,572182
50,586747
50,522745
50,544711
50,691670
50,496654
50,498209
50,525770
50,593726
50,512019
50,532931
50,548822
50,531986
50,518399
50,512249
50,588152
50,481315
50,504912
50,505885
50,539283
50,531571
50,624790
50,455180
50,497505
50,667629
50,510692
50,483804
50,468587
50,553643
50,557961
50,694894
50,498872
50,535429
50,549011
50,552621
50,523598
50,551781
50,503166
50,490529
50,531575
50,670068
50,549775
50,489205
50,504463
50,587631
50,488164
50,696482
50,558104
50,545808
50,515298
50,553188
50,597034
50,541605
50,503105
50,603568
50,525854
50,574529
50,511590
50,541619
50,548779
50,601872
50,578875
50,518993
50,582855
50,491559
50,756573
50,567585
50,532966
50,655168
50,493597
50,507060
50,591839
50,568683
50,522813
50,544689
50,549680
50,541891
50,512309
50,635488
50,630454
50,565247
50,541526
50,505201
50,731576
50,562025
50,511811
50,624063
50,537121
50,556435
50,553322
50,598002
50,569964
50,521230
50,728535
50,552654
50,498099
50,568833
50,561037
50,492832
50,563246
50,583337
50,1161881
50,651003
50,582643
50,603523
50,614491
50,593392
50,571222
50,509475
50,559100
50,557710
50,536468
50,542721
50,664540
50,591768
50,582435
50,542967
50,529944
50,510442
50,538241
50,530918
50,574230
50,579434
50,600592
50,668040
50,553751
50,1216191
50,507548
50,706587
50,656806
50,571229
50,528154
50,621189
50,563868
50,584696
50,556548
50,603994
50,602323
50,515859
50,709028
50,455555
50,560382
50,515971
50,777774
50,585054
50,544097
50,585441
50,504957
50,612863
50,626784
50,522903
50,612498
50,824455
50,654180
50,583539
50,575386
50,561147
50,662168
50,570816
50,604499
50,578225
50,827713
50,767421
50,791997
50,563416
50,648159
50,566936
50,622255
50,604387
50,590122
50,625810
50,610112
50,569529
50,626194
50,634424
50,644218
50,577612
50,600350
50,569546
50,626707
50,555992
50,657212
50,585270
50,603802
50,799578
50,555186
50,734173
50,647518
50,613603
50,647564
50,617365
50,715428
50,625944
50,629108
50,553655
50,742568
50,628695
50,599557
50,617084
50,685898
50,638695
50,636976
50,701850
50,629885
50,598983
50,631811
50,608986
50,623401
50,690657
50,947317
50,585050
50,691189
50,618623
50,610895
50,786772
50,637060
50,599511
50,584591
50,915916
50,677393
50,636688
50,605055
50,606059
50,598902
50,684923
50,639686
50,835244
50,578153
50,668706
50,550214
50,648259
50,620377
50,820018
50,618290
50,578727
50,646383
50,690308
50,683175
50,604711
50,662725
50,633247
50,634525
50,617799
50,593849
50,641992
50,665393
50,621539
50,613022
50,673759
50,661265
50,889068
50,669750
50,662697
50,845508
50,989809
50,691354
50,639713
50,708962
50,625939
50,703529
50,603897
50,625937
50,752293
50,630319
50,630607
50,621431
50,618703
50,629947
50,625957
50,624884
50,617684
50,683866
50,693429
50,627480
50,699202
50,676113
50,844693
50,606804
50,641159
50,646824
50,634051
50,731286
50,640293
50,629051
50,679947
50,623901
50,612264
50,624289
50,674508
50,607657
50,656135
50,626971
50,641599
50,726541
50,669037
50,656823
50,737977
50,702788
50,696257
50,730656
50,744588
50,685420
50,651743
50,623290
50,738829
50,714684
50,671928
50,807464
50,690734
50,639171
50,675074
50,642206
50,641155
50,902474
50,630533
50,696703
50,662544
50,672802
50,647525
50,729384
50,607433
50,719865
50,692449
50,611669
50,718888
50,677011
50,665359
50,633342
50,693104
50,1052841
50,637016
50,661208
50,670254
50,710043
50,671857
50,648840
50,683969
50,669568
50,683244
50,697658
50,688908
50,685758
50,749780
50,651246
50,718294
50,719419
50,689074
50,703769
50,707787
50,734796
50,686330
50,761981
50,711888
50,884420
50,734581
50,810316
50,728281
50,692374
50,717331
50,676273
50,688757
50,674110
50,669792
50,637753
50,698193
50,757486
50,834346
50,783406
50,732678
50,697792
50,727992
50,733797
50,721055
50,698259
50,736644
50,684760
50,703352
50,663422
50,680313
50,710277
50,966413
50,731944
50,710167
50,765640
50,695514
50,784016
50,727886
50,669087
50,806493
50,687396
50,737766
50,714812
50,708498
50,676023
50,738047
50,710902
50,727147
50,705535
50,1841304
50,667137
50,699031
50,676923
50,735479
50,685932
50,660512
50,659808
50,672588
50,927755
50,706023
50,1044457
50,727140
50,898150
50,750764
50,710997
50,749203
50,721435
50,917314
50,709389
50,708679
50,679951
50,1126770
50,725476
50,743255
50,759098
50,997195
50,779754
50,810316
50,745100
50,706437
50,804518
50,763788
50,741176
50,721177
50,720933
50,801633
50,722607
50,742591
50,732302
50,697247
50,803680
50,665013
50,737250
50,725361
50,725331
50,995869
50,760711
50,767401
50,814821
50,732337
50,694923
50,732659
50,1005383
50,814690
50,839517
50,715055
50,734499
50,786516
50,816115
50,775819
50,782842
50,740503
50,751657
50,819197
50,716846
50,781187
50,794643
50,719715
50,746386
50,792018
50,806411
50,852393
50,762584
50,769113
50,801990
50,751627
50,726737
50,1006131
50,752380
50,774390
50,803232
50,744447
50,747298
50,796706
50,1008186
50,727609
50,747473
50,781380
50,768514
50,753428
50,751522
50,826507
50,789622
50,872326
50,841584
50,806911
50,916154
50,823777
50,780448
50,736714
50,819431
50,811563
50,880807
50,758214
50,759072
50,875845
50,782720
50,765187
50,784708
50,849303
50,845552
50,743254
50,890252
50,783905
50,922203
50,765712
50,875199
50,862711
50,906157
50,739959
50,799512
50,736978
50,802395
50,722208
50,766752
50,865169
50,841408
50,786691
50,827907
50,917019
50,817594
50,843094
50,758625
50,780624
50,811124
50,853697
50,807392
50,969461
50,817182
50,784711
50,873794
50,965910
50,765060
50,836550
50,763432
50,863317
50,826588
50,855476
50,1162409
50,905932
50,761720
50,791790
50,780833
50,806419
50,777609
50,886871
50,788640
50,812707
50,826826
50,883936
50,772932
50,796874
50,754015
50,784188
50,829573
50,820713
50,1026738
50,804349
50,829065
50,882497
50,859073
50,898734
50,860774
50,828372
50,815013
50,923843
50,861674
50,871188
50,888091
