P2,P1,Time
1,1,82157915
2,1,67301514
3,1,69708608
4,1,65119634
5,1,69243098
6,1,68277666
7,1,62908607
8,1,70325874
9,1,62891957
10,1,62878545
11,1,65044131
12,1,66045367
13,1,66605640
14,1,65303602
15,1,63801823
16,1,60648701
17,1,66814054
18,1,66249359
19,1,67151750
20,1,61750553
21,1,64271816
22,1,61735808
23,1,64398623
24,1,67205630
25,1,66381203
26,1,60750397
27,1,63242374
28,1,64532309
29,1,62832306
30,1,64163108
40,1,63418897
50,1,68436247
60,1,62929883
70,1,65054564
80,1,67221228
90,1,60860800
100,1,68675436
200,1,61990170
300,1,65392055
400,1,69496120
500,1,67697869
600,1,62625676
700,1,62297596
800,1,63107659
900,1,66890352
1000,1,62839392
2000,1,62060148
1,2,80823511
2,2,67266423
3,2,65024146
4,2,62713686
5,2,60766632
6,2,63581487
7,2,62072667
8,2,61738699
9,2,64263738
10,2,64759773
11,2,65015022
12,2,64233139
13,2,62041531
14,2,61520229
15,2,61129915
16,2,60858348
17,2,64492804
18,2,64794801
19,2,64249380
20,2,62559188
21,2,61727163
22,2,62968698
23,2,61306070
24,2,62475537
25,2,64449740
26,2,62278345
27,2,65369431
28,2,61258065
29,2,64520880
30,2,60465965
40,2,63297196
50,2,67996020
60,2,65054878
70,2,64510946
80,2,64276544
90,2,63095032
100,2,66546146
200,2,63489616
300,2,63996586
400,2,61823107
500,2,65000935
600,2,67323628
700,2,64021545
800,2,64027279
900,2,61545453
1000,2,60068235
2000,2,63433652
1,3,84699103
2,3,67061779
3,3,71735784
4,3,63125515
5,3,63594914
6,3,62925987
7,3,63841879
8,3,60945841
9,3,66256923
10,3,66387596
11,3,69691502
12,3,59845774
13,3,66409641
14,3,65990870
15,3,65821813
16,3,62870984
17,3,69129755
18,3,60792874
19,3,63096391
20,3,67004147
21,3,60983557
22,3,62064457
23,3,62351497
24,3,67668807
25,3,62557031
26,3,68103352
27,3,63667693
28,3,66130066
29,3,64825379
30,3,65347235
40,3,65148963
50,3,63664836
60,3,62494262
70,3,63860202
80,3,61960647
90,3,62955315
100,3,62847928
200,3,62930705
300,3,60770354
400,3,63246871
500,3,70566619
600,3,78114593
700,3,90710122
800,3,68290727
900,3,68419950
1000,3,67375559
2000,3,63463243
1,4,81289043
2,4,69160284
3,4,85553265
4,4,61475640
5,4,63952480
6,4,65057808
7,4,64528767
8,4,65808514
9,4,63619094
10,4,62351147
11,4,63572997
12,4,60680163
13,4,62456827
14,4,64859768
15,4,64833429
16,4,63426528
17,4,66722002
18,4,59228876
19,4,64529942
20,4,63662896
21,4,62925041
22,4,60882058
23,4,63139610
24,4,63005898
25,4,61594641
26,4,61008003
27,4,63110740
28,4,62874251
29,4,64568803
30,4,63278043
40,4,62907894
50,4,65811942
60,4,62361757
70,4,62377416
80,4,61139883
90,4,66055644
100,4,63923198
200,4,61480162
300,4,62154144
400,4,63712172
500,4,62665819
600,4,62023222
700,4,61200161
800,4,64367318
900,4,62088149
1000,4,62259240
2000,4,64037115
1,5,79470691
2,5,67143241
3,5,64848227
4,5,63460596
5,5,62437666
6,5,63718037
7,5,62675334
8,5,64533323
9,5,64026695
10,5,64236111
11,5,62862770
12,5,64172175
13,5,63477692
14,5,63631261
15,5,61723519
16,5,65076019
17,5,63685332
18,5,63028993
19,5,61553970
20,5,62888728
21,5,63364033
22,5,68837398
23,5,63618074
24,5,62619594
25,5,64138315
26,5,69001277
27,5,62782163
28,5,61044781
29,5,64193540
30,5,61864337
40,5,65936683
50,5,64292226
60,5,65478715
70,5,66590460
80,5,64777044
90,5,68465373
100,5,63522452
200,5,62836921
300,5,64677820
400,5,62455920
500,5,64495264
600,5,63760887
700,5,59985803
800,5,63795107
900,5,61191866
1000,5,61193646
2000,5,65374520
1,6,77689480
2,6,67479302
3,6,69418745
4,6,64369603
5,6,67302260
6,6,64410868
7,6,64230066
8,6,62434636
9,6,62550133
10,6,63167094
11,6,67281011
12,6,62742693
13,6,63979875
14,6,62571086
15,6,60881522
16,6,63869223
17,6,66828802
18,6,63912507
19,6,63927471
20,6,61232905
21,6,61558234
22,6,63551742
23,6,64224839
24,6,62948048
25,6,63143379
26,6,62991023
27,6,61307503
28,6,60545948
29,6,62034485
30,6,64321846
40,6,63264811
50,6,61057248
60,6,63217156
70,6,63223966
80,6,63218702
90,6,62299807
100,6,61537610
200,6,61944476
300,6,64180573
400,6,58879708
500,6,64923144
600,6,60812062
700,6,64135571
800,6,62447966
900,6,63277100
1000,6,62101031
2000,6,65692233
1,7,77515160
2,7,69005033
3,7,64146410
4,7,63729686
5,7,64586209
6,7,63769979
7,7,62669456
8,7,67900817
9,7,63370696
10,7,65422247
11,7,63729418
12,7,65951818
13,7,61857305
14,7,60500843
15,7,62723485
16,7,63038068
17,7,66500829
18,7,61617850
19,7,67545378
20,7,64155547
21,7,63762839
22,7,67171339
23,7,67328362
24,7,61502635
25,7,64471674
26,7,63089797
27,7,61841518
28,7,63429375
29,7,64875892
30,7,64962463
40,7,63896624
50,7,60565089
60,7,66214480
70,7,64478342
80,7,61996804
90,7,63821413
100,7,62329533
200,7,63030803
300,7,63333247
400,7,66209034
500,7,61154092
600,7,62712658
700,7,62617407
800,7,66306057
900,7,62132790
1000,7,61424271
2000,7,68507592
1,8,75263348
2,8,78183150
3,8,64356977
4,8,66814118
5,8,61809414
6,8,73195904
7,8,63045542
8,8,63043231
9,8,66706907
10,8,65958866
11,8,68199874
12,8,66527385
13,8,61721579
14,8,62246693
15,8,63596477
16,8,61728685
17,8,62176149
18,8,60709686
19,8,62802201
20,8,64645378
21,8,63383068
22,8,64988592
23,8,62644593
24,8,60432208
25,8,62417960
26,8,59608412
27,8,65806456
28,8,61989300
29,8,62424483
30,8,61807744
40,8,62769037
50,8,64414058
60,8,69394977
70,8,63155064
80,8,64710846
90,8,61616972
100,8,67242846
200,8,70264179
300,8,64365246
400,8,61885073
500,8,64553035
600,8,65104544
700,8,62514444
800,8,62404164
900,8,61601913
1000,8,63713581
2000,8,65337564
1,9,79255188
2,9,79334536
3,9,66539582
4,9,65111798
5,9,63926352
6,9,62907014
7,9,66091426
8,9,61942638
9,9,65455240
10,9,63775260
11,9,61782549
12,9,62557747
13,9,65498085
