P1,P2,Time
1,1,692104
1,2,704268
1,3,671342
1,4,601019
1,5,597131
1,6,599286
1,7,673847
1,8,578774
1,9,689870
1,10,547220
1,11,626772
1,12,637984
1,13,609747
1,14,604687
1,15,696774
1,16,1109581
1,17,625850
1,18,602332
1,19,545256
1,20,747586
1,21,562701
1,22,585919
1,23,622092
1,24,655179
1,25,664317
1,26,735181
1,27,634898
1,28,692023
1,29,693977
1,30,629778
1,40,766415
1,50,584075
1,60,648986
1,70,1417284
1,80,790193
1,90,636080
1,100,539674
1,200,647894
1,300,580016
1,400,599776
1,500,636350
1,600,598213
1,700,614546
1,800,398398
1,900,556148
1,1000,651010
1,2000,689498
2,1,386734
2,2,414851
2,3,406855
2,4,431395
2,5,385081
2,6,420783
2,7,410192
2,8,380051
2,9,362545
2,10,323185
2,11,369529
2,12,355521
2,13,362245
2,14,351553
2,15,330510
2,16,361663
2,17,373177
2,18,371182
2,19,395682
2,20,397456
2,21,378147
2,22,354409
2,23,433379
2,24,371052
2,25,392806
2,26,360470
2,27,402145
2,28,358066
2,29,418268
2,30,310079
2,40,306822
2,50,387034
2,60,397987
2,70,396584
2,80,399299
2,90,386673
2,100,299988
2,200,398778
2,300,404480
2,400,286982
2,500,317002
2,600,367474
2,700,343877
2,800,380983
2,900,355070
2,1000,367265
2,2000,357816
3,1,354418
3,2,389620
3,3,399930
3,4,412316
3,5,382796
3,6,420743
3,7,356022
3,8,357564
3,9,304407
3,10,413177
3,11,409780
3,12,443499
3,13,394048
3,14,341192
3,15,376593
3,16,436344
3,17,377335
3,18,308004
3,19,382986
3,20,433779
3,21,336392
3,22,296431
3,23,333796
3,24,391122
3,25,402325
3,26,433208
3,27,390120
3,28,381112
3,29,394820
3,30,321932
3,40,319137
3,50,404589
3,60,393658
3,70,288234
3,80,313255
3,90,435503
3,100,306721
3,200,349949
3,300,440503
3,400,387555
3,500,409811
3,600,348967
3,700,393127
3,800,449811
3,900,365982
3,1000,389569
3,2000,375681
4,1,339618
4,2,316060
4,3,260829
4,4,316461
4,5,344758
4,6,249064
4,7,286460
4,8,221098
4,9,292863
4,10,241269
4,11,303695
4,12,381262
4,13,334206
4,14,284436
4,15,348456
4,16,323265
4,17,305028
4,18,244896
4,19,305318
4,20,305488
4,21,247300
4,22,271570
4,23,234134
4,24,287342
4,25,330870
4,26,318845
4,27,252511
4,28,270157
4,29,335980
4,30,282091
4,40,313154
4,50,325248
4,60,293174
4,70,328996
4,80,338054
4,90,353456
4,100,354689
4,200,302683
4,300,300077
4,400,365049
4,500,275898
4,600,271259
4,700,327403
4,800,335249
4,900,295107
4,1000,297152
4,2000,208883
5,1,300749
5,2,328255
5,3,294175
5,4,375671
5,5,360059
5,6,323284
5,7,334557
5,8,296250
5,9,352223
5,10,356682
5,11,322754
5,12,315869
5,13,204204
5,14,207300
5,15,297943
5,16,259305
5,17,329066
5,18,542819
5,19,331461
5,20,221539
5,21,322122
5,22,304547
5,23,321862
5,24,272521
5,25,327874
5,26,274746
5,27,304196
5,28,252591
5,29,333796
5,30,251088
5,40,202811
5,50,363876
5,60,344046
5,70,328224
