P1,P2,Time
1,1,84447688
2,1,50392058
3,1,49071106
4,1,49425203
5,1,49491276
6,1,73796757
7,1,46299362
8,1,49153871
9,1,47685370
10,1,51373206
11,1,47451819
12,1,50927451
13,1,57902205
14,1,49526327
15,1,50521685
16,1,48828521
17,1,48683319
18,1,49896617
19,1,49906811
20,1,49684591
21,1,50619427
22,1,49640517
23,1,51918185
24,1,48381087
25,1,48414716
35,1,50920347
45,1,48826970
55,1,50005237
65,1,49125545
75,1,49898808
85,1,49401086
95,1,48821346
195,1,47854643
295,1,48574950
395,1,48348190
495,1,48625286
595,1,51167561
695,1,49839254
795,1,48948922
895,1,50074019
995,1,49913568
1995,1,47459850
1,2,67363888
2,2,51470612
3,2,48477128
4,2,46980852
5,2,49601054
6,2,48915073
7,2,50867048
8,2,47515968
9,2,47737905
10,2,49226727
11,2,48174584
12,2,49465925
13,2,47485746
14,2,48953820
15,2,49589765
16,2,49091914
17,2,51962667
18,2,48245476
19,2,50071248
20,2,49561514
21,2,49099637
22,2,49300671
23,2,47683766
24,2,48869242
25,2,50285320
35,2,49446132
45,2,52576900
55,2,50538533
65,2,47349616
75,2,47837879
85,2,49109804
95,2,49692369
195,2,49411780
295,2,49787330
395,2,48769908
495,2,50486256
595,2,49556058
695,2,49710458
795,2,48329335
895,2,49547759
995,2,49107660
1995,2,48295878
1,3,66659238
2,3,52710957
3,3,49957693
4,3,48016780
5,3,48740399
6,3,50530597
7,3,50003180
8,3,47863781
9,3,50524917
10,3,48927953
11,3,47867529
12,3,50582520
13,3,47761864
14,3,48778018
15,3,47911598
16,3,49471127
17,3,49644619
18,3,73304266
19,3,45998076
20,3,49266831
21,3,47195800
22,3,47545131
23,3,48421825
24,3,48412229
25,3,49190573
35,3,49072338
45,3,48512996
55,3,52496171
65,3,48522397
75,3,50108806
85,3,48176478
95,3,47207951
195,3,48524687
295,3,49867602
395,3,49519187
495,3,47582399
595,3,47961502
695,3,52232895
795,3,48744471
895,3,49589330
995,3,49337106
1995,3,47086758
1,4,68803521
2,4,48040075
3,4,49110272
4,4,49370250
5,4,49891892
6,4,52695609
7,4,47182490
8,4,48934147
9,4,48672010
10,4,50968207
11,4,48831639
12,4,48187051
13,4,48453458
14,4,48777824
15,4,48758264
16,4,50238126
17,4,48677454
18,4,51456302
19,4,50113162
20,4,47172512
21,4,48988726
22,4,49269210
23,4,48538556
24,4,48469695
25,4,51790670
35,4,48943976
45,4,49732468
55,4,50855257
65,4,51258516
75,4,51745549
85,4,54160204
95,4,49432775
195,4,48429500
295,4,49809009
395,4,48827722
495,4,48263269
595,4,48366378
695,4,50367051
795,4,50458757
895,4,50990782
995,4,50943892
1995,4,50700834
1,5,71552046
2,5,47504999
3,5,49557619
4,5,49686375
5,5,50098079
6,5,51654712
7,5,49531081
8,5,51164712
9,5,50274737
10,5,49890335
11,5,51629816
12,5,46190242
13,5,51074711
14,5,52046638
15,5,51070853
16,5,52075247
17,5,48151694
18,5,48604329
19,5,51355383
20,5,48854802
21,5,50922651
22,5,49853632
23,5,48645825
24,5,49242974
25,5,47950404
35,5,48801556
45,5,49557183
55,5,50446617
65,5,49744956
75,5,74199000
85,5,48765035
95,5,49414444
195,5,48959320
295,5,49655762
395,5,47883151
495,5,47068262
595,5,48304623
695,5,49393460
795,5,47666366
895,5,48656212
995,5,48858220
1995,5,49798218
1,6,66795924
2,6,51031474
3,6,48213336
4,6,48882592
5,6,49881565
6,6,48146014
7,6,49342796
8,6,52910127
9,6,52159343
10,6,52232468
11,6,49804495
12,6,49679069
13,6,53007087
14,6,47214728
15,6,48607944
16,6,49092750
17,6,50839428
18,6,51603319
19,6,50371221
20,6,50804774
21,6,52585002
22,6,48893793
23,6,50051032
24,6,47916381
25,6,49491882
35,6,48447371
45,6,51684673
55,6,53228109
65,6,52077736
75,6,46115830
85,6,48702336
95,6,47691839
195,6,49969939
295,6,48943812
395,6,48678147
495,6,48510727
595,6,47159116
695,6,49987798
795,6,51720549
895,6,50260882
995,6,52188120
1995,6,52280361
1,7,68294308
2,7,52595004
3,7,49229301
4,7,51440202
5,7,47670233
6,7,51268078
7,7,47596201
8,7,48859008
9,7,49478397
10,7,49216369
11,7,51619917
12,7,49837890
13,7,50548773
14,7,47877040
15,7,48765462
16,7,50680988
17,7,47798521
18,7,50090503
19,7,50775645
20,7,50457071
21,7,48616365
22,7,48492418
23,7,50371185
24,7,48891641
25,7,47718604
35,7,51702886
45,7,48194630
55,7,50003819
65,7,50124236
75,7,48988173
85,7,51262359
95,7,49512182
195,7,50883588
295,7,49023943
395,7,50156343
495,7,53125477
595,7,48341364
695,7,47921593
795,7,50573993
895,7,48261467
995,7,52355952
1995,7,76175676
1,8,69771072
2,8,48517990
3,8,48629350
4,8,47999715
5,8,49082617
6,8,50963972
7,8,52559559
8,8,51168964
9,8,48937294
10,8,48445755
11,8,50553246
12,8,49282741
13,8,49425018
14,8,50430305
15,8,48899969
16,8,52085095
17,8,52285573
18,8,48476643
19,8,50226972
20,8,48811740
21,8,49880382
22,8,48647880
23,8,49091244
24,8,50907578
25,8,52854611
35,8,48517188
45,8,50479572
55,8,48357745
65,8,48251667
75,8,52358157
85,8,49189264
95,8,48471557
195,8,50529867
295,8,49288373
395,8,49014101
495,8,48130709
595,8,47614826
695,8,51726531
795,8,51210398
895,8,51945913
995,8,52255924
1995,8,50873214
1,9,71243325
