P1,P2,Time
1,1,505819
1,2,529627
1,3,598094
1,4,688644
1,5,520409
1,6,463424
1,7,641049
1,8,643644
1,9,653634
1,10,678373
1,11,549797
1,12,680257
1,13,598764
1,14,666690
1,15,524526
1,16,466070
1,17,496751
1,18,613664
1,19,622633
1,20,742722
1,21,642853
1,22,613293
1,23,593494
1,24,548645
1,25,442362
1,26,586089
1,27,590578
1,28,538153
1,29,646940
1,30,653453
1,40,605097
1,50,595689
1,60,822671
1,70,581259
1,80,603183
1,90,469486
1,100,653744
1,200,794795
1,300,599586
1,400,726188
1,500,541119
1,600,577461
1,700,655737
1,800,527843
1,900,686720
1,1000,630317
1,2000,618624
2,1,325519
2,2,247795
2,3,277864
2,4,382032
2,5,347563
2,6,434957
2,7,379177
2,8,417673
2,9,381741
2,10,336701
2,11,376631
2,12,498885
2,13,438625
2,14,372933
2,15,356310
2,16,393094
2,17,390118
2,18,458845
2,19,309357
2,20,570066
2,21,397964
2,22,326060
2,23,375048
2,24,375459
2,25,411280
2,26,395048
2,27,327152
2,28,338645
2,29,351240
2,30,391891
2,40,415167
2,50,428564
2,60,704265
2,70,379978
2,80,324407
2,90,361200
2,100,365128
2,200,420829
2,300,409316
2,400,352744
2,500,403855
2,600,443524
2,700,314747
2,800,428354
2,900,379406
2,1000,419527
2,2000,382012
3,1,290569
3,2,418033
3,3,335028
3,4,268305
3,5,411160
3,6,340469
3,7,326702
3,8,385729
3,9,306270
3,10,274297
3,11,387904
3,12,332744
3,13,411019
3,14,313966
3,15,375329
3,16,378514
3,17,318245
3,18,403915
3,19,370860
3,20,383314
3,21,325860
3,22,372773
3,23,256652
3,24,486119
3,25,348595
3,26,392182
3,27,394536
3,28,335088
3,29,287623
3,30,344056
3,40,530167
3,50,274918
3,60,339837
3,70,370439
3,80,389176
3,90,347142
3,100,296791
3,200,306400
3,300,299587
3,400,365338
3,500,279296
3,600,350549
3,700,287713
3,800,388625
3,900,367151
3,1000,321912
3,2000,382262
4,1,304807
4,2,309266
4,3,324006
4,4,311150
4,5,260389
4,6,246871
4,7,286481
4,8,306430
4,9,359627
4,10,256771
4,11,316811
4,12,323725
4,13,308414
4,14,283575
4,15,306230
4,16,279377
4,17,325568
4,18,223315
4,19,252593
4,20,314177
4,21,304757
4,22,226061
4,23,360288
4,24,266471
4,25,232753
4,26,320048
4,27,257062
4,28,298534
4,29,280579
4,30,267303
4,40,258525
4,50,324777
4,60,312723
4,70,283565
4,80,336961
4,90,324376
4,100,277453
4,200,270970
4,300,268785
4,400,308806
4,500,353595
4,600,292463
4,700,298414
4,800,219757
4,900,338344
4,1000,293785
4,2000,321441
5,1,277322
5,2,331290
5,3,282503
5,4,271230
5,5,319546
5,6,292121
5,7,346891
5,8,297904
5,9,326982
5,10,245980
5,11,262793
5,12,428053
5,13,403514
5,14,310087
5,15,307904
5,16,236802
5,17,383474
5,18,216240
5,19,223546
5,20,269096
5,21,234437
5,22,287593
5,23,345508
5,24,330649
5,25,391200
5,26,304115
5,27,306290
5,28,401330
5,29,305649
5,30,334646
5,40,325308
5,50,321961
5,60,281701
5,70,360959
5,80,296481
5,90,219988
5,100,337472
5,200,293795
5,300,377301
5,400,293956
5,500,313795
5,600,339125
5,700,365678
5,800,309306
5,900,312382
5,1000,290579
5,2000,353324
6,1,705284
6,2,361179
6,3,325218
6,4,322192
6,5,309867
6,6,297071
6,7,336801
6,8,271000
6,9,340989
6,10,419525
6,11,411419
6,12,351661
6,13,363214
6,14,257363
6,15,309075
6,16,336119
6,17,313955
6,18,330137
6,19,364135
6,20,262643
6,21,368584
6,22,384125
6,23,371099
6,24,269166
6,25,252784
6,26,347672
6,27,220319
6,28,281520
6,29,295028
6,30,289567
6,40,589403
6,50,413934
6,60,270708
6,70,317341
6,80,225929
6,90,310278
6,100,376720
6,200,374876
6,300,372180
6,400,274867
6,500,274897
6,600,331139
6,700,302712
6,800,392642
6,900,341941
6,1000,302782
6,2000,405107
7,1,335097
7,2,343304
7,3,333534
7,4,336470
7,5,330518
7,6,360939
7,7,327882
7,8,261791
7,9,343093
7,10,319686
7,11,274356
7,12,268053
7,13,346590
7,14,339375
7,15,330277
7,16,267432
7,17,321379
7,18,277663
7,19,339245
7,20,346059
7,21,390818
7,22,291941
7,23,333284
7,24,308434
7,25,374165
7,26,283825
7,27,320188
7,28,357843
7,29,319225
7,30,327933
7,40,359325
7,50,420838
7,60,364035
7,70,414625
7,80,347832
7,90,365908
7,100,288093
7,200,292001
7,300,264998
7,400,322642
7,500,198515
7,600,356028
7,700,278915
7,800,356669
7,900,314866
7,1000,335788
7,2000,326409
8,1,469545
8,2,341098
8,3,408683
8,4,360878
8,5,356680
8,6,289186
8,7,352431
8,8,313364
8,9,364295
8,10,347511
8,11,303965
8,12,271981
8,13,395287
8,14,368403
8,15,392110
8,16,269125
8,17,361770
8,18,305869
8,19,335527
8,20,347031
8,21,402010
8,22,331409
8,23,283143
8,24,301430
8,25,239616
8,26,333102
8,27,359585
8,28,337822
8,29,332451
8,30,386770
8,40,395467
8,50,255028
8,60,228234
8,70,369315
8,80,264627
8,90,230419
8,100,334015
8,200,361990
8,300,439414
8,400,379886
8,500,346850
8,600,391749
8,700,354475
8,800,327592
8,900,341199
8,1000,342010
8,2000,340598
9,1,323784
9,2,316530
9,3,334184
9,4,283364
9,5,358864
9,6,392390
9,7,367811
9,8,459343
9,9,384455
9,10,245688
9,11,378183
9,12,320207
9,13,307311
9,14,346600
9,15,355126
9,16,329205
9,17,301600
9,18,236470
9,19,289376
9,20,283103
9,21,245328
9,22,342922
9,23,275538
9,24,357040
9,25,393343
9,26,482519
9,27,359776
9,28,466298
9,29,320658
9,30,383854
9,40,352471
9,50,432399
9,60,299215
9,70,378743
9,80,299876
9,90,380406
9,100,311359
9,200,317551
9,300,322542
9,400,280478
9,500,353102
