Size,Time
5,329102
5,318058
5,246945
5,302038
5,297164
5,265476
5,352546
5,256626
5,271891
5,294825
5,428128
5,318424
5,361462
5,1471856
5,1676235
5,292173
5,290651
5,273005
5,331937
5,1787897
5,292977
5,1643158
5,419772
5,1722945
5,334021
5,332097
5,273721
5,274146
5,259438
5,309278
5,285502
5,1606728
5,283226
5,396600
5,370493
5,237855
5,302232
5,277076
5,248192
5,295674
5,272030
5,271516
5,276745
5,268359
5,326806
5,212197
5,274915
5,370531
5,239578
5,1893405
5,311962
5,259648
5,228935
5,229782
5,217166
5,1792007
5,360076
5,206604
5,237775
5,393109
5,1763649
5,339746
5,221429
5,1892313
5,224195
5,245092
5,223834
5,218934
5,226959
5,259235
5,239249
5,202107
5,233477
5,258320
5,268614
5,266354
5,289919
5,1773142
5,282035
5,283111
5,305092
5,1794437
5,315555
5,266642
5,265449
5,2341148
5,293066
5,315243
5,359104
5,284112
5,245319
5,263895
5,233845
5,307710
5,306219
5,379699
5,265901
5,2460977
5,306547
5,361643
5,374943
5,285402
5,420519
5,306339
5,294335
5,306150
5,1483024
5,281095
5,278852
5,342408
5,320523
5,281352
5,296594
5,495682
5,1705947
5,361829
5,317263
5,270751
5,299786
5,289194
5,354486
5,354194
5,325916
5,350578
5,2131947
5,388890
5,470618
5,1498841
5,1603956
5,387193
5,567159
5,512444
5,316892
5,1866419
5,563402
5,1601517
5,365592
5,295944
5,315063
5,341098
5,377386
5,3854470
5,398424
5,324730
5,342405
5,339873
5,544356
5,308280
5,322755
5,353314
5,552174
5,338852
5,395165
5,335941
5,342920
5,434304
5,3838064
5,1604474
5,428791
5,1586565
5,332562
5,445027
5,378547
5,400779
5,447244
5,1711328
5,457449
5,388341
5,364426
5,355894
5,523665
5,385641
5,376944
5,1959526
5,1585343
5,459249
5,365459
5,364244
5,363711
5,527721
5,401362
5,408241
5,1705490
5,1621909
5,420731
5,473149
5,399526
5,385217
5,353119
5,425851
5,664210
5,545401
5,461044
5,395698
5,496921
5,345727
5,370674
5,433660
5,384225
5,493146
5,1669033
5,449973
5,1701033
5,387199
5,441514
5,388920
5,472108
5,1678459
5,399674
5,392028
5,522829
5,445064
5,435918
5,432646
5,2310566
5,587980
5,1794211
5,567175
5,402966
5,382611
5,449745
5,462048
5,494483
5,534428
5,448626
5,454059
5,2699551
5,589987
5,425091
5,493226
5,2170674
5,556581
5,4067226
5,6144593
5,2046539
5,15818001
5,484415
5,383104
5,378619
5,449680
5,430656
5,422680
