#(threads),time taken(in ns)
1,249523300
2,81904660
3,81457851
4,39714155
5,41854047
6,50240207
7,54002501
8,45814881
9,42157676
10,37915613
11,34870668
12,35275394
13,38321193
14,37499583
15,41864502
16,44514965
17,39793716
18,36319427
19,36327021
20,36903619
21,36340020
22,34668012
23,39805835
24,36980593
25,36531524
26,34977814
27,41207529
28,40888873
29,38095576
30,39776327
31,38072449
32,37677279
33,38992977
34,38719809
35,37634753
36,39981647
37,40308496
38,42981426
39,35587203
40,42693483
41,43160370
42,42342915
43,42526938
44,41275131
45,43618744
46,45352551
47,47250091
48,37930808
49,39842172
50,43004652
51,47562284
52,47866426
53,44537539
54,51872061
55,44735146
56,53933544
57,51756444
58,41332746
59,48663098
60,52831117
61,51702964
62,51352632
63,49548335
64,50884249
65,55672712
66,52861827
67,51840533
68,52076923
69,55968150
70,51700304
71,51335199
72,48549043
73,51399083
74,51325270
75,51855871
76,54115277
77,51767918
78,53765221
79,54768796
80,50094242
81,45183709
82,48512892
83,55184818
84,53523378
85,53127778
86,50548420
87,44419552
88,51717839
89,46809713
90,48099995
91,46400219
92,49368405
93,50566667
94,50310498
95,47741505
96,48330687
97,49961968
98,49062639
99,49808203
100,50190705
101,48108457
102,50841276
103,47990881
104,51700832
105,48227706
106,48815085
107,51813065
108,48403424
109,53781024
110,50306112
111,50263938
112,56544539
113,53538477
114,48670215
115,49144861
116,53656466
117,50928905
118,52560406
119,52986991
120,54561914
121,49471317
122,48807973
123,49794510
124,49170492
125,48704996
126,51665183
127,50492742
128,47767354
129,53393760
130,49059256
131,49906928
132,52970034
133,55268792
134,53752900
135,47394029
136,49599179
137,52072178
138,48347210
139,51721209
140,51414011
141,55852974
142,55706118
143,51322355
144,52203312
145,52692021
146,58026089
147,54918054
148,52085423
149,53236213
150,53508903
151,50174652
152,55629528
153,51936041
154,56918905
155,54531705
156,48553869
157,54070424
158,50302635
159,49803113
160,49145016
161,54503314
162,52911413
163,54452142
164,52392415
165,53571776
166,50028625
167,54064880
168,53193874
169,53456212
170,50546442
171,51574004
172,51392134
173,54061657
174,55251512
175,52055277
176,53544359
177,54335359
178,53333267
179,56580906
180,55761380
181,54954067
182,49025590
183,54064834
184,51037044
185,52855116
186,53688349
187,55467397
188,55878793
189,52946935
190,54140876
191,54406623
192,53210394
193,53379715
194,51100750
195,55554103
196,54196679
197,55658287
198,50084729
199,52032676
200,55931541
201,54879620
202,55505631
203,52715232
204,52200954
205,52197068
206,52213713
207,57341855
208,54196852
209,52514870
210,57218167
211,52841161
212,55645420
213,53392061
214,53205381
215,55528556
216,54332351
217,54036137
218,54769609
219,55966174
220,55495530
221,54133735
222,55949594
223,54560474
224,54679280
225,53260538
226,57518116
227,55146001
228,55425073
229,56176419
230,89925432
231,54055953
232,54020566
233,55332089
234,53645084
235,53222920
236,54353157
237,58501301
238,56008026
239,53365027
240,50441484
241,52312776
242,56842254
243,51744366
244,50427806
245,55587187
246,52907476
247,54681833
248,58463929
249,54877165
250,52818248
251,53546897
252,50180860
253,52916328
254,51659868
255,52907661
256,53968550
257,58718016
258,56275294
259,55658952
260,52151762
261,53406718
262,52932660
263,52087995
264,54498710
265,53197382
266,51727871
267,53089308
268,53306282
269,53243991
270,57093365
271,56190830
272,54468236
273,55412376
274,51446072
275,55686041
276,54002066
277,52310957
278,54861522
279,54047057
280,56421653
281,57727437
282,57061942
283,53237565
284,54605627
285,54050351
286,55360331
287,56164787
288,54339834
289,53894793
290,56577026
291,51474232
292,55032750
293,53182309
294,55296554
295,55167382
296,55259152
297,55587954
298,55794542
299,56816974
300,55007431
301,56182684
302,55494778
303,53119895
304,57796865
305,53076639
306,51792172
307,55008616
308,54363225
309,57045742
310,54258405
311,55186337
312,56460715
313,56726956
314,53515418
315,54638864
316,52380155
317,56033590
318,52510576
319,54052462
320,54206749
321,51979657
322,53585178
323,53829270
324,54980480
325,52232605
326,54158339
327,54694194
328,55578803
329,59525728
330,54793577
331,55805827
332,56894094
333,56631028
334,52620950
335,53269759
336,52405880
337,55129981
338,55599787
339,53900839
340,54760818
341,52717455
342,53611894
343,52619798
344,58594896
345,55705577
346,56773414
347,54200814
348,55606147
349,54541455
350,53472070
351,52376580
352,51340111
353,52185974
354,54079452
355,51931578
356,55173124
357,55129708
358,53877021
359,57558183
360,57416455
361,56244678
362,55109410
363,53665198
364,54800751
365,54860811
366,52709763
367,56112827
368,54052299
369,54160069
370,55293155
371,56873663
372,55659137
373,53620305
374,56018307
375,54338463
376,52793632
377,56733956
378,53150492
379,56171760
380,55139557
381,52826160
382,55316444
383,53319105
384,55930704
385,54251566
386,53817221
387,52714154
388,53088294
389,56834490
390,55758157
391,53946168
392,54005032
393,53764092
394,55504140
395,56812162
396,53840322
397,56339136
398,55729403
399,58741803
400,52702304
401,55215706
402,60003666
403,54384984
404,54551379
405,56477992
406,53696362
407,53738042
408,56610624
409,54976636
410,60404530
411,54328553
