#(threads) in P2,#(threads) in P1,time taken(in ns)
1,1,1350966
2,1,1177852
3,1,1141640
4,1,2255982
5,1,3498987
6,1,856406
7,1,1148361
8,1,773799
9,1,886988
10,1,886395
11,1,737300
12,1,663339
13,1,3128257
14,1,1727872
15,1,1772898
16,1,1466415
17,1,2578625
18,1,1127585
19,1,1149542
20,1,958383
21,1,1002821
22,1,974616
23,1,937685
24,1,2800811
25,1,974820
1,2,1587408
2,2,959843
3,2,871207
4,2,980860
5,2,1236289
6,2,1742601
7,2,796569
8,2,834988
9,2,740330
10,2,835674
11,2,600413
12,2,653593
13,2,578529
14,2,543716
15,2,669147
16,2,675128
17,2,657191
18,2,670707
19,2,636999
20,2,724877
21,2,917161
22,2,1779920
23,2,997586
24,2,1010397
25,2,1514617
1,3,1675133
2,3,1716762
3,3,866911
4,3,718027
5,3,803322
6,3,986667
7,3,3826385
8,3,1162537
9,3,1452447
10,3,1063224
11,3,1413362
12,3,773050
13,3,961501
14,3,1054390
15,3,664101
16,3,675877
17,3,782630
18,3,744700
19,3,815779
20,3,3290918
21,3,2906466
22,3,1434964
23,3,1011958
24,3,1161647
25,3,1865719
1,4,1276813
2,4,869334
3,4,1203981
4,4,743995
5,4,713630
6,4,2380122
7,4,1710220
8,4,1312773
9,4,1319296
10,4,1183459
11,4,1071970
12,4,1080525
13,4,1090492
14,4,913767
15,4,1151738
16,4,892069
17,4,775725
18,4,753234
19,4,2958588
20,4,1200361
21,4,995071
22,4,1606856
23,4,1319680
24,4,1335792
25,4,1211530
1,5,1690198
2,5,1458342
3,5,1500586
4,5,1419258
5,5,1081833
6,5,3678756
7,5,1242131
8,5,1065978
9,5,1201045
10,5,2184743
11,5,1355367
12,5,4831600
13,5,883162
14,5,761744
15,5,852048
16,5,700326
17,5,680219
18,5,701322
19,5,734018
20,5,602954
21,5,786763
22,5,697670
23,5,609733
24,5,1047384
25,5,754704
1,6,3348197
2,6,1269521
3,6,1634597
4,6,1368348
5,6,1320672
6,6,1247544
7,6,2759966
8,6,1161150
9,6,957345
10,6,954256
11,6,2316256
12,6,2455255
13,6,1210521
14,6,1010793
15,6,2033618
16,6,1575381
17,6,861815
18,6,1036579
19,6,1003429
20,6,790095
21,6,619426
22,6,692607
23,6,680967
24,6,772339
25,6,783706
1,7,998667
2,7,790468
3,7,842433
4,7,867008
5,7,694843
6,7,957625
7,7,774791
8,7,1768690
9,7,1154232
10,7,2466579
11,7,1731652
12,7,999957
13,7,1038727
14,7,514317
15,7,1022778
16,7,1014118
17,7,991637
18,7,3397139
19,7,1273775
20,7,2686337
21,7,1273489
22,7,1301758
23,7,2817522
24,7,1164071
25,7,966105
1,8,1296685
2,8,919129
3,8,901876
4,8,696834
5,8,870706
6,8,786284
7,8,887787
8,8,955369
9,8,3630910
10,8,1029345
11,8,1489023
12,8,1941519
13,8,1937996
14,8,1014296
15,8,1033841
16,8,926441
17,8,961789
18,8,978494
19,8,3353362
20,8,825825
21,8,923003
22,8,1420437
23,8,1785647
24,8,1283474
25,8,1808310
1,9,1551002
2,9,1800304
3,9,869906
4,9,930431
5,9,844853
6,9,3610952
7,9,1320077
8,9,1664030
9,9,2569329
10,9,2162024
11,9,928601
12,9,1276800
13,9,2542379
14,9,2171720
15,9,1245030
16,9,1240099
17,9,1912522
18,9,1018471
19,9,1098284
20,9,1119188
21,9,1053320
22,9,1038927
23,9,901603
24,9,732347
25,9,840187
1,10,971241
2,10,769371
3,10,741824
4,10,815112
5,10,839363
6,10,731504
7,10,932140
8,10,809405
9,10,3252791
10,10,1252182
11,10,2302005
12,10,1257017
13,10,1365271
14,10,1521316
15,10,2084357
16,10,1172317
17,10,1007240
18,10,892566
19,10,844202
20,10,704754
21,10,706188
22,10,867377
23,10,823287
24,10,2102409
25,10,2291994
