Size,Time
50,113143117
50,82525728
50,75159344
50,100976217
50,65426835
50,80767558
50,72881196
50,79653329
50,86703312
50,84884762
50,74052276
50,88068629
50,77846188
50,91554640
50,73058289
50,78124183
50,77996249
50,72501093
50,93991444
50,74692360
50,66767055
50,63155162
50,70266673
50,68553853
50,72498590
50,84857647
50,91724565
50,75912317
50,77842557
50,81063330
50,84952221
50,74659928
50,70852712
50,73246859
50,76314044
50,70254682
50,72415991
50,77223550
50,75229599
50,79621103
50,148369725
50,80732985
50,68002217
50,68277668
50,73601616
50,74337196
50,61505013
50,99055007
50,92613106
50,86522949
50,71488011
50,72658528
50,71778431
50,89160780
50,73668461
50,61582211
50,77040125
50,63436910
50,85399461
50,80239333
50,80114848
50,67130651
50,107886796
50,70787203
50,65819904
50,85906193
50,76662371
50,70583610
50,93346583
50,69692176
50,67598309
50,71159410
50,73251568
50,71953360
50,65142247
50,75189766
50,76081122
50,78785259
50,71979694
50,77065844
50,83009891
50,76255613
50,80229378
50,82766231
50,82408481
50,77419290
50,78174107
50,68246141
50,158326004
50,78676234
50,77835763
50,78975292
50,73240877
50,77446433
50,100793991
50,86360860
50,72755477
50,65018013
50,88110091
50,77088678
50,72684970
50,79936054
50,75242637
50,64147198
50,75712869
50,72327640
50,77187763
50,79774227
50,71559079
50,87577844
50,70527024
50,65156717
50,81406828
50,73284718
50,78094412
50,67435908
50,87382920
50,81106652
50,79407926
50,81768054
50,80922320
50,65517196
50,71769799
50,72474436
50,66663782
50,70200332
50,77330887
50,64286522
50,71266411
50,63742216
50,89173603
50,70420544
50,73081798
50,74483060
50,71389336
50,64378016
50,71652800
50,91181640
50,73464434
50,149544634
50,77020098
50,92348824
50,84119653
50,74126765
50,87474501
50,71730065
50,97602890
50,69244974
50,80173038
50,81148417
50,60480163
50,102180456
50,67946467
50,65503917
50,69677169
50,62635447
50,62398176
50,86002509
50,86368102
50,71968982
50,72303396
50,66989795
50,94536764
50,101274799
50,81770670
50,74694761
50,61285686
50,71036913
50,76086050
50,75122612
50,75320712
50,68739442
50,73303182
50,61776982
50,83357187
50,87784427
50,75001840
50,74274702
50,71360638
50,71323287
50,105255772
50,93981233
50,72179359
50,66502819
50,71497894
50,71601586
50,68132747
50,106159835
50,149525369
50,86873988
50,76688349
50,65669106
50,80036880
50,77605019
50,72777778
50,66104735
50,74245588
50,102537495
50,92087291
50,71814752
50,68308920
50,69021765
50,76631718
50,71444450
50,70861204
50,81552071
50,79218425
50,73562544
50,70772302
50,68066998
50,74322791
50,81824051
50,75311116
50,71079997
50,71829514
50,106641055
50,81256741
50,74121325
50,76485518
50,75923800
50,68261421
50,61847944
50,70296144
50,78232935
50,76682873
50,74728608
50,71221815
50,74384755
50,67874590
50,94259062
50,88157347
50,77836822
50,65993824
50,116039710
50,66488419
50,91286305
50,91232274
50,78738772
50,74424224
50,112871910
50,65419042
50,74350577
50,69137842
50,78270424
50,80546178
50,73290013
50,68391834
50,79957705
50,71409152
50,69740085
50,85727276
50,84487578
50,81416826
50,73600720
50,67460284
50,127061617
50,63617666
50,99098256
50,69266897
50,68673451
50,67789671
50,73771516
50,78113630
50,79449548
50,76995040
50,71581873
50,71606652
50,134371477
50,70416522
50,66622044
50,80079451
50,74201792
50,75892956
50,78316806
50,76603462
50,79932794
50,72737586
50,72157222
50,67842899
50,69962022
50,88495000
50,88405099
50,95733949
50,84745594
50,71123682
50,79897431
50,71894981
50,71161106
50,64079386
50,71873446
50,68512727
50,70544196
50,78978327
50,77944551
50,63504527
50,75486861
50,76270717
50,68537763
50,76450765
50,64745737
50,74127038
50,73978215
50,70184591
50,89000238
50,72784484
50,81005123
50,108716696
50,78202752
50,64819576
50,68779277
50,76037925
50,73515383
50,98624464
50,117136963
50,101056097
50,74099376
50,72934076
50,73974305
50,61668148
50,72762766
50,66578285
50,94661089
50,78821095
50,83336153
50,64943647
50,82648502
50,85219903
50,84587900
50,83591630
50,101820976
50,74657113
50,79226140
50,79038456
50,80044384
50,82539383
50,80951499
50,98557356
50,68924619
50,76233040
50,71719826
50,104780100
50,68419567
50,65747403
50,152792103
50,79038981
50,74138291
50,92165667
50,73091197
50,71232223
50,64765209
50,86052929
50,85802806
50,72954571
50,70029667
50,93354495
50,76459540
50,64905540
50,70412117
50,72805112
50,70921553
50,66705589
50,64245653
50,72780989
50,72350338
50,66505925
50,88285257
50,78340642
50,72878175
50,75222258
50,69854789
50,77120188
50,77042835
50,77862688
50,72458807
50,74490701
50,74266891
50,101438794
50,63378479
50,80596059
50,78121689
50,86454583
50,72736990
50,67865395
50,73904228
50,73885541
50,68574753
50,69908062
50,69954315
50,72287259
50,68239716
50,72534360
50,68661877
50,70345241
50,73748697
50,73300774
50,78970991
50,82385837
50,77755514
50,106908632
50,70071428
50,106638872
50,69922611
50,65574077
50,77005268
50,71341338
50,64168939
50,73138736
50,64755614
50,147911348
50,66994327
50,71682441
50,69560323
50,111245547
50,67914450
50,74812791
50,64979185
50,127532060
50,72198277
50,68548949
50,76060872
50,67019924
50,71053828
50,77634120
50,82197587
50,90678971
50,68752289
50,85132113
50,75941612
50,102160472
50,72834298
50,65580478
50,134523364
50,120744582
50,78749860
50,74400557
50,75301276
50,76707289
50,74114239
50,76989464
50,78575077
50,69684090
50,72087948
50,76192433
50,82234192
50,68752282
50,72577845
50,66521573
50,70283001
50,66050738
50,100271833
50,71261522
50,70750745
50,70672222
50,62172185
50,95410525
50,85452847
50,148954103
50,140536555
50,71391296
50,64760117
50,71891580
50,65584106
50,88778676
50,72739996
50,62729170
50,72799873
50,70455395
50,73048706
50,69139853
50,81863188
50,106761791
50,77702147
50,74998664
50,77564359
50,83566050
50,76256340
50,63129783
50,73162567
50,74065397
50,83975095
