P2,P1,Time
1,1,80540638
2,1,77682843
3,1,59699614
4,1,71418681
5,1,72619915
6,1,65061686
7,1,64462263
8,1,64544341
9,1,64671542
10,1,66203877
11,1,72996586
12,1,66588144
13,1,68957246
14,1,65800237
15,1,64816727
16,1,65632295
17,1,73513378
18,1,67095171
19,1,63909075
20,1,64828789
21,1,64101796
22,1,63453184
23,1,67431065
24,1,64074298
25,1,64664921
26,1,63997368
27,1,63872555
28,1,63719141
29,1,61102247
30,1,62329407
40,1,59157457
50,1,64172204
60,1,64971086
70,1,66385047
80,1,65161057
90,1,63265118
100,1,60735668
200,1,61501715
300,1,61211639
400,1,64497964
500,1,65529861
600,1,61091724
700,1,63454258
800,1,62852755
900,1,61240496
1000,1,61236713
2000,1,63367633
1,2,78354832
2,2,66644446
3,2,71372239
4,2,64788750
5,2,59371319
6,2,61815575
7,2,63644591
8,2,63249179
9,2,66564188
10,2,61668092
11,2,62556696
12,2,66282918
13,2,60473071
14,2,61751282
15,2,61182611
16,2,60697469
17,2,65202757
18,2,83231292
19,2,63561915
20,2,62537720
21,2,61695065
22,2,65165152
23,2,61853191
24,2,62722043
25,2,62818658
26,2,62463261
27,2,64138412
28,2,63344438
29,2,61237198
30,2,63839140
40,2,60569705
50,2,62304389
60,2,61735147
70,2,64723770
80,2,62656553
90,2,63853725
100,2,65670935
200,2,62282298
300,2,61895777
400,2,62297593
500,2,62538930
600,2,63462075
700,2,65186090
800,2,64140128
900,2,63147813
1000,2,63842159
2000,2,62574647
1,3,81223305
2,3,73853427
3,3,63815167
4,3,68300859
5,3,60578043
6,3,64707058
7,3,63504659
8,3,60626107
9,3,62131025
10,3,62829664
11,3,66071064
12,3,66426004
13,3,61935793
14,3,63275398
15,3,64317407
16,3,61145926
17,3,63347481
18,3,61197172
19,3,65037967
20,3,62397779
21,3,62502825
22,3,62905201
23,3,63825454
24,3,62109520
25,3,62214194
26,3,62330159
27,3,64816488
28,3,59897474
29,3,61100221
30,3,64334268
40,3,62706049
50,3,63974973
60,3,60903329
70,3,62300798
80,3,68114903
90,3,80923969
100,3,70110789
200,3,61540273
300,3,64217161
400,3,64014707
500,3,60895587
600,3,64367285
700,3,63953634
800,3,62170552
900,3,65614892
1000,3,61088888
2000,3,64770083
1,4,76402669
2,4,79899354
3,4,63049419
4,4,68486823
5,4,65233586
6,4,62808689
7,4,65265760
8,4,63191681
9,4,61759498
10,4,65380151
11,4,64584193
12,4,60502544
13,4,61655999
14,4,66200478
15,4,65466351
16,4,60313581
17,4,63513872
18,4,65101557
19,4,61523302
20,4,66659614
21,4,65275669
22,4,62175915
23,4,60699410
24,4,65562761
25,4,63970296
26,4,62209237
27,4,65066759
28,4,60568049
29,4,62858508
30,4,62884243
40,4,63016743
50,4,62670351
60,4,62776419
70,4,65934593
80,4,63229548
90,4,63441454
100,4,65804859
200,4,63783108
300,4,60730537
400,4,63371816
500,4,64367154
600,4,64644193
700,4,62624053
800,4,60326461
900,4,61101824
1000,4,60910711
2000,4,62865238
1,5,78199115
2,5,64998625
