#(threads),time taken(in ns)
1,266365007
2,81440141
3,83476658
4,40570863
5,41031743
6,55236862
7,54651707
8,46973210
9,43415791
10,38291790
11,36364763
12,35057603
13,36915484
14,42634019
15,41748058
16,40859364
17,43437059
18,39320389
19,40261072
20,37430960
21,37811088
22,34327566
23,38804985
24,38783026
25,37027986
26,36338425
27,37321475
28,36476569
29,38128763
30,42168558
31,39847009
32,40192692
33,35661225
34,44493495
35,50718006
36,41012876
37,48568217
38,39190389
39,41294630
40,39353524
41,40277663
42,39373237
43,42024109
44,43310962
45,43944420
46,37253912
47,43137486
48,44241986
49,36746222
50,47140253
51,44744606
52,45368696
53,48610874
54,44018644
55,45981148
56,41074340
57,49243066
58,55075673
59,52354930
60,47193505
61,47553093
62,54877954
63,54640939
64,52283531
65,52978127
66,52114665
67,40372885
68,53576419
69,48450812
70,55527729
71,49755775
72,51242620
73,55453235
74,52503855
75,54376894
76,55218947
77,54447184
78,50560133
79,52093172
80,52643523
81,55119232
82,52209314
83,52458946
84,51705534
85,51254108
86,49960260
87,50094604
88,53726372
89,52677289
90,52446595
91,48941761
92,54555638
93,50576489
94,51472845
95,46666795
96,50453516
97,50156497
98,48842727
99,47329045
100,52519450
101,46023217
102,49048443
103,51088199
104,48248113
105,50574443
106,52854781
107,49447472
108,52561132
109,49868813
110,52531650
111,49540419
112,53594428
113,49105918
114,54730059
115,46468337
116,52277254
117,49849297
118,54428328
119,52512078
120,54338991
121,54007786
122,51508649
123,48714475
124,48185330
125,53259246
126,53594785
127,50009312
128,52889837
129,48354429
130,50885802
131,50739259
132,57037119
133,50830327
134,51443122
135,55117205
136,51611421
137,51124496
138,53124781
139,51652344
140,52255020
141,49750640
142,51957171
143,54659941
144,53737493
145,49983745
146,51697229
147,51508685
148,51657505
149,52042404
150,54489629
151,51064012
152,53536133
153,56004003
154,49852061
155,53235546
156,50620499
157,53396592
158,55520060
159,52262955
160,53552296
161,55145504
162,50018588
163,54027167
164,54398019
165,53519947
166,48983234
167,52163264
168,54012080
169,53407968
170,54503225
171,55798046
172,51398371
173,48051987
174,54506458
175,51733797
176,54171691
177,51655160
178,52575919
179,52172420
180,56608650
181,52921074
182,54629446
183,49697506
184,52455585
185,50812677
186,55350789
187,54267737
188,52720089
189,52629657
190,51986395
191,53328311
192,56042267
193,54666848
194,53539882
195,50602330
196,57061419
197,55907051
198,53288870
199,54908396
200,56455286
201,49144568
202,50516063
203,54818234
204,52669039
205,53865366
206,52869327
207,54091617
208,51919474
209,55490684
210,54038701
211,53619303
212,56228865
213,52825588
214,51992163
215,52643802
216,54332659
217,53333624
218,55154148
219,54385542
220,53063424
221,53265061
222,54591555
223,55325524
224,53355479
225,53022667
226,54791080
227,53630557
228,52134760
