#(threads),time taken(in ns)
1,249097184
2,87389852
3,81633424
4,50820738
5,52486152
6,33366838
7,54087007
8,46920355
9,41883517
10,37406334
11,39724672
12,39790579
13,38500305
14,41840493
15,39874019
16,41143663
17,40510826
18,43641952
19,32934118
20,34334129
21,38940961
22,35983965
23,36824167
24,39777228
25,36375213
26,36918047
27,38179199
28,41283460
29,40426567
30,39292658
31,40323988
32,36346005
33,39123843
34,40956908
35,40632843
36,39214511
37,41157157
38,42639117
39,36118314
40,40669807
41,39169348
42,45109542
43,40735558
44,47311955
45,36579127
46,46929530
47,44103363
48,41218302
49,36521160
50,47556829
51,39638603
52,43925538
53,43081898
54,50557978
55,50541646
56,46420839
57,55817989
58,50472117
59,54112268
60,51849091
61,51754908
62,52592076
63,45593788
64,50371901
65,55426830
66,39723805
67,52381496
68,49661678
69,55753047
70,56747054
71,49963427
72,51239059
73,55510895
74,51508878
75,51570209
76,51855320
77,51954164
78,55153035
79,51506304
80,52482827
81,52803877
82,50489232
83,51576172
84,47387238
85,53428050
86,50055835
87,50776441
88,51370735
89,52027282
90,49629514
91,52536124
92,51494030
93,50328817
94,50784027
95,53493021
96,48809286
97,49827108
98,49989357
99,48025857
100,49380748
101,48637339
102,81327402
103,49615349
104,47961408
105,49455402
106,47503278
107,48863563
108,53783517
109,50841845
110,53429174
111,50600446
112,50893359
113,51560244
114,47585547
115,47793195
116,47761806
117,54192423
118,46263436
119,49144162
120,53982642
121,55138454
122,52568773
123,51753788
124,52563185
125,50973932
126,49202883
127,53254933
128,50415039
129,54304008
130,53106295
131,54492694
132,49673665
133,52207858
134,56023968
135,53087686
136,53888881
137,53520210
138,55500769
139,48743110
140,53707368
141,51436695
142,51300135
143,53018043
144,52955462
145,52239933
146,52784485
147,58531307
148,54938040
149,52646566
150,52497317
151,52630244
152,60753219
153,63941072
154,55673465
155,65899799
156,61835915
157,94309951
158,63007445
159,60566846
160,61055139
161,59267767
162,59752601
163,58365693
164,57647204
165,58819038
166,51797766
167,57715283
168,51576422
169,61802231
170,58222598
171,56251354
172,58257380
173,57545496
174,54993771
175,54192737
176,63621996
177,55338407
178,56632191
179,63321305
180,59348075
181,63505569
182,61273935
183,54657863
184,61306852
185,62128607
186,66080252
187,51545903
188,57524441
189,57536616
190,53033178
191,51809663
192,53614417
193,55880474
194,56291406
195,66734495
196,62786787
197,53895425
198,57146223
199,58905230
200,65772220
201,64768511
202,72345061
203,58676994
204,58840577
205,64064660
206,63399817
207,61182607
208,56613268
209,56381603
210,61569275
211,52685294
212,55981119
213,51100165
214,52701309
215,59429184
216,55734831
217,53700156
218,55246378
219,59319085
220,57297979
221,54660108
222,50433919
223,53587852
224,53739933
225,54969461
226,53602017
227,56996175
228,53051517
229,110835466
230,77544055
231,67710504
232,70360587
233,76483856
234,70735208
235,66975887
236,60485387
237,66109056
238,88024342
239,61388246
240,62557750
241,53232791
242,54521147
243,54550331
244,55436393
245,55933962
246,53890608
247,54656151
248,55123808
249,57380650
250,52191780
251,54541237
252,51209227
253,54064226
254,54518323
255,56356711
256,52205251
257,56542426
258,52822721
259,56762954
260,54929643
