P1,P2,Time
1,1,443868
1,2,1608821
1,3,368890
1,4,484647
1,5,1162711
1,6,435142
1,7,347495
1,8,469850
1,9,430076
1,10,448817
1,11,1739277
1,12,418576
1,13,382324
1,14,359609
1,15,443781
1,16,2190486
1,17,371429
1,18,428905
1,19,3306507
1,20,431596
1,21,417441
1,22,402904
1,23,425448
1,24,340299
1,25,435212
1,26,390942
1,27,1575773
1,28,393650
1,29,423908
1,30,427417
1,40,432701
1,50,411720
1,60,1613153
1,70,387787
1,80,398341
1,90,1471550
1,100,384203
1,200,376937
1,300,1700359
1,400,1602618
1,500,1506881
1,600,1650883
2,1,180291
2,2,192248
2,3,194735
2,4,243134
2,5,233827
2,6,256819
2,7,260953
2,8,392394
2,9,219708
2,10,235596
2,11,248739
2,12,262272
2,13,227382
2,14,266417
2,15,266095
2,16,281254
2,17,208346
2,18,2911444
2,19,275881
2,20,250480
2,21,306104
2,22,290413
2,23,204617
2,24,211456
2,25,191514
2,26,359428
2,27,1492981
2,28,314638
2,29,334222
2,30,272931
2,40,235735
2,50,283019
2,60,1579070
2,70,249891
2,80,247065
2,90,277214
2,100,228923
2,200,260486
2,300,1916732
2,400,204106
2,500,1362953
2,600,433278
3,1,233645
3,2,202491
3,3,236482
3,4,352347
3,5,1616159
3,6,234420
3,7,485169
3,8,227369
3,9,215291
3,10,289857
3,11,262604
3,12,284646
3,13,245116
3,14,2173857
3,15,255690
3,16,226380
3,17,287882
3,18,583398
3,19,501925
3,20,1723408
3,21,1700583
3,22,2120137
3,23,237067
3,24,179118
3,25,1457462
3,26,262010
3,27,192174
3,28,217479
3,29,231458
3,30,266523
3,40,259739
3,50,238140
3,60,292222
3,70,191970
3,80,189298
3,90,244793
3,100,204270
3,200,323182
3,300,2031648
3,400,183052
3,500,270636
3,600,252119
4,1,221567
4,2,390727
4,3,255439
4,4,316545
4,5,3882283
4,6,217547
4,7,332949
4,8,264518
4,9,253966
4,10,2431640
4,11,273487
4,12,221970
4,13,1311867
4,14,213797
4,15,397942
4,16,206862
4,17,218223
4,18,201846
4,19,213755
4,20,229901
4,21,282797
4,22,2366872
4,23,219393
4,24,456208
4,25,314583
4,26,256885
4,27,188660
4,28,216734
4,29,243780
4,30,147371
4,40,339643
4,50,220783
4,60,238085
4,70,3825677
4,80,187900
4,90,1506295
4,100,181739
4,200,204480
4,300,192523
4,400,452895
4,500,1469448
4,600,280307
5,1,4537886
5,2,197868
5,3,1609300
5,4,186859
5,5,184795
5,6,1154254
5,7,220354
