P2,P1,Time
1,1,83613690
2,1,77904679
3,1,79895725
4,1,68705588
5,1,67250188
6,1,64802617
7,1,65146045
8,1,66793776
9,1,68689666
10,1,68311327
11,1,65295807
12,1,66408023
13,1,69145789
14,1,69160173
15,1,64319435
16,1,63520815
17,1,66689554
18,1,66433428
19,1,64762013
20,1,64584779
21,1,64276101
22,1,66923199
23,1,63481671
24,1,71693331
25,1,68306267
26,1,64533828
27,1,68844838
28,1,65740508
29,1,65253782
30,1,64931373
40,1,65549378
50,1,68917664
60,1,64348280
70,1,66088189
80,1,66761450
90,1,65286815
100,1,68375149
200,1,68127801
300,1,71858638
400,1,65313278
500,1,67221556
600,1,64169755
700,1,67579375
800,1,63069772
900,1,63477065
1000,1,66958294
2000,1,64389872
1,2,81480793
2,2,69184043
3,2,65933946
4,2,70487846
5,2,69236030
6,2,69036205
7,2,64984114
8,2,65924454
9,2,67461338
10,2,63839905
11,2,66361985
12,2,67024654
13,2,66776491
14,2,65833912
15,2,64119520
16,2,67408760
17,2,68179185
18,2,64916763
19,2,66796647
20,2,67022619
21,2,65653116
22,2,64516718
23,2,69829663
24,2,63945963
25,2,63474163
26,2,63841112
27,2,68046896
28,2,64215427
29,2,65627871
30,2,67529005
40,2,65631020
50,2,64073399
60,2,64956746
70,2,66924576
80,2,67030216
90,2,62382322
100,2,67040483
200,2,63123441
300,2,64228935
400,2,69810586
500,2,68258673
600,2,66478913
700,2,67102326
800,2,65089795
900,2,69104813
1000,2,65259508
2000,2,64719746
1,3,80639635
2,3,105430204
3,3,68902111
4,3,63264274
5,3,73478453
6,3,66614623
7,3,68412762
8,3,63180243
9,3,65280475
10,3,63121324
11,3,69285053
12,3,65881799
13,3,63673430
14,3,67246293
15,3,64359533
16,3,64988719
17,3,64540827
18,3,69720156
19,3,72341085
20,3,62986020
21,3,68986880
22,3,64640255
23,3,67066497
24,3,67555044
25,3,64994843
26,3,65952726
27,3,64267031
28,3,68765649
29,3,64287847
30,3,67476170
40,3,65690866
50,3,64173918
60,3,64223443
70,3,65541313
80,3,63587773
90,3,63619270
100,3,67943398
200,3,65868761
300,3,65303680
400,3,64709060
500,3,63380720
600,3,63544180
700,3,63844886
800,3,64514083
900,3,65459401
1000,3,65380262
2000,3,65038110
1,4,85972689
2,4,72235239
3,4,70161841
4,4,70777564
5,4,65645465
6,4,65061456
7,4,63674070
8,4,71953730
9,4,65690729
10,4,66442041
11,4,66894570
12,4,67469552
13,4,68191599
14,4,65013373
15,4,64954999
16,4,67683847
17,4,64933212
18,4,69116993
19,4,71701727
20,4,67686546
21,4,66800219
22,4,63068623
23,4,68562196
24,4,66679646
25,4,64249307
26,4,67945966
27,4,67322856
28,4,66919320
29,4,71012366
30,4,63786521
40,4,65172327
50,4,66883320
60,4,66696367
70,4,65914711
80,4,65934361
90,4,63922667
100,4,65325044
200,4,67109049
300,4,65148042
400,4,63768694
500,4,64311313
600,4,67729886
700,4,63491261
800,4,64616791
900,4,68432070
1000,4,64812371
2000,4,67302923
1,5,82199630
2,5,69808486
3,5,68409418
4,5,66703921
5,5,67516872
6,5,65451850
7,5,65815084
8,5,67143652
9,5,66157910
10,5,65135975
11,5,64042591
12,5,66316204
13,5,66171146
14,5,65148526
15,5,63886541
16,5,66396713
17,5,69270113
18,5,70530054
19,5,63685458
20,5,64773882
21,5,66192162
22,5,67560913
23,5,64931625
24,5,64952032
25,5,65645403
26,5,66269050
