28,1,79319961
29,1,67339153
30,1,79649227
40,1,105552459
50,1,78955368
60,1,68202569
70,1,66663728
80,1,66183348
90,1,62942660
100,1,58715944
200,1,65834466
300,1,65335642
400,1,63896817
500,1,65857148
600,1,61663535
700,1,67661667
800,1,67164106
900,1,73210381
1000,1,71789679
2000,1,74420967
1,2,94559423
2,2,67236633
3,2,66212114
4,2,63146754
5,2,71966612
6,2,54197763
7,2,54136559
8,2,54052472
9,2,61618942
10,2,63171962
11,2,57813667
12,2,59036086
13,2,48704316
14,2,65988446
15,2,58204589
16,2,48509220
17,2,52241720
18,2,57886612
19,2,51439037
20,2,53486883
21,2,50586020
22,2,50408819
23,2,51770259
24,2,60300445
25,2,57793340
26,2,51332158
27,2,55487471
28,2,46928962
29,2,53194897
30,2,52398666
40,2,50440828
50,2,49387767
60,2,52934399
70,2,54964221
80,2,55711039
90,2,68270230
100,2,56115627
200,2,57253869
300,2,57934655
400,2,59809167
500,2,56972984
600,2,56826430
700,2,60559071
800,2,52774712
900,2,47087670
1000,2,49490780
2000,2,48121406
1,3,54935047
2,3,50205249
3,3,51936873
4,3,44702994
5,3,50102927
6,3,48875218
7,3,49178716
8,3,55700070
9,3,66368611
10,3,55628737
11,3,54597196
12,3,50917484
13,3,54547012
14,3,54762115
15,3,51444701
16,3,56382499
17,3,49326876
18,3,45580588
19,3,53863623
20,3,52202701
21,3,48646580
22,3,60192275
23,3,55978062
24,3,58118531
25,3,48621393
26,3,59737533
27,3,48210795
28,3,51779229
29,3,56337456
30,3,51547294
40,3,54003555
50,3,55378901
60,3,52569790
70,3,52056478
80,3,53466870
90,3,55736852
100,3,53226761
200,3,61730377
300,3,59146838
400,3,59277022
500,3,50839689
600,3,56747935
700,3,61341649
800,3,45741181
900,3,56278186
1000,3,51589825
2000,3,63302333
1,4,62083760
2,4,55207891
3,4,56259763
4,4,53646286
5,4,46539386
6,4,48039165
7,4,49816003
8,4,57538668
9,4,56383092
10,4,53004145
11,4,53739111
12,4,60723182
13,4,52747574
14,4,50578923
15,4,52407317
16,4,52543382
17,4,47408845
18,4,50808544
19,4,50884956
20,4,52002229
21,4,51489469
22,4,49128116
23,4,49269190
24,4,48893928
25,4,56876398
26,4,60080179
27,4,54310092
28,4,53753559
29,4,45901843
30,4,51881333
40,4,51751228
50,4,64002445
60,4,66400627
70,4,48328257
80,4,55880814
90,4,49308214
100,4,55004684
200,4,52411627
300,4,48529716
400,4,46084346
500,4,46583521
600,4,57974416
700,4,45614486
800,4,47264236
900,4,49106286
1000,4,48316837
2000,4,49045513
1,5,58577906
2,5,49602816
3,5,47642765
4,5,48899358
5,5,46314217
6,5,48026624
7,5,44496251
8,5,47797977
9,5,44511211
10,5,52794715
11,5,57074352
12,5,46854850
13,5,53366036
14,5,51826111
15,5,52442356
16,5,43501209
17,5,41368494
18,5,46789988
19,5,41555234
20,5,44334409
21,5,44106012
22,5,41203435
23,5,42015005
24,5,50762208
25,5,45165446
26,5,50145143
27,5,42685811
28,5,43596688
29,5,52176880
30,5,39885677
40,5,53133762
50,5,47930245
60,5,47032534
70,5,49815727
80,5,50046810
90,5,43299652
100,5,44806274
200,5,38969892
300,5,41610969
400,5,42650015
500,5,41512194
600,5,43453941
700,5,47746631
800,5,57995448
900,5,46955269
1000,5,49218418
2000,5,46429725
1,6,47840628
2,6,45640397
3,6,46936545
4,6,47581914
5,6,39913791
6,6,41437454
7,6,48153775
8,6,41269591
9,6,43925244
10,6,44676392
11,6,49677340
12,6,42378778
13,6,41735533
14,6,37780796
15,6,56273034
16,6,41576966
17,6,41868452
18,6,40195989
19,6,52846625
20,6,44330053
21,6,43404199
22,6,45645807
23,6,44684978
24,6,50656694
25,6,40414290
26,6,45556561
27,6,39806361
28,6,44988376
29,6,43613892
30,6,46582103
40,6,37517263
50,6,45125815
60,6,46403197
70,6,51614368
80,6,40916130
90,6,40859403
100,6,46518132
200,6,44356474
300,6,46585538
400,6,40396977
500,6,46363392
600,6,46306397
700,6,41607004
800,6,38256177
900,6,43985909
1000,6,46285337
2000,6,46316485
1,7,47886326
2,7,49080943
3,7,43302450
4,7,49224433
5,7,48263483
6,7,54244345
7,7,41739402
8,7,45502912
9,7,47937452
10,7,45910345
11,7,43489831
12,7,52917530
13,7,43715864
14,7,48922908
15,7,47099312
16,7,55547105
17,7,44032226
18,7,46787227
19,7,43038476
20,7,43716847
21,7,39434176
22,7,40954894
23,7,43858363
24,7,38423693
25,7,43440479
26,7,46715515
27,7,49520829
28,7,44366484
29,7,54028532
30,7,41072354
40,7,39248648
50,7,41364923
60,7,46396466
70,7,51199793
80,7,46951837
90,7,53259552
100,7,55848803
200,7,47451793
300,7,50056963
400,7,48713567
500,7,49558981
600,7,58665930
700,7,47228055
800,7,43851721
900,7,55563869
1000,7,48823554
2000,7,55604575
1,8,52839666
2,8,43586485
3,8,44959575
4,8,45277963
5,8,40867210
6,8,49924796
7,8,48275427
8,8,44355434
9,8,41887903
10,8,41436056
11,8,47015658
12,8,42670738
13,8,42546205
14,8,46778493
15,8,49207604
16,8,55051631
17,8,61512022
18,8,51569127
19,8,55466469
20,8,65727088
21,8,55148002
22,8,52719061
23,8,46145849
24,8,45620055
25,8,45152087
26,8,47963784
27,8,52540367
28,8,49726306
29,8,44470641
30,8,51356459
40,8,40019964
50,8,45242337
60,8,42344428
70,8,42419059
80,8,39855267
90,8,40271957
100,8,43067715
200,8,45488358
300,8,42724752
400,8,43823229
500,8,39005033
600,8,40158815
700,8,47269876
800,8,44125696
900,8,53298979
1000,8,43647559
2000,8,44764954
1,9,47000651
2,9,53216484
3,9,44740478
4,9,41658675
5,9,40926554
6,9,46503961
7,9,42240805
8,9,41863178
9,9,41485650
10,9,47038202
11,9,44725751
