#(threads) in P2,#(threads) in P1,time taken(in ns)
1,1,4567455
2,1,2165487
3,1,1606638
4,1,2029611
5,1,1616212
6,1,1817784
7,1,1659216
8,1,1625644
9,1,1619800
10,1,1341122
11,1,1360283
12,1,1821447
13,1,2693770
14,1,2887327
15,1,2656344
16,1,2596578
17,1,2521306
18,1,2713093
19,1,2646782
20,1,2959139
21,1,2695713
22,1,2794496
23,1,2717277
24,1,2759748
25,1,2689087
1,2,4858663
2,2,2573527
3,2,2306464
4,2,2399496
5,2,2795430
6,2,2482067
7,2,2491349
8,2,2401970
9,2,2490197
10,2,2734044
11,2,2458005
12,2,2629517
13,2,2524831
14,2,2504114
15,2,2258168
16,2,2553858
17,2,2552320
18,2,2345892
19,2,2495598
20,2,2414697
21,2,2406936
22,2,2693417
23,2,2609393
24,2,2474704
25,2,2544037
1,3,3997737
2,3,2541472
3,3,2903224
4,3,2679920
5,3,2503417
6,3,2191817
7,3,2325440
8,3,2675185
9,3,2546296
10,3,2615283
11,3,2516794
12,3,2382852
13,3,2356717
14,3,2653336
15,3,2567453
16,3,2396783
17,3,2611034
18,3,2626536
19,3,2439813
20,3,2519837
21,3,2705492
22,3,2278611
23,3,2471152
24,3,2319442
25,3,2400137
1,4,4434942
2,4,2913168
3,4,2581831
4,4,2424403
5,4,1388773
6,4,1013165
7,4,1041365
8,4,1022686
9,4,2639600
10,4,2887267
11,4,2508977
12,4,2615508
13,4,2547263
14,4,2599729
15,4,2906914
16,4,2712551
17,4,2603460
18,4,2862614
19,4,2694403
20,4,2851695
21,4,2793637
22,4,2404261
23,4,2782562
24,4,1319394
25,4,819727
1,5,998168
2,5,744818
3,5,699769
4,5,1048204
5,5,998772
6,5,2759555
7,5,2745029
8,5,2873093
9,5,5320214
10,5,2525086
11,5,2919240
12,5,2679728
13,5,2360777
14,5,2375666
15,5,2541494
16,5,2297320
17,5,2334454
18,5,2385951
19,5,2867720
20,5,2447896
21,5,2298598
22,5,2350705
23,5,2876432
24,5,2697248
25,5,2760231
1,6,4766822
2,6,3245910
3,6,2810651
4,6,2676333
5,6,2627015
6,6,2654788
7,6,2723739
8,6,2931576
9,6,2729547
10,6,3094713
11,6,2762981
12,6,3227852
13,6,2662714
14,6,2755602
15,6,2862212
16,6,2806476
17,6,3420384
18,6,2728281
19,6,2413521
20,6,2555462
21,6,2992576
22,6,2696532
23,6,2825639
24,6,2782500
25,6,3159605
1,7,3746477
2,7,3040938
3,7,1036449
4,7,3257516
5,7,1567856
6,7,1659818
7,7,2331531
8,7,2766143
9,7,2866998
10,7,2755328
11,7,2885873
12,7,2833638
13,7,1029520
14,7,1006646
15,7,1246826
16,7,2734560
17,7,2837265
18,7,2904080
19,7,3000206
20,7,2710388
21,7,2920425
22,7,2759656
23,7,2725610
24,7,2877289
25,7,2878882
1,8,4822768
2,8,3374273
3,8,2979529
4,8,2823939
5,8,2950031
6,8,3387546
7,8,2867771
8,8,2826550
9,8,3288299
10,8,2843680
11,8,3097992
12,8,2951170
13,8,3026750
14,8,3672134
15,8,2936242
16,8,3127753
17,8,2862650
18,8,3070365
19,8,2961296
20,8,3390995
21,8,3093214
22,8,3018613
23,8,3106458
24,8,2795534
25,8,2715369
1,9,4596718
2,9,2932218
3,9,2672327
4,9,2753810
5,9,2917078
6,9,2921498
7,9,2731199
8,9,3218747
9,9,3057016
10,9,2914163
11,9,3443230
12,9,1290266
13,9,1910368
14,9,906316
15,9,1129254
16,9,1079494
17,9,2608811
18,9,3077089
19,9,3049072
20,9,3167547
21,9,3021448
22,9,2923071
23,9,2950140
24,9,3007316
25,9,2873868
1,10,5080856
2,10,3088471
3,10,3052676
4,10,3258746
5,10,3151949
6,10,2667685
7,10,3193618
8,10,3204109
9,10,2958506
10,10,1278658
11,10,1110434
12,10,750325
13,10,708339
14,10,874424
15,10,705652
16,10,813965
17,10,682699
18,10,914551
19,10,700636
20,10,902967
21,10,855383
22,10,956045
23,10,870193
24,10,732576
25,10,735102
