Size,Time
50,104958748
50,95804477
50,97033634
50,88766876
50,88633759
50,86059799
50,68013384
50,73198854
50,81271301
50,87885733
50,93376399
50,75681184
50,71715663
50,70597383
50,79679696
50,72122713
50,81475419
50,76232945
50,70150151
50,75577738
50,66046332
50,75633209
50,81428873
50,117872882
50,112445154
50,78474482
50,64710202
50,69279874
50,69191331
50,62643359
50,76285275
50,86535071
50,74850441
50,78972563
50,86525421
50,83780860
50,71941357
50,80975682
50,66236728
50,70519527
50,69681479
50,69498479
50,67933620
50,68095166
50,74240856
50,61620893
50,69073751
50,91603167
50,108974049
50,78113921
50,94288664
50,75445964
50,76017235
50,87449230
50,93919008
50,86141009
50,76739795
50,70919623
50,66836310
50,71194799
50,60776022
50,74572456
50,79109592
50,106374734
50,67263029
50,58205819
50,67427150
50,72185020
50,73735794
50,67622460
50,72214829
50,61203042
50,64518521
50,61290335
50,58629216
50,66584014
50,125749274
50,96651494
50,71516978
50,81139612
50,80416544
50,68634032
50,80763049
50,78614954
50,89871558
50,68486906
50,71024816
50,86144924
50,80899432
50,59225295
50,68232861
50,67293424
50,75721397
50,60850563
50,69521893
50,95068722
50,92402362
50,73598814
50,56997861
50,72343348
50,65267318
50,73103284
50,66612518
50,58517954
50,83603437
50,63119260
50,60278593
50,66104751
50,76341815
50,75609834
50,75246623
50,73370972
50,70302708
50,66847552
50,74056912
50,69671730
50,62034005
50,74753644
50,83715890
50,77137387
50,62520114
50,58059168
50,126643714
50,89666839
50,88450328
50,90117970
50,80841069
50,67535952
50,71854001
50,65767059
50,71741382
50,81971532
50,77280546
50,74980504
50,95650845
50,67864369
50,64396507
50,80069445
50,79145902
50,68777699
50,59686036
50,110417210
50,84380501
50,83704361
50,95275864
50,69344002
50,71672341
50,73245281
50,72140624
50,68021667
50,65566084
50,107463079
50,79392154
50,93028811
50,67149746
50,56844554
50,67366123
50,65642877
50,78144875
50,62046914
50,160860295
50,71412135
50,60328232
50,66434424
50,59050877
50,60625953
50,115446508
50,85492270
50,88687688
50,90329743
50,85749688
50,108844870
50,71219135
50,64996737
50,59745327
50,71613301
50,58362414
50,74000551
50,66058314
50,70716704
50,71752655
50,64625639
50,77167643
50,81934582
50,75116975
50,72823387
50,77943490
50,62629217
50,87669737
50,90382962
50,81044279
50,88413949
50,82701055
50,87186090
50,88321100
50,77277496
50,78346660
50,83886531
50,82229245
50,73864356
50,76797414
50,63362651
50,83033461
50,63872442
50,69473413
50,57425776
50,157943023
50,74826092
50,62990830
50,61177151
50,104087770
50,65421704
50,79837812
50,75061281
50,75879103
50,72299384
50,59363794
50,73900163
50,68345509
50,65931775
50,78338504
50,68268733
50,63966440
50,75411264
50,75201677
50,64118520
50,68827770
50,59011953
50,75811514
50,74459342
50,66242516
50,67719628
50,64142680
50,71170520
50,66889406
50,98145576
50,80019995
50,73584860
50,77090061
50,67565126
50,69117255
50,77552055
50,78977041
50,61183123
50,86774688
50,73655335
50,79516812
50,79199679
50,70088510
50,75379475
50,75141012
50,58506422
50,71078982
50,71751471
50,81192990
50,87886492
50,62664576
50,71655644
50,71195283
50,66716128
50,60185271
50,59428944
50,67122362
50,65543119
50,77056406
50,73143311
50,57142626
50,70876983
50,58324322
50,74284649
50,77484236
50,61183406
50,70000656
50,68491258
50,76345446
50,57707091
50,71368824
50,63479480
50,61961182
50,75134518
50,80712307
50,84911208
50,96275862
50,76290757
50,68042598
50,86593148
50,91028730
50,88724242
50,88174215
50,66001916
50,63331021
50,84887802
50,60699593
50,57293258
50,64960785
50,61625863
50,65568389
50,70476970
50,65005802
50,72204551
50,67627256
50,59881939
50,69121513
50,58987109
50,68070381
50,61735172
50,72515940
50,78824899
50,66595280
50,61924005
50,78197657
50,80650269
50,77464165
50,92674064
50,82429530
50,85158637
50,71354304
50,68415198
50,70319076
50,74957584
50,64306016
50,71190104
50,66539504
50,76664350
50,88133165
50,89036878
50,79896192
50,66600783
50,63488415
50,88282978
50,76248840
50,74685180
50,74719416
50,81168176
50,65128864
50,75286783
50,58043955
50,73330714
50,69569030
50,63310303
50,69313877
50,57877931
50,57537848
50,72313340
50,74436933
50,60896356
50,73887055
50,65535780
50,89374029
50,67517833
50,59947217
50,73822217
50,69123280
50,68938761
50,75374265
50,79834931
50,75900929
50,110028907
50,72916833
50,59566125
50,128830968
50,62366895
50,76863199
50,82550694
50,57487632
50,69283490
50,60723920
50,75137400
50,69662126
50,74623605
50,68116408
50,90901925
50,71600217
50,68687295
50,75038693
50,68343684
50,73467938
50,77077703
50,74455324
50,77923760
50,70405267
50,71109825
50,58328025
50,117657061
50,66359360
50,68720733
50,68746162
50,74881793
50,70661880
50,69013050
50,61741811
50,67211337
50,83675768
50,68057079
50,66404644
50,74732373
50,68470198
50,64642010
50,69226859
50,65700738
50,96073861
50,86511735
50,80726745
50,106003036
50,93704274
50,78647532
50,69598394
50,73767200
50,75948612
50,66864286
50,78789671
50,99884571
50,65087805
50,73572330
50,68921548
50,77972675
50,87869716
50,66605924
50,82861619
50,67886187
50,85711004
50,68377796
50,60868772
50,93694062
50,80889221
50,79399907
50,64526923
50,76076753
50,69762107
50,72107822
50,74381960
50,66525103
50,75707913
50,66621821
50,71392961
50,65347969
50,74632727
50,67446344
50,79911317
50,74138764
50,70490156
50,57764800
50,148984970
50,99648182
50,71501677
50,76812929
50,61102535
50,70758087
50,72180758
50,76087359
50,104223420
50,70534478
