P2,P1,Time
1,1,56106390
2,1,43457659
3,1,45229682
4,1,41730418
5,1,41215854
6,1,41927806
7,1,45934154
8,1,33261096
9,1,39196455
10,1,41772733
11,1,43005731
12,1,42542469
13,1,40700812
14,1,45210458
15,1,42904300
16,1,45803592
17,1,43317717
18,1,40634943
19,1,41139233
20,1,38810791
21,1,41424822
22,1,39959361
23,1,39747383
24,1,38061828
25,1,85561504
26,1,52825499
27,1,53230743
28,1,52470464
29,1,54579590
30,1,53477626
40,1,54144029
50,1,51306531
60,1,51995738
70,1,51174886
80,1,52024247
90,1,51855813
100,1,54918629
200,1,53101368
300,1,52168645
400,1,49851007
500,1,50728357
600,1,55105192
700,1,54218485
800,1,51831510
900,1,50458597
1000,1,49140361
1,2,63738022
2,2,54380697
3,2,42954483
4,2,39753352
5,2,38003964
6,2,47451112
7,2,52128795
8,2,40428304
9,2,60360058
10,2,38514256
11,2,38822534
12,2,57270901
13,2,43537839
14,2,35761263
15,2,36520401
16,2,38487665
17,2,38596486
18,2,43417027
19,2,49032619
20,2,48161983
21,2,51928956
22,2,53839742
23,2,47204066
24,2,35218856
25,2,36429819
26,2,48734681
27,2,38037573
28,2,39355077
29,2,39674937
30,2,38817115
40,2,40904880
50,2,39292212
60,2,42897047
70,2,40910911
80,2,38318208
90,2,43167667
100,2,34537304
200,2,76240663
300,2,47576456
400,2,37530502
500,2,39742596
600,2,57409714
700,2,58000021
800,2,52045655
900,2,43249232
1000,2,45755811
1,3,55830944
2,3,54286257
3,3,39157000
4,3,39271313
5,3,41385621
6,3,56651193
7,3,52742643
8,3,52893656
9,3,53031606
10,3,55192014
11,3,51570417
12,3,47996523
13,3,48503575
14,3,46788241
15,3,41961923
16,3,39745883
17,3,44518035
18,3,43062772
19,3,41789861
20,3,40227994
21,3,42318133
22,3,40179960
23,3,43254317
24,3,42395512
25,3,40848052
26,3,39941013
27,3,43188253
28,3,40482704
29,3,42841520
30,3,41387077
40,3,44114518
50,3,42060298
60,3,39883764
70,3,42506132
80,3,39249554
90,3,40956074
100,3,39880168
200,3,41280290
300,3,42630602
400,3,41207422
500,3,40149692
600,3,41753045
700,3,40478782
800,3,40470820
900,3,42513357
1000,3,39729015
1,4,52491428
2,4,44585411
3,4,52739873
4,4,46429853
5,4,87368491
6,4,41387160
7,4,37629257
8,4,39965004
9,4,39159626
10,4,37919131
11,4,39740915
12,4,40911882
13,4,43168377
14,4,37761544
15,4,42408657
16,4,40348622
17,4,37947398
18,4,81972794
19,4,81430560
20,4,65281703
21,4,61070220
22,4,34456602
23,4,36987095
24,4,85836714
25,4,75980660
26,4,59738967
27,4,37475106
28,4,35938436
29,4,35997280
30,4,38189023
40,4,38875397
50,4,39173417
60,4,39551485
70,4,39837029
80,4,40267464
90,4,41405240
100,4,39277971
200,4,37518104
300,4,38865357
400,4,40020229
500,4,39780786
600,4,38669795
700,4,38682665
800,4,40697335
900,4,38731417
1000,4,37905188
1,5,46516818
2,5,49352883
3,5,40515757
4,5,40221132
5,5,41556073
6,5,41779221
7,5,39010644
8,5,40026581
9,5,39790989
10,5,38549990
11,5,41874771
12,5,37645103
13,5,40419821
14,5,38674824
15,5,36973669
16,5,39170607
17,5,37701993
18,5,38429488
19,5,37789626
20,5,37543682
21,5,38163702
22,5,38767888
23,5,38004074
24,5,39958038
25,5,39942244
26,5,42376387
27,5,43198218
28,5,39409609
29,5,43673520
30,5,44375769
40,5,40670845
50,5,41803906
60,5,40217546
70,5,40671259
80,5,41861133
90,5,47745429
100,5,43692061
200,5,43185550
300,5,43526774
400,5,41793505
500,5,40030923
600,5,41114059
700,5,44921527
800,5,40962015
900,5,40518597
1000,5,40343532
1,6,55034813
2,6,46177181
3,6,48499847
4,6,43764819
5,6,40731461
6,6,43165947
7,6,41755917
8,6,41416649
9,6,41893758
10,6,40151082
11,6,42307976
12,6,43693164
13,6,43265834
14,6,42003449
15,6,42230568
16,6,40154532
17,6,42053226
18,6,42052701
19,6,41871132
20,6,39813044
21,6,42009465
22,6,42402111
23,6,42089237
24,6,42135043
25,6,39981942
26,6,42026575
27,6,41554615
28,6,42121313
29,6,40055723
30,6,40088273
40,6,42519908
50,6,40129320
60,6,42395033
70,6,39994505
80,6,41049982
90,6,42740795
100,6,41854582
200,6,42701358
300,6,39497753
400,6,37487181
500,6,37363062
600,6,39221843
700,6,39431317
800,6,41295139
900,6,37932468
1000,6,39038202
1,7,54977295
2,7,36897327
3,7,39442610
4,7,43741347
5,7,41885180
6,7,41142987
7,7,42978974
8,7,42754354
9,7,41017738
10,7,45417524
11,7,42818634
12,7,42342181
13,7,40221733
14,7,43222445
15,7,40572992
16,7,42876365
17,7,40164024
18,7,40728499
19,7,43098844
20,7,39987626
21,7,35119425
22,7,38011610
23,7,38484115
24,7,39675905
25,7,35926034
26,7,36866173
27,7,37773329
28,7,39907531
29,7,37089431
30,7,39795968
40,7,38440529
50,7,37180816
60,7,38542442
70,7,39858468
80,7,38686453
90,7,37823707
100,7,36870557
200,7,35836419
300,7,36920537
400,7,40591783
500,7,37163876
600,7,37940424
700,7,37262287
800,7,39031147
900,7,37426724
1000,7,36642577
1,8,46863102
2,8,37516941
3,8,40622679
4,8,40535295
5,8,37648243
6,8,37159054
7,8,38373639
8,8,36185007
9,8,36893713
10,8,42227881
11,8,36841446
12,8,37143657
13,8,42998189
14,8,48013828
15,8,46825683
16,8,48797145
17,8,48433942
18,8,48001216
19,8,45188862
20,8,47690277
21,8,48375844
22,8,46163119
23,8,48993197
24,8,41472545
25,8,42753881
26,8,44105727
27,8,43264229
28,8,42880472
29,8,40381110
30,8,40886430
40,8,41695433
50,8,43426898
60,8,41787947
70,8,41778127
80,8,40214032
90,8,45667708
100,8,39952112
200,8,42460177
300,8,40630131
400,8,42882138
500,8,42179896
600,8,41728687
700,8,40068373
800,8,41439433
900,8,41046085
1000,8,40772399
1,9,52960484
2,9,47550863
3,9,43707639
4,9,42204536
5,9,42354945
6,9,41229809
7,9,40187529
8,9,39888922
