P2,P1,Time
1,1,38846226
2,1,21674145
3,1,24741764
4,1,25053669
5,1,25456047
6,1,23529326
7,1,22459141
8,1,24860307
9,1,26787414
10,1,25073259
11,1,20221355
12,1,24345626
13,1,26197549
14,1,22648664
15,1,26917640
16,1,26011578
17,1,23986072
18,1,20731951
19,1,25529885
20,1,26910238
21,1,22277185
22,1,26844681
23,1,26190234
24,1,22314909
25,1,20395304
26,1,26979549
27,1,21940533
28,1,25863852
29,1,27939304
30,1,24830064
40,1,20944121
50,1,24147322
60,1,20743343
70,1,23830731
80,1,20255597
90,1,23490888
100,1,26142868
200,1,24018621
300,1,19705873
400,1,25921092
500,1,25658285
600,1,23672349
1,2,35724177
2,2,21883439
3,2,21435082
4,2,25675583
5,2,26883772
6,2,23611748
7,2,22393861
8,2,24004989
9,2,25724510
10,2,23029023
11,2,21763246
12,2,23611595
13,2,22667437
14,2,19204962
15,2,22430255
16,2,19044662
17,2,22440444
18,2,22934350
19,2,17953642
20,2,26851406
21,2,21563564
22,2,23383357
23,2,24423988
24,2,19054828
25,2,22989778
26,2,18155460
27,2,23129974
28,2,21471395
29,2,24219629
30,2,22670839
40,2,17804399
50,2,24498016
60,2,19358799
70,2,24104547
80,2,19533662
90,2,19730852
100,2,24061636
200,2,23338400
300,2,24114068
400,2,20489474
500,2,23078761
600,2,20484514
1,3,26988956
2,3,36977590
3,3,26578121
4,3,18434592
5,3,24218727
6,3,18759176
7,3,24265574
8,3,24789052
9,3,18780633
10,3,21736036
11,3,23618384
12,3,20366803
13,3,49284312
14,3,48777437
15,3,50439928
16,3,39768221
17,3,24035927
18,3,21266828
19,3,24672037
20,3,25897051
21,3,29651722
22,3,24122904
23,3,21367791
24,3,24447761
25,3,32111557
26,3,22138067
27,3,25622668
28,3,26371383
29,3,20430554
30,3,14445385
40,3,27783880
50,3,27033622
60,3,30863158
70,3,25810703
80,3,22157544
90,3,23551164
100,3,27544188
200,3,26137775
300,3,27036093
400,3,23469032
500,3,28247467
600,3,24564625
1,4,51650976
2,4,22175714
3,4,31362495
4,4,28394610
5,4,32491566
6,4,28739517
7,4,25653136
8,4,25747169
9,4,26813257
10,4,23856790
11,4,24934891
12,4,23890327
13,4,23494680
14,4,30097993
15,4,26420177
16,4,28717270
17,4,25948466
18,4,22500431
19,4,19067762
20,4,24031260
21,4,25577649
22,4,29870193
23,4,23950439
24,4,24579610
25,4,38810634
26,4,21802230
27,4,38261472
28,4,22506465
29,4,28181242
30,4,26874551
40,4,21067294
50,4,24078383
60,4,22086641
70,4,18751544
80,4,24793363
90,4,18190552
100,4,23334369
200,4,18547477
300,4,19807324
400,4,26441508
500,4,21558272
600,4,20779133
1,5,32119727
2,5,24292063
3,5,24593089
4,5,23385571
5,5,25839668
6,5,28374444
7,5,20857410
8,5,28051206
9,5,23860480
10,5,24934691
11,5,21659539
12,5,18882287
13,5,25687461
14,5,23032658
15,5,21362239
16,5,22107355
17,5,23144600
18,5,22755378
19,5,24359366
20,5,54769237
21,5,55644007
22,5,48126398
23,5,46347581
24,5,46797478
25,5,44141005
26,5,39033339
27,5,42347638
28,5,32098264
29,5,29070323
30,5,19130918
40,5,27014589
50,5,19466047
60,5,22114206
70,5,17316461
80,5,25924084
90,5,28678481
100,5,26669679
200,5,23720557
300,5,29017463
400,5,26924999
500,5,29247504
600,5,29544877
1,6,49276841
2,6,34830903
3,6,23368054
4,6,24358147
5,6,27496577
6,6,28835903
7,6,29795519
8,6,31648553
9,6,30552518
10,6,27636103
11,6,24583390
12,6,24757933
13,6,26586811
14,6,22419402
15,6,19072133
16,6,24402190
17,6,20324116
18,6,25592672
19,6,26540802
20,6,23313901
21,6,18243074
22,6,20513932
23,6,23635791
24,6,20334240
25,6,21671780
26,6,21569040
27,6,22511894
28,6,26102997
29,6,20741226
30,6,23423230
40,6,19386306
50,6,21849241
60,6,18497680
70,6,24312172
80,6,23489842
90,6,18960237
100,6,22763245
200,6,23589376
300,6,21830803
400,6,19120668
500,6,23801353
600,6,21978009
1,7,31353278
2,7,41724069
3,7,28740149
4,7,21460133
5,7,22697246
6,7,17441283
7,7,25603739
8,7,21119247
9,7,26680419
10,7,18052422
11,7,27562199
12,7,28790635
13,7,26913943
14,7,31859644
15,7,30686768
16,7,31197971
17,7,32207367
18,7,30288766
19,7,49693960
20,7,53077944
21,7,45592511
22,7,47609366
23,7,38429569
24,7,35348720
25,7,37343997
26,7,34650196
27,7,26918860
28,7,26583434
29,7,48201802
30,7,51048441
40,7,50064049
50,7,48822373
60,7,49309372
70,7,48719559
