Size,P1,P2
5,1700302,1604104
10,2127892,2124178
15,2373277,2342782
20,2293043,2273897
25,2434462,2419630
30,2403477,2394959
35,2253786,2223913
40,2227907,2176767
45,2439944,2350676
50,2634308,2506227
