P2,P1,Time
1,1,5424746
2,1,4487905
3,1,5683024
4,1,4569257
5,1,4910525
6,1,4400058
7,1,4248133
8,1,4815154
9,1,5214363
10,1,8735667
11,1,4217103
12,1,4329074
13,1,4291142
14,1,4897441
15,1,4335745
16,1,4253201
17,1,4625043
18,1,4440296
19,1,4327744
20,1,4407821
21,1,5672778
22,1,4415550
23,1,4346150
24,1,6007258
25,1,4381267
1,2,5599826
2,2,4368093
3,2,4392067
4,2,4265825
5,2,4476625
6,2,4489691
7,2,4565579
8,2,4434121
9,2,4948211
10,2,4363005
11,2,4387736
12,2,4522313
13,2,4398168
14,2,4508186
15,2,4550118
16,2,4526217
17,2,4111977
18,2,4063649
19,2,4235738
20,2,4353630
21,2,4707056
22,2,4493521
23,2,4501735
24,2,4440891
25,2,4950924
1,3,5198297
2,3,4122649
3,3,4304958
4,3,4320595
5,3,4597765
6,3,4535785
7,3,4475160
8,3,4095590
9,3,4416228
10,3,4528904
11,3,8270692
12,3,4101005
13,3,4087121
14,3,4355938
15,3,4753306
16,3,4626545
17,3,4285177
18,3,4601805
19,3,4259836
20,3,4295437
21,3,4452162
22,3,8274969
23,3,4524318
24,3,4414292
25,3,4251456
1,4,5159129
2,4,14052126
3,4,4333962
4,4,4494837
5,4,4397034
6,4,4360219
7,4,4603677
8,4,4685874
9,4,4199270
10,4,4331585
11,4,4561623
12,4,5957138
13,4,4627115
14,4,4551007
15,4,4260015
16,4,4513962
17,4,4585223
18,4,4550429
19,4,4562637
20,4,4426591
21,4,4279698
22,4,4255420
23,4,4403367
24,4,10081523
25,4,4558672
1,5,4909579
2,5,4382852
3,5,4587648
4,5,5428117
5,5,4766127
6,5,4131589
7,5,4396207
8,5,4444759
9,5,4593622
10,5,7985080
11,5,4280003
12,5,4414741
13,5,4432201
14,5,4388374
15,5,4479874
16,5,4368112
17,5,4258227
18,5,4530935
19,5,6344697
20,5,5084713
21,5,4649034
22,5,4550668
23,5,4373699
24,5,7764063
25,5,8609616
1,6,4471941
2,6,4509371
3,6,4441250
4,6,7224657
5,6,4392757
6,6,4385393
7,6,7676441
8,6,4565366
9,6,4435019
10,6,4645124
11,6,4134540
12,6,4077824
13,6,4372396
14,6,6105243
15,6,7941852
16,6,8033147
17,6,4293779
18,6,4259673
19,6,12224312
20,6,4284381
21,6,4264702
22,6,4423010
23,6,4617661
24,6,5045466
25,6,4737788
1,7,18808310
2,7,8787029
3,7,4435164
4,7,4145037
5,7,4372724
6,7,4319130
7,7,9094078
8,7,4396117
9,7,4299510
10,7,4322907
11,7,4482601
12,7,5424714
13,7,7849624
14,7,6912515
15,7,8546125
16,7,7281594
17,7,4449552
18,7,4041510
19,7,4280307
20,7,4404177
21,7,4257207
22,7,4489791
23,7,4397140
24,7,4443871
25,7,4365719
1,8,4916471
2,8,4386009
3,8,4611361
4,8,4211297
5,8,3946392
6,8,4536356
7,8,4518763
8,8,4310634
9,8,4803136
10,8,4390636
11,8,4191808
12,8,4320167
13,8,4408076
14,8,7285326
15,8,4618526
16,8,4266083
17,8,7256614
18,8,4905170
19,8,6677706
20,8,4447233
21,8,4287192
22,8,4308640
23,8,4515876
24,8,4282136
25,8,4173643
1,9,4589676
2,9,4722949
3,9,4435835
4,9,4513819
5,9,4358334
6,9,4262015
7,9,4377747
8,9,4644793
9,9,4411331
10,9,4411612
11,9,4437582
12,9,4197076
13,9,4431047
14,9,4379582
15,9,5048568
16,9,4744812
17,9,4499108
18,9,4483005
19,9,4646930
20,9,4428661
21,9,7945321
22,9,4406368
23,9,4538539
24,9,4549772
25,9,4021913
1,10,4355734
2,10,4525539
3,10,4377832
4,10,4234624
5,10,4449218
6,10,4294996
7,10,8635428
8,10,4292412
9,10,4503782
10,10,4306279
11,10,7913956
12,10,4464821
13,10,4361240
14,10,6230757
15,10,4315120
16,10,4435893
17,10,4269677
18,10,4530630
19,10,4475065
20,10,4015956
21,10,4388260
22,10,4491221
23,10,4217616
24,10,4402615
25,10,4351027
