P2,P1,Time
1,1,61793653
2,1,54712207
3,1,57288499
4,1,45463828
5,1,50486943
6,1,49551952
7,1,56828819
8,1,58378125
9,1,56884876
10,1,57101198
11,1,54557356
12,1,47279660
13,1,44668917
14,1,47596767
15,1,45828552
16,1,45608666
17,1,49329480
18,1,47573388
19,1,47145439
20,1,46259179
21,1,51147203
22,1,50413173
23,1,48852763
24,1,44854564
25,1,45030947
26,1,50881332
27,1,45910040
28,1,46216523
29,1,46288659
30,1,49209523
40,1,48672618
50,1,51457275
60,1,53546696
70,1,51611581
80,1,50987887
90,1,52100646
100,1,46554066
200,1,49877212
300,1,47515929
400,1,47899571
500,1,51920959
600,1,44220871
700,1,43706100
800,1,41134992
900,1,41809387
1000,1,42785268
1,2,53741945
2,2,56708779
3,2,48165517
4,2,43896475
5,2,44972179
6,2,77765416
7,2,41805557
8,2,42517720
9,2,45447561
10,2,67955756
11,2,43023500
12,2,40772714
13,2,45091941
14,2,43675517
15,2,40682570
16,2,41779675
17,2,46901104
18,2,42622184
19,2,44279611
20,2,42081711
21,2,43929920
22,2,43596617
23,2,57134892
24,2,68968479
25,2,43697345
26,2,41164290
27,2,62797196
28,2,55250412
29,2,52366948
30,2,45277650
40,2,43054130
50,2,43007361
60,2,51364447
70,2,43250236
80,2,44783751
90,2,46949105
100,2,47506219
200,2,46580174
300,2,54199787
400,2,72007380
500,2,36907809
600,2,46492429
700,2,46007126
800,2,44740270
900,2,48953471
1000,2,45972336
1,3,56483160
2,3,47080420
3,3,46579174
4,3,42453476
5,3,44284055
6,3,45819832
7,3,40984305
8,3,45956024
9,3,59327457
10,3,43308484
11,3,46688424
12,3,48030640
13,3,48357300
14,3,88223799
15,3,46047604
16,3,39984586
17,3,42098742
18,3,42670929
19,3,43342850
20,3,43770249
21,3,43054117
22,3,49280669
23,3,48537118
24,3,48290062
25,3,55084796
26,3,41712935
27,3,41576537
28,3,45451233
29,3,47577269
30,3,46099744
40,3,48899581
50,3,45622646
60,3,42087285
70,3,44838952
80,3,44354263
90,3,74283658
100,3,69322431
200,3,43760283
300,3,45010445
400,3,49018627
500,3,48588889
600,3,39930979
700,3,42855202
800,3,43177136
900,3,44576688
1000,3,42246153
1,4,54485949
2,4,61975096
3,4,42924647
4,4,41183789
5,4,41844900
6,4,42718308
7,4,44116308
8,4,63206204
9,4,47823544
10,4,48609330
11,4,48618923
12,4,48420165
13,4,48646534
14,4,49748308
15,4,49967287
16,4,46740239
17,4,48978969
18,4,48120512
19,4,45459839
20,4,41591769
21,4,41699401
22,4,48865830
23,4,45077998
24,4,41045008
25,4,42252081
26,4,41976600
27,4,43114570
28,4,43562183
29,4,47271095
30,4,58971977
40,4,53344156
50,4,43445026
60,4,47830993
70,4,46160572
80,4,48744957
90,4,48679382
100,4,48492340
200,4,47802789
300,4,44272641
400,4,45948574
500,4,57186319
600,4,45756404
700,4,43638477
800,4,48591329
900,4,43085499
1000,4,42772744
1,5,57650004
2,5,54808644
3,5,46104423
4,5,52426396
5,5,44004357
6,5,42913622
7,5,44109476
8,5,47558183
9,5,43544204
10,5,41466267
11,5,44243016
12,5,41620162
13,5,43384708
14,5,46502210
15,5,44182005
16,5,43649219
17,5,43897216
18,5,40754713
19,5,48119320
20,5,43963002
21,5,52071969
22,5,59072671
23,5,57887836
24,5,50149210
25,5,42540514
26,5,40664079
27,5,42319690
28,5,69670390
29,5,47272616
30,5,46253271
40,5,47285450
50,5,47946735
60,5,48744926
70,5,46093038
80,5,42679333
90,5,43275723
100,5,43229181
200,5,42658100
300,5,78043186
400,5,45853614
500,5,42459998
600,5,40538009
700,5,43540253
800,5,41096005
900,5,43931014
1000,5,49781298
1,6,57576634
2,6,46477886
3,6,45326488
4,6,45160866
5,6,43530369
6,6,41904520
7,6,44168954
8,6,42489042
9,6,42263518
10,6,51127085
11,6,51064411
12,6,41619726
13,6,42916399
14,6,46058581
15,6,41004038
16,6,48279288
17,6,52299963
18,6,44884424
19,6,46135620
20,6,57129298
21,6,65956575
22,6,49813455
23,6,42358711
24,6,42359381
25,6,41760427
26,6,42556088
27,6,52022579
28,6,52183239
29,6,44632542
30,6,46833255
40,6,42871412
50,6,44179630
60,6,40784052
70,6,41302383
80,6,44559902
90,6,42837256
100,6,43416775
200,6,44721527
300,6,44150533
400,6,42710843
500,6,42512814
600,6,42373365
700,6,45917674
800,6,45229292
900,6,50815291
1000,6,41891368
1,7,56111953
2,7,45378151
3,7,43501815
4,7,52354401
5,7,48297019
6,7,40269678
7,7,58307789
8,7,59992922
9,7,41588788
10,7,68731633
11,7,49938348
12,7,43764502
13,7,48895379
14,7,40737307
15,7,41490931
16,7,51349429
17,7,55175624
18,7,50611520
19,7,41224098
20,7,45887969
21,7,49144791
22,7,41780073
23,7,44375129
24,7,87707330
25,7,39157936
26,7,59567523
27,7,41583308
28,7,73273595
29,7,42504523
30,7,43695156
40,7,40998507
50,7,46994706
60,7,46731281
70,7,47461994
80,7,55153417
90,7,46306226
100,7,56592643
200,7,43687312
300,7,44390041
400,7,43143210
500,7,52040770
600,7,54538156
700,7,47034035
800,7,39877562
900,7,42285491
1000,7,44316971
1,8,61271349
2,8,45314463
3,8,45055425
4,8,49087494
5,8,48121641
6,8,53374886
7,8,46551079
8,8,44760776
9,8,48394530
10,8,60578422
11,8,48736952
12,8,51050935
13,8,54974983
14,8,40981207
15,8,41044123
16,8,43121237
17,8,51824523
18,8,46299219
19,8,47362935
20,8,52577203
21,8,47152786
22,8,45642131
23,8,44076224
24,8,52256875
25,8,62211101
26,8,57773183
27,8,45775700
28,8,42568251
29,8,47450730
30,8,42609596
40,8,42847462
50,8,41632602
60,8,59464658
70,8,47252659
80,8,47273102
90,8,45962618
100,8,46302916
200,8,45633445
300,8,49516155
400,8,48610131
500,8,53239041
600,8,48776068
700,8,44669726
800,8,41232618
900,8,41775985
1000,8,43125351
1,9,55850790
2,9,58843493
3,9,42250113
4,9,41460888
5,9,43194440
6,9,45029270
7,9,42977971
8,9,44667317
9,9,41282197
10,9,43661973
11,9,43562943
12,9,52936845
13,9,57790988
14,9,43554979
15,9,46117998
16,9,44082034
17,9,42554769
18,9,45598788
19,9,44865067
20,9,48513609
21,9,79814368
22,9,43478038
23,9,43201827
24,9,43289844
25,9,42554531
26,9,44511050
27,9,43296771
28,9,42695112
29,9,46034074
30,9,46382980
40,9,40881993
50,9,43651264
60,9,46651596
70,9,43710830
80,9,45592655
90,9,41710909
100,9,42401690
200,9,43907034
300,9,46675174
400,9,46159845
500,9,45138085
600,9,50466384
700,9,61163408
800,9,48356953
900,9,42973576
1000,9,44706879
1,10,63116797
2,10,44102209
3,10,49269236
4,10,49200857
5,10,45078273
6,10,42998411
7,10,44811156
8,10,44714599
9,10,46209141
10,10,44104928
11,10,44322021
12,10,43893214
13,10,43056157
14,10,44797753
15,10,46123731
16,10,43931420
17,10,43661562
18,10,42587140
19,10,43899107
20,10,43781925
21,10,45014080
22,10,47094341
23,10,43813312
24,10,45227907
25,10,45330848
26,10,44173222
27,10,43342596
28,10,46276981
29,10,45045509
30,10,49227173
40,10,59544021
50,10,55147193
60,10,56833111
70,10,48651144
80,10,58951696
90,10,43603269
100,10,42087915
200,10,54403049
300,10,61769902
400,10,60849209
500,10,53674269
600,10,42888539
700,10,44228714
800,10,40516510
900,10,48267141
1000,10,47510982
1,11,61030819
2,11,49839058
3,11,48292501
4,11,46263628
5,11,47489735
6,11,51020038
7,11,46107713
8,11,43744759
9,11,47260984
10,11,43960061
11,11,45624341
12,11,57372521
13,11,46673900
14,11,45503435
15,11,45984418
16,11,48412137
17,11,43829137
18,11,41605463
19,11,45937567
20,11,41964955
21,11,51049256
22,11,64097487
23,11,60966745
24,11,45708947
25,11,43620086
26,11,62528514
27,11,55768356
28,11,39946386
29,11,44370124
30,11,75479740
40,11,42469242
50,11,42996348
60,11,44543125
70,11,43797657
80,11,44469296
90,11,44557428
100,11,48051623
200,11,45865368
300,11,48340876
400,11,42512216
500,11,42067708
600,11,45382517
700,11,46505518
800,11,44451057
900,11,44372597
1000,11,53611102
1,12,55918888
2,12,52038855
3,12,43835678
4,12,49872102
5,12,46222283
6,12,43407268
7,12,42778679
8,12,45553260
9,12,50676316
10,12,43542027
11,12,48904222
12,12,47615378
13,12,46082678
14,12,46634380
15,12,45792779
16,12,46483140
17,12,48170593
18,12,42815049
19,12,47534103
20,12,43015317
21,12,43538967
22,12,45930207
23,12,45017551
24,12,45020339
25,12,46338981
26,12,45868442
27,12,45051573
28,12,56590349
29,12,41800403
30,12,43292039
40,12,44061230
50,12,44147392
60,12,60162974
70,12,45140948
80,12,43877354
90,12,60193314
100,12,40881894
200,12,44653250
300,12,46070692
400,12,45931878
500,12,54491241
600,12,45789439
700,12,42589410
800,12,47692277
900,12,48513900
1000,12,43013876
1,13,54990252
2,13,50245900
3,13,42597194
4,13,46016484
5,13,46299114
6,13,45813573
7,13,44624574
8,13,45475318
9,13,52495412
10,13,46947113
11,13,51437815
12,13,53017473
13,13,47883356
14,13,51317322
15,13,43757203
16,13,49248619
17,13,42940800
18,13,44550099
19,13,45320987
20,13,45732275
21,13,42226055
22,13,46430039
23,13,46127478
24,13,52419980
25,13,51506662
26,13,54445484
27,13,52271391
28,13,53303434
29,13,48239213
30,13,58382742
40,13,49131619
50,13,49881321
60,13,48619864
70,13,50398580
80,13,50417063
90,13,48509409
100,13,50042122
200,13,48712623
300,13,44765377
400,13,43856293
500,13,41824784
600,13,44062249
700,13,50703458
800,13,45211354
900,13,51609924
1000,13,63836206
1,14,72594464
2,14,44136508
3,14,43732430
4,14,46094146
5,14,44653949
6,14,43780877
7,14,43186961
8,14,84553524
9,14,43020277
10,14,52818699
11,14,44891196
12,14,41700291
13,14,47903417
14,14,54043315
15,14,47599576
16,14,44915626
17,14,46583795
18,14,48917516
