P2,P1,Time
1,1,2877206
2,1,2597595
3,1,3067481
4,1,3086228
5,1,2813602
6,1,2388572
7,1,2420902
8,1,3552903
9,1,5009764
10,1,2416622
11,1,5171826
12,1,2332642
13,1,2505095
14,1,2631595
15,1,2179831
16,1,2356021
17,1,2429774
18,1,4237182
19,1,1957303
20,1,4330680
21,1,2224496
22,1,2390036
23,1,5721651
24,1,2416964
25,1,4609633
1,2,6663251
2,2,2903305
3,2,2748835
4,2,2140354
5,2,3179678
6,2,2313752
7,2,2299614
8,2,2123370
9,2,2310981
10,2,2280687
11,2,2167024
12,2,2746923
13,2,4237518
14,2,2267971
15,2,2312994
16,2,4531074
17,2,2401587
18,2,2316959
19,2,2144958
20,2,2096733
21,2,2268803
22,2,2472470
23,2,2351076
24,2,2366291
25,2,2666991
1,3,2527130
2,3,2661407
3,3,2382519
4,3,2058805
5,3,2372295
6,3,2339147
7,3,2303077
8,3,5927364
9,3,6786961
10,3,5512435
11,3,5210536
12,3,4159576
13,3,3961882
14,3,3946550
15,3,5260540
16,3,7157532
17,3,5410443
18,3,7361349
19,3,3896524
20,3,3781368
21,3,5044830
22,3,8887288
23,3,4712291
24,3,2267646
25,3,2154391
1,4,4179160
2,4,3731325
3,4,2261547
4,4,7086311
5,4,4206323
6,4,2553679
7,4,3987052
8,4,2434271
9,4,2315436
10,4,5275197
11,4,3778190
12,4,2257021
13,4,2515366
14,4,6287027
15,4,3774644
16,4,2819216
17,4,2332023
18,4,6543961
19,4,4043065
20,4,4306274
21,4,2304244
22,4,2391646
23,4,5433519
24,4,2352950
25,4,6985634
1,5,3802296
2,5,4424601
3,5,3894808
4,5,2130434
5,5,5837846
6,5,6027861
7,5,1967422
8,5,2221073
9,5,7525986
10,5,2708341
11,5,4388680
12,5,2164291
13,5,2304064
14,5,2171409
15,5,2518097
16,5,6412819
17,5,2416133
18,5,2260248
19,5,2177211
20,5,6137637
21,5,2508863
22,5,2338063
23,5,5670300
24,5,2365144
25,5,2164888
1,6,2415615
2,6,4485443
3,6,3085552
4,6,2439114
5,6,2060665
6,6,2355544
7,6,2242573
8,6,2283007
9,6,2209500
10,6,4403962
11,6,2158438
12,6,2461146
13,6,2560460
14,6,2222328
15,6,2247052
16,6,2317806
17,6,2553806
18,6,2350452
19,6,4741780
20,6,3901855
21,6,2169410
22,6,4199794
23,6,2399518
24,6,2408967
25,6,2337244
1,7,5599955
2,7,2957093
3,7,2479874
4,7,2329750
5,7,5413064
6,7,2442185
7,7,2002394
8,7,2198651
9,7,2501779
10,7,2276724
11,7,2263784
12,7,4526459
13,7,5188099
14,7,2449969
15,7,2279816
16,7,5412975
17,7,4235938
18,7,2635714
19,7,2250175
20,7,4399749
21,7,3799225
22,7,3965644
23,7,2160760
24,7,2315357
25,7,2379293
1,8,5651323
2,8,4060610
3,8,2053701
4,8,2392544
5,8,2164620
6,8,2269099
7,8,2331271
8,8,2496286
9,8,4884296
10,8,3857886
11,8,3634761
12,8,2158480
13,8,2226394
14,8,2404123
15,8,2428162
16,8,2343148
17,8,2410963
18,8,4780469
19,8,2659225
20,8,2313119
21,8,2337815
22,8,2267297
23,8,2234875
24,8,2346194
25,8,2331386
1,9,5163984
2,9,4832626
3,9,2315401
4,9,2365749
5,9,3979971
6,9,2472233
7,9,2183990
8,9,5202057
9,9,4286581
10,9,3815580
11,9,2373477
12,9,4380252
13,9,2108484
14,9,2323768
15,9,4481609
16,9,4076239
17,9,1959490
18,9,2188044
19,9,2238973
20,9,2314114
21,9,2345371
22,9,2521249
23,9,2401497
24,9,4719947
25,9,2423100
1,10,4429361
2,10,2364745
3,10,2105056
4,10,2030223
5,10,5518594
6,10,2465609
7,10,2470404
8,10,2352123
9,10,2355501
10,10,2462206
11,10,2310046
12,10,2406808
13,10,4601561
14,10,2480663
15,10,2536025
16,10,5997990
17,10,2473735
18,10,3992076
19,10,2299146
20,10,3995694
21,10,2529519
22,10,2389904
23,10,4186652
24,10,2281183
25,10,2443148
