P2,P1,Time
1,1,32350678
2,1,33386948
3,1,39933545
4,1,41551168
5,1,32396942
6,1,40698726
7,1,41777535
8,1,38902977
9,1,42371001
10,1,37839142
11,1,44779230
12,1,38393218
13,1,40466050
14,1,40703821
15,1,37791790
16,1,37769238
17,1,38385355
18,1,38786403
19,1,36968769
20,1,39411518
21,1,38210110
22,1,37233191
23,1,38069669
24,1,36627237
25,1,34960561
26,1,35568421
27,1,36708901
28,1,37131408
29,1,36825074
30,1,37771380
40,1,35305883
50,1,34474504
60,1,33500098
70,1,37324511
80,1,40617713
90,1,46515779
100,1,44660120
200,1,46133889
300,1,50612508
400,1,47969616
500,1,47102684
600,1,46758536
700,1,45202806
800,1,47227244
900,1,46472145
1000,1,48865326
1,2,60169183
2,2,46002042
3,2,41776735
4,2,39981562
5,2,39913878
6,2,36955246
7,2,35611153
8,2,35716280
9,2,35390609
10,2,34564164
11,2,60628893
12,2,33803569
13,2,34567929
14,2,35253305
15,2,67111321
16,2,80146287
17,2,68320010
18,2,55307192
19,2,39161170
20,2,32240574
21,2,40443276
22,2,41889200
23,2,36838718
24,2,40769428
25,2,38746298
26,2,38196138
27,2,41520325
28,2,39521642
29,2,40330354
30,2,37268670
40,2,37212736
50,2,39328608
60,2,38912473
70,2,38318556
80,2,39424031
90,2,37246402
100,2,38996482
200,2,38587009
300,2,35704098
400,2,41874975
500,2,40310224
600,2,34441969
700,2,59465265
800,2,42772581
900,2,32153066
1000,2,33375541
1,3,42748121
2,3,42033259
3,3,35428197
4,3,32636349
5,3,59512717
6,3,41794404
7,3,34624336
8,3,31336650
9,3,33689178
10,3,35081035
11,3,33627010
12,3,34415265
13,3,32831139
14,3,36105786
15,3,41137571
16,3,38729433
17,3,38878357
18,3,36116874
19,3,34105619
20,3,35667048
21,3,33287325
22,3,41022231
23,3,38278716
24,3,39934484
25,3,39076517
26,3,38763552
27,3,39385159
28,3,41115327
29,3,37959846
30,3,38444553
40,3,40178074
50,3,38318313
60,3,38610214
70,3,40136112
80,3,38963327
90,3,39243992
100,3,37987971
200,3,37173347
300,3,41914886
400,3,38333418
500,3,55173546
600,3,88888935
700,3,64095209
800,3,65125677
900,3,67303930
1000,3,51511943
1,4,68529919
2,4,37423670
3,4,33748880
4,4,37683002
5,4,49209655
6,4,40758103
7,4,38483736
8,4,38664695
9,4,38068712
10,4,36101048
11,4,41832871
12,4,40750328
13,4,39765412
14,4,34583528
15,4,33052570
16,4,35639992
17,4,51616777
18,4,65922903
19,4,51686319
20,4,50799728
21,4,51983757
22,4,50216951
23,4,50361873
24,4,49745936
25,4,50251202
26,4,51704063
27,4,51292778
28,4,48367787
29,4,51505070
30,4,67562068
40,4,38733232
50,4,37409622
60,4,32571618
70,4,34391821
80,4,34036592
90,4,35988990
100,4,38775982
200,4,44689800
300,4,40086937
400,4,43019436
500,4,43114580
600,4,43800405
700,4,42567723
800,4,37192361
900,4,47049346
1000,4,39353301
1,5,57163118
2,5,47508076
3,5,44345592
4,5,43535560
5,5,39286533
6,5,43645077
7,5,41633981
8,5,42289255
9,5,34977955
10,5,33715823
11,5,35203804
12,5,38100350
13,5,36359844
14,5,36840522
15,5,47935091
16,5,43020743
17,5,43473227
18,5,44471959
19,5,45726069
20,5,44442364
21,5,44795685
22,5,45291720
23,5,49332221
24,5,37629723
25,5,36955606
26,5,39697764
27,5,33073581
28,5,36176054
29,5,34767359
30,5,40048671
40,5,38446646
50,5,36470041
60,5,37987280
70,5,38207726
80,5,36285480
90,5,36773110
100,5,38065301
200,5,38930595
300,5,39490056
400,5,38993360
500,5,38233172
600,5,37478977
700,5,35734578
800,5,39487694
900,5,37000931
1000,5,37248631
1,6,48349750
2,6,42852615
3,6,36170681
4,6,39131058
5,6,36815055
6,6,33251906
7,6,38136727
8,6,37520441
9,6,41377659
10,6,39059906
11,6,40781158
12,6,38109220
13,6,41361204
14,6,38646841
15,6,38249430
16,6,29705352
17,6,36482103
18,6,32852144
19,6,47050812
20,6,78123159
21,6,72254939
22,6,72920405
23,6,72713519
24,6,57591181
25,6,58322331
26,6,38055693
27,6,30666761
28,6,40316135
29,6,43242330
30,6,41846142
40,6,45170516
50,6,43705142
60,6,40008037
70,6,46885398
80,6,47245706
90,6,42956685
100,6,41222284
200,6,42733701
300,6,41175400
400,6,42428074
500,6,42195025
600,6,40608002
700,6,39918739
800,6,41192272
900,6,41169467
1000,6,42668037
1,7,52589465
2,7,46923881
3,7,43137652
4,7,40879093
5,7,44222072
6,7,37774979
7,7,34426596
8,7,37943750
9,7,37973376
10,7,38540725
11,7,38651513
12,7,39823565
13,7,40026399
14,7,37509674
15,7,37774360
16,7,40158031
17,7,37177624
18,7,39327783
19,7,37951159
20,7,39155131
21,7,42923104
22,7,35643837
23,7,38279144
24,7,37604858
25,7,37719128
26,7,39515609
27,7,36524705
28,7,36683001
29,7,37245305
30,7,36607509
40,7,38513772
50,7,36502836
60,7,36123352
70,7,37813148
80,7,36304248
90,7,36537743
100,7,34191511
200,7,34614651
300,7,33620725
400,7,36526538
500,7,37460568
600,7,38593342
700,7,40068225
800,7,37567242
900,7,39055046
1000,7,39874730
1,8,51180760
2,8,45651001
3,8,32884222
4,8,40114583
5,8,42539120
6,8,34410423
7,8,36949502
8,8,35696555
9,8,35900476
10,8,35375605
11,8,38004873
12,8,37697855
13,8,33962712
14,8,34836815
15,8,34918935
16,8,35749870
17,8,38962199
18,8,34663282
19,8,36226620
20,8,35759523
21,8,36753773
22,8,37548131
23,8,37680251
24,8,35134728
25,8,36639747
26,8,35432438
27,8,36255105
28,8,38112026
29,8,33868137
30,8,35155177
40,8,37185934
50,8,37898322
60,8,35905987
70,8,38656166
80,8,37379905
90,8,37516720
100,8,34402819
200,8,39800040
300,8,36385058
400,8,35224415
500,8,37939857
600,8,35732404
700,8,37781043
800,8,35842084
900,8,36638534
1000,8,36646951
1,9,46925473
2,9,42644310
3,9,37992816
4,9,38074939
5,9,36779933
6,9,36636505
7,9,36756940
8,9,38306072
9,9,39527066
10,9,35836125
11,9,37091289
12,9,34657916
13,9,38348471
14,9,36026288
15,9,37805742
16,9,36999984
17,9,37184361
18,9,38407159
19,9,39001694
20,9,36101215
21,9,37874884
22,9,35717456
23,9,37519493
24,9,37259800
25,9,36378057
26,9,38421421
27,9,37695796
28,9,36473793
29,9,39519922
30,9,35615536
40,9,39409071
50,9,36074172
60,9,36956838
70,9,39214222
80,9,37898071
90,9,35838191
100,9,38866384
200,9,38559174
300,9,35515896
400,9,36196875
500,9,36555969
600,9,35293656
700,9,37840046
800,9,36750097
900,9,37718504
1000,9,39741287
1,10,54747105
2,10,49503587
3,10,36909169
4,10,38289401
5,10,37273602
6,10,36955718
7,10,35976750
8,10,35882587
9,10,36656265
10,10,37876443
11,10,45368528
12,10,44617241
13,10,44966909
14,10,45154208
15,10,44929456
16,10,44181022
17,10,49546475
18,10,46269901
19,10,44630177
20,10,46832084
21,10,45760313
22,10,46381900
23,10,45146606
24,10,45633668
25,10,45878764
26,10,45632706
27,10,46107415
28,10,44931206
29,10,45455624
30,10,48068965
40,10,34033372
50,10,34141618
60,10,35690052
70,10,32091714
80,10,39868818
90,10,39799128
100,10,37774725
200,10,38602279
300,10,38730556
400,10,37832679
500,10,39666770
600,10,38976377
700,10,37645467
800,10,39278342
900,10,37270051
1000,10,42164155
1,11,46485036
2,11,45111794
3,11,46265344
4,11,39370153
5,11,39208354
6,11,39154519
7,11,38039503
8,11,40339840
9,11,39922579
10,11,39710607
11,11,40156764
12,11,37799715
13,11,38445788
14,11,41717253
15,11,37353969
16,11,37696666
17,11,33270221
18,11,35594926
19,11,38955070
20,11,40453239
21,11,44898248
22,11,42987130
23,11,36375841
24,11,30121699
25,11,32152778
26,11,46501341
27,11,41890819
28,11,43282471
29,11,42891004
30,11,42357842
40,11,41859105
50,11,45069833
60,11,43678877
70,11,41611210
80,11,41654872
90,11,43898301
100,11,45139788
200,11,41847819
300,11,44939185
400,11,43053140
500,11,41504241
600,11,44392758
700,11,42318172
800,11,40887930
900,11,43199472
1000,11,41752696
1,12,62467856
2,12,49286946
3,12,38822562
4,12,34861749
5,12,39729703
6,12,37542410
7,12,41194130
8,12,38634570
9,12,38247715
10,12,40223822
11,12,38270481
12,12,39731746
13,12,37953224
14,12,43346707
15,12,39375996
16,12,40413704
17,12,36721978
18,12,37356349
19,12,76541292
20,12,77904311
21,12,73916166
22,12,47557774
23,12,37003444
24,12,37932364
25,12,37867851
26,12,37644884
27,12,40453122
28,12,39537716
29,12,37266648
30,12,33905617
40,12,53617090
50,12,74358564
60,12,63884752
70,12,35795280
80,12,34006148
90,12,34716561
100,12,34928902
200,12,36602661
300,12,37232179
400,12,39164080
500,12,38791214
600,12,40593289
700,12,42221140
800,12,55805186
900,12,39691511
1000,12,35176029
1,13,52060348
2,13,42211283
3,13,39612737
4,13,36979313
5,13,38160871
6,13,38627614
7,13,37772087
8,13,38552060
9,13,37456829
10,13,38318370
11,13,37459170
12,13,39616084
13,13,38005509
14,13,36570739
15,13,37953172
16,13,36697211
17,13,37903539
18,13,40762486
19,13,37787314
20,13,37428424
21,13,37146842
22,13,37911658
23,13,41551357
24,13,36844877
25,13,38811871
26,13,39224764
27,13,37501419
28,13,39295845
29,13,37701788
30,13,37909443
40,13,36427973
50,13,37406085
60,13,39835126
70,13,37881601
80,13,38480830
90,13,38128658
100,13,36397741
200,13,41646899
300,13,38770179
400,13,37573899
500,13,40232115
600,13,37059624
700,13,37640112
800,13,38177886
900,13,37340189
1000,13,37960176
1,14,49838285
2,14,42425301
3,14,37603108
4,14,38251156
5,14,36954193
6,14,36964950
7,14,37955807
8,14,37195210
9,14,37917903
10,14,36102421
11,14,38230781
12,14,39214527
13,14,36320640
14,14,39152968
15,14,38233024
16,14,36736397
17,14,37035974
18,14,40040273
19,14,39204121
20,14,37537219
21,14,38094542
22,14,39069520
23,14,38070593
24,14,36492118
25,14,39242410
26,14,38046629
27,14,36626184
28,14,36801824
29,14,39839155
30,14,42743787
40,14,34823932
50,14,37688933
60,14,49218874
70,14,47012445
80,14,49083928
90,14,50214370
100,14,47669705
200,14,48146328
300,14,48240304
400,14,48884652
500,14,41368250
600,14,35385058
700,14,36388355
800,14,36464410
900,14,36645330
1000,14,38704605
1,15,49198103
2,15,40718375
3,15,36160924
4,15,38655687
5,15,37408105
6,15,37061686
7,15,38023416
8,15,35304707
9,15,36013201
10,15,36244152
11,15,36329528
12,15,37087511
13,15,37824864
14,15,37013978
15,15,38359638
16,15,37426846
17,15,35729121
18,15,34492338
19,15,34785081
20,15,37674821
21,15,36140233
22,15,34912884
23,15,39003341
24,15,36193247
25,15,39861905
26,15,39477444
27,15,36780702
28,15,37560627
29,15,37635832
30,15,36466045
40,15,41018124
50,15,51818092
60,15,49105708
70,15,42367774
80,15,42921527
90,15,43231704
100,15,41148914
200,15,44133377
300,15,40550222
400,15,41163859
500,15,44171726
600,15,43282790
700,15,46315459
800,15,43380922
900,15,41946761
1000,15,42654329
1,16,50171814
2,16,40673615
3,16,31617819
4,16,35071495
5,16,50825358
6,16,48590993
7,16,45863406
8,16,51032169
9,16,49599073
10,16,47056200
11,16,47845005
12,16,46135621
13,16,47330970
14,16,46174650
15,16,46954314
16,16,50145420
17,16,45048184
18,16,50411204
19,16,45016232
20,16,46607250
21,16,47308776
22,16,49121205
23,16,47654492
24,16,46685344
25,16,48312279
26,16,48435933
27,16,55386602
28,16,43074888
29,16,39335158
30,16,38517666
40,16,40650075
50,16,50431520
60,16,46522344
70,16,58878367
80,16,46148526
90,16,50721347
100,16,45426940
200,16,50548023
300,16,59038548
400,16,46258222
500,16,46255586
600,16,47727283
700,16,50485525
800,16,43267644
900,16,47975157
1000,16,39195724
1,17,57360248
2,17,49067534
3,17,53859784
4,17,54583958
5,17,39296523
6,17,49901794
7,17,44069385
8,17,50466158
9,17,41758766
10,17,47089777
11,17,49194519
12,17,45352824
13,17,46665558
14,17,46474573
15,17,45507034
16,17,43077702
17,17,39553957
18,17,58467387
19,17,50282033
20,17,39467858
21,17,46278634
22,17,43580257
23,17,46150468
24,17,47423094
25,17,43138102
26,17,39639585
27,17,46215282
28,17,37556584
29,17,48198459
30,17,33667682
