P2,P1,Time
1,1,57767434
2,1,51698874
3,1,51296668
4,1,46088937
5,1,46729290
6,1,46323942
7,1,46701680
8,1,49251550
9,1,46094291
10,1,46502101
11,1,47781545
12,1,49816531
13,1,46958380
14,1,50786795
15,1,48092649
16,1,48081643
17,1,45885547
18,1,46936101
19,1,46184578
20,1,45606719
21,1,45656000
22,1,46169313
23,1,48251626
24,1,52556639
25,1,48951951
26,1,57088900
27,1,51500938
28,1,48088270
29,1,49084999
30,1,49784184
40,1,51461285
50,1,53181439
60,1,50882392
70,1,51394653
80,1,52871920
90,1,51564494
100,1,52176640
200,1,52418470
300,1,52262725
400,1,50246432
500,1,44512498
600,1,43727430
700,1,45271690
800,1,46971802
900,1,45422072
1000,1,45421091
1,2,60507385
2,2,47623360
3,2,48210189
4,2,46200089
5,2,45166820
6,2,45866485
7,2,45121868
8,2,50166880
9,2,54552780
10,2,51260131
11,2,48843042
12,2,48094171
13,2,72921778
14,2,58393993
15,2,42068818
16,2,43166654
17,2,50130933
18,2,46155870
19,2,43920307
20,2,44916995
21,2,49286792
22,2,45837914
23,2,45938889
24,2,44958653
25,2,45464942
26,2,44322820
27,2,47991598
28,2,44125922
29,2,48022553
30,2,49745240
40,2,42312988
50,2,44218547
60,2,46731553
70,2,45452849
80,2,45149479
90,2,48119207
100,2,48821546
200,2,45743264
300,2,73587753
400,2,42768328
500,2,45417266
600,2,46241274
700,2,46322998
800,2,45321796
900,2,48228860
1000,2,49043792
1,3,60042990
2,3,53038884
3,3,48328121
4,3,48464871
5,3,51120261
6,3,47998306
7,3,47129268
8,3,48323821
9,3,46317609
10,3,44363225
11,3,48644280
12,3,47731298
13,3,45048598
14,3,44893669
15,3,44432118
16,3,51622502
17,3,47501844
18,3,45980118
19,3,45389330
20,3,48110953
21,3,45919273
22,3,45307925
23,3,48703550
24,3,47292455
25,3,43550818
26,3,49597615
27,3,45774584
28,3,49279791
29,3,45950950
30,3,45783180
40,3,47663015
50,3,50261409
60,3,49097233
70,3,48392081
80,3,48011900
90,3,48044752
100,3,47949869
200,3,48237057
300,3,47073679
400,3,48076360
500,3,46673720
600,3,46580177
700,3,46273507
800,3,44456767
900,3,47989659
1000,3,87788484
1,4,55853688
2,4,53079928
3,4,49977821
4,4,46722570
5,4,53039197
6,4,48371177
7,4,45015140
8,4,45104913
9,4,45383430
10,4,49990677
11,4,46947554
12,4,44864827
13,4,46498737
14,4,48887742
15,4,49747450
16,4,51107798
17,4,46732999
18,4,49588314
19,4,65821139
20,4,42682663
21,4,43100927
22,4,44192933
23,4,43299039
24,4,46251674
25,4,48043097
26,4,48793931
27,4,45227029
28,4,48980853
29,4,48331968
30,4,45158465
40,4,44494231
50,4,47257884
60,4,47107484
70,4,48867983
80,4,46206851
90,4,49278785
100,4,46550641
200,4,48849823
300,4,45571156
400,4,45878245
500,4,46322307
600,4,45705754
700,4,47168547
800,4,46140457
900,4,44058479
1000,4,48142120
1,5,59261857
2,5,46672512
3,5,45383431
4,5,46752676
5,5,49775433
6,5,48311803
7,5,45198743
8,5,49965465
9,5,49436684
10,5,45261036
11,5,47747709
12,5,46405616
13,5,48198860
14,5,47684895
15,5,48095301
16,5,44596157
17,5,48598386
18,5,47598941
19,5,85117557
