P2,P1,Time
1,1,79746826
2,1,80359276
3,1,69962491
4,1,63058687
5,1,67915226
6,1,59958158
7,1,70956559
8,1,66499812
9,1,71440839
10,1,72777258
11,1,69881237
12,1,62120989
13,1,64663598
14,1,65948743
15,1,68456008
16,1,67765408
17,1,64005419
18,1,67808928
19,1,65161065
20,1,70589852
21,1,66167422
22,1,74642674
23,1,66048271
24,1,72087674
25,1,66311779
26,1,65961310
27,1,68250905
28,1,62662511
29,1,65756813
30,1,63699113
40,1,63699298
50,1,63524514
60,1,63590124
70,1,63171538
80,1,64062310
90,1,64561922
100,1,63312201
200,1,67383549
300,1,63680663
400,1,64358012
500,1,64500485
600,1,62671692
700,1,69143897
800,1,65975695
900,1,64964448
1000,1,64696333
2000,1,62655420
1,2,80533478
2,2,73055220
3,2,75510297
4,2,63600828
5,2,66275734
6,2,62476417
7,2,65339314
8,2,66638322
9,2,63143568
10,2,64082099
11,2,66164376
12,2,66076223
13,2,65240358
14,2,62985460
15,2,64730880
16,2,65554424
17,2,63276201
18,2,66375468
19,2,64837019
20,2,63923838
21,2,63031581
22,2,63993226
23,2,82857223
24,2,67887295
25,2,62149132
26,2,65262392
27,2,65481935
28,2,66486920
29,2,64466870
30,2,66300479
40,2,64195209
50,2,67165677
60,2,64694465
70,2,63847034
80,2,67338307
90,2,64125024
100,2,62799895
200,2,64579423
300,2,61623691
400,2,64269296
500,2,63735981
600,2,62475398
700,2,63494798
800,2,67265119
900,2,67450849
1000,2,64833927
2000,2,64213558
1,3,78497695
2,3,74818517
3,3,67249206
4,3,65814473
5,3,63646103
6,3,64531559
7,3,62856950
8,3,64290439
9,3,68749249
10,3,65888714
11,3,64593168
12,3,64306865
13,3,61700973
14,3,63997786
15,3,65962102
16,3,69712586
17,3,65052686
18,3,65356820
19,3,63672201
20,3,63687898
21,3,62215666
22,3,65439271
23,3,76539944
24,3,61008172
25,3,62905248
26,3,64679000
27,3,65051139
28,3,65522195
29,3,64790771
30,3,64605491
40,3,64474278
50,3,64401821
60,3,63949234
70,3,62188254
80,3,65993996
90,3,64643127
100,3,62690387
200,3,63844403
300,3,66267167
400,3,63110075
500,3,64215379
