P2,P1,Time
1,1,18612715
2,1,27085424
3,1,15488177
4,1,16495661
5,1,16644704
6,1,15611008
7,1,16012984
8,1,15477808
9,1,18830551
10,1,14439196
11,1,21915881
12,1,19411820
13,1,15728123
14,1,17455461
15,1,20385204
16,1,15535540
17,1,20007057
18,1,21644379
19,1,14696788
20,1,18289735
21,1,14306123
22,1,17847575
23,1,19149691
24,1,14238277
25,1,18250492
26,1,15070883
27,1,16624484
28,1,15759142
29,1,16522340
30,1,15816143
40,1,15503882
50,1,15843050
60,1,15667203
70,1,18843504
80,1,14256128
90,1,18355738
100,1,14071755
200,1,19967944
300,1,18741335
400,1,15546658
1,2,20694668
2,2,25602300
3,2,14929265
4,2,18240896
5,2,16976648
6,2,15532459
7,2,17579056
8,2,15692413
9,2,19644164
10,2,15649476
11,2,18143597
12,2,14516272
13,2,17594090
14,2,16228624
15,2,16681288
16,2,15796237
17,2,15934979
18,2,16396719
19,2,16270051
20,2,20390561
21,2,14232993
22,2,19294807
23,2,14690245
24,2,17459571
25,2,15428543
26,2,17788717
27,2,17602481
28,2,15599711
29,2,17523521
30,2,14213805
40,2,18358858
50,2,13454640
60,2,20941025
70,2,21276916
80,2,18026677
90,2,14730103
100,2,18394564
200,2,13498929
300,2,18450732
400,2,21400143
1,3,32150777
2,3,18502320
3,3,16594959
4,3,17335868
5,3,15839886
6,3,20219103
7,3,19029008
8,3,14834251
9,3,16079427
10,3,16430457
11,3,17450506
12,3,16700001
13,3,14740177
14,3,22540584
15,3,15174235
16,3,18459234
17,3,14240388
18,3,19171134
19,3,16958210
20,3,15868967
21,3,16003525
22,3,15265694
23,3,17957627
24,3,13493909
25,3,16679994
26,3,15495777
27,3,20877237
28,3,14133884
29,3,19629628
30,3,14829857
40,3,17293860
50,3,18496210
60,3,16799550
70,3,19964487
80,3,15794666
90,3,21158110
100,3,15097338
200,3,15774667
300,3,14773688
400,3,17165339
1,4,30429251
2,4,15235236
3,4,16035084
4,4,18580322
5,4,15113324
6,4,20806209
7,4,14262688
8,4,20447581
9,4,21113428
10,4,15865324
11,4,16419640
12,4,20294921
13,4,13963586
14,4,21095320
15,4,14319888
16,4,17455073
17,4,14626653
18,4,16711151
19,4,15097454
20,4,16343610
21,4,15324088
22,4,16426340
23,4,16068617
24,4,16500224
25,4,16713550
26,4,14456646
27,4,19327708
28,4,14140347
29,4,18635750
30,4,17794128
40,4,16598536
50,4,17371887
