P2,P1,Time
1,1,12655186
2,1,17840525
3,1,9756055
4,1,16619868
5,1,9313003
6,1,13025878
7,1,11786471
8,1,10195662
9,1,14074227
10,1,9873911
11,1,15104656
12,1,13942093
13,1,10598507
14,1,12393085
15,1,10053551
16,1,12602601
17,1,11308091
18,1,17381126
19,1,12974948
20,1,12233740
21,1,9660176
22,1,15614822
23,1,9942296
24,1,10831328
25,1,12400596
26,1,10136571
27,1,12614349
28,1,10165207
29,1,11426656
30,1,12511660
40,1,9608126
50,1,13446272
60,1,11124027
70,1,11419761
80,1,10977899
90,1,12719406
100,1,13805976
200,1,10511500
1,2,22542886
2,2,16749510
3,2,9938075
4,2,15475910
5,2,13939651
6,2,13186899
7,2,11533944
8,2,10811599
9,2,17101784
10,2,9790669
11,2,15355437
12,2,10783435
13,2,13490707
14,2,10380481
15,2,12668186
16,2,9732583
17,2,12906338
18,2,10868351
19,2,10081520
20,2,15515268
21,2,9533345
22,2,12204119
23,2,12762061
24,2,10256951
25,2,14747110
26,2,9678917
27,2,13411060
28,2,11001548
29,2,10324932
30,2,16757889
40,2,9852096
50,2,15159771
60,2,11051104
70,2,11917054
80,2,11071751
90,2,13659592
100,2,10024314
200,2,14106738
1,3,22983222
2,3,9918146
3,3,17522199
4,3,9932873
5,3,12059467
6,3,13691249
7,3,12687221
8,3,26760940
9,3,9672569
10,3,14102350
11,3,8744730
12,3,7975681
13,3,14821440
14,3,12955033
15,3,11709781
16,3,11787086
17,3,12848203
18,3,9798844
19,3,15079593
20,3,10895343
21,3,10444180
22,3,12167138
23,3,10348545
24,3,14143265
25,3,14362471
26,3,11052348
27,3,12859309
28,3,9877990
29,3,12672719
30,3,10382108
40,3,11694333
50,3,12935133
60,3,10108637
70,3,13665111
80,3,15806751
90,3,12422908
100,3,11389429
200,3,12308257
1,4,12689991
2,4,16972035
3,4,9982853
4,4,16685427
5,4,13707743
6,4,12687353
7,4,14951107
8,4,11245796
9,4,10412195
10,4,13953511
11,4,10959900
12,4,16262583
13,4,11632376
14,4,11817516
15,4,12313925
16,4,10942260
17,4,12733386
18,4,10132978
19,4,11014402
20,4,12898175
21,4,9980829
22,4,16253773
23,4,10169555
24,4,14905830
25,4,11117033
26,4,11957840
27,4,12627140
28,4,10941112
29,4,14057276
30,4,11214614
40,4,12798183
50,4,12053320
60,4,12849032
70,4,9977330
80,4,11464904
90,4,11400547
100,4,17082262
200,4,14575966
1,5,12383207
2,5,19367382
3,5,12286926
4,5,12373024
5,5,9962457
6,5,12516464
7,5,10227516
8,5,10051889
9,5,15757463
10,5,10208767
11,5,15676269
12,5,10406817
13,5,13029740
14,5,11250345
15,5,12871109
16,5,9810580
17,5,13122273
18,5,12771382
19,5,13453934
20,5,10375366
21,5,14713805
22,5,10278439
23,5,15491970
24,5,10991211
25,5,12951077
26,5,10676515
27,5,13237432
28,5,10242138
29,5,14346926
30,5,10761342
40,5,14665509
50,5,10316419
60,5,12269026
70,5,10458552
80,5,11268585
90,5,12294669
100,5,10010525
200,5,13381748
