P2,P1,Time
1,1,7161828
2,1,7505078
3,1,10646751
4,1,6941315
5,1,9204552
6,1,6845609
7,1,6822143
8,1,7329503
9,1,7226069
10,1,6946409
11,1,6050247
12,1,6342294
13,1,11402339
14,1,6181299
15,1,6143376
16,1,6706589
17,1,7070319
18,1,6351076
19,1,6127715
20,1,6457912
21,1,7455386
22,1,6880732
23,1,6083608
24,1,6492944
25,1,11821005
26,1,7061755
27,1,6249840
28,1,8403414
29,1,7314503
30,1,6694863
40,1,6970322
50,1,6383676
60,1,6187419
70,1,7223208
80,1,7199474
90,1,6653279
100,1,7810214
1,2,6908537
2,2,6203595
3,2,10696185
4,2,7174550
5,2,7919286
6,2,7005914
7,2,6167165
8,2,6200856
9,2,8463085
10,2,7438887
11,2,6221420
12,2,6375539
13,2,7393567
14,2,6539810
15,2,6516559
16,2,6418468
17,2,7228114
18,2,7101135
19,2,6124012
20,2,6337284
21,2,7916610
22,2,6997902
23,2,6327141
24,2,6477060
25,2,9142783
26,2,7024814
27,2,6135497
28,2,6397838
29,2,10550995
30,2,6885386
40,2,5995470
50,2,6422447
60,2,9264785
70,2,7391041
80,2,6289191
90,2,6348534
100,2,10065521
1,3,7479711
2,3,6416866
3,3,6578583
4,3,7450959
5,3,7002323
6,3,6124741
7,3,6140136
8,3,7066696
9,3,6767918
10,3,6003106
11,3,6271284
12,3,8866664
13,3,6627660
14,3,6274645
15,3,6711824
16,3,9818220
17,3,6705776
18,3,6160238
19,3,6581195
20,3,10060672
21,3,6473121
22,3,6246046
23,3,6320966
24,3,7061183
25,3,6574779
26,3,6148510
27,3,6807169
28,3,9311661
29,3,7179653
30,3,6224367
40,3,6512204
50,3,11622977
60,3,6221646
70,3,6142240
80,3,6759319
90,3,7375193
100,3,6239842
1,4,7150243
2,4,10675716
3,4,6808328
4,4,6256491
5,4,6410159
6,4,8798309
7,4,6973606
8,4,7142070
9,4,7326992
10,4,6535039
11,4,6170017
12,4,9025716
13,4,9473964
14,4,6879614
15,4,6214529
16,4,7394547
17,4,6716079
18,4,6308948
19,4,7727098
20,4,7778553
21,4,6792900
22,4,6188745
23,4,6434399
24,4,7915842
25,4,6574459
26,4,6219585
27,4,6702396
28,4,16242853
29,4,6272810
30,4,6695590
40,4,7676454
50,4,8238835
60,4,6239171
70,4,6508293
80,4,7155587
90,4,7419809
100,4,6261057
1,5,7610039
2,5,15759331
3,5,6417555
4,5,6353742
5,5,9458167
6,5,6897598
7,5,6067170
8,5,6455237
9,5,7311916
10,5,7178075
11,5,6295059
12,5,6374495
13,5,6883365
14,5,6986230
15,5,6184130
16,5,6205114
17,5,7080508
18,5,7053580
19,5,6623415
20,5,7541999
21,5,7027541
22,5,6270458
23,5,7081329
24,5,7564511
25,5,7888715
26,5,7147276
27,5,5989743
28,5,7054586
29,5,9357667
30,5,6721109
40,5,6137546
50,5,6454491
60,5,7386385
70,5,6970139
80,5,6210095
90,5,6402194
100,5,9366211
1,6,7733206
2,6,6235644
3,6,6368312
4,6,11558528
5,6,6446766
6,6,6089040
7,6,8216865
8,6,7136896
9,6,6379788
10,6,6236148
11,6,6392019
12,6,7424466
13,6,6684350
14,6,6105195
15,6,6523087
16,6,9556481
17,6,7447231
18,6,6307071
19,6,6662104
20,6,7959177
21,6,7566305
22,6,9045859
23,6,7010609
24,6,6017032
25,6,8822364
26,6,11765203
27,6,6020505
28,6,6894512
29,6,7273614
30,6,6481649
40,6,7364547
50,6,6449589
60,6,6275875
70,6,6664249
80,6,10517842
90,6,8985470
100,6,13879909
1,7,23050087
2,7,5870998
3,7,6722286
4,7,10669548
5,7,8826796
6,7,7007918
7,7,5942180
8,7,12469098
9,7,5380578
10,7,5498974
11,7,5755882
12,7,6698891
13,7,6269839
14,7,5917472
15,7,6050080
16,7,7081846
17,7,7358122
18,7,6259596
19,7,6072648
20,7,6584531
21,7,9579904
22,7,12653491
23,7,7091177
24,7,5933176
25,7,6211224
26,7,7060531
27,7,6203100
28,7,8928136
29,7,8770525
30,7,10828725
40,7,7467895
50,7,6097884
60,7,6960826
70,7,6461681
80,7,5937297
90,7,6125673
100,7,6966337
1,8,11197576
2,8,5932079
3,8,7010949
4,8,7372251
5,8,6243591
6,8,6028857
7,8,6302943
8,8,9267716
9,8,6031209
10,8,11589468
11,8,6091488
12,8,5874012
13,8,6302242
14,8,7145961
15,8,6611742
16,8,6109641
17,8,6003907
18,8,6881673
19,8,6801198
20,8,8840545
21,8,6863211
22,8,5810736
23,8,6479217
24,8,8314859
25,8,6674823
26,8,6143558
27,8,6056494
28,8,6921669
29,8,6791781
30,8,7256727
40,8,8957982
50,8,5823332
60,8,5962403
70,8,8935590
80,8,6857373
90,8,7088801
100,8,6483513
1,9,7008369
2,9,6437446
3,9,8908574
4,9,6552282
5,9,8892987
6,9,7115437
7,9,6149290
8,9,6078837
9,9,6535152
10,9,6967131
11,9,5867150
12,9,5982130
13,9,6930785
14,9,6852969
15,9,6250774
16,9,3365822
17,9,5997955
18,9,7326164
19,9,6091389
20,9,8562663
21,9,6671096
22,9,5914657
23,9,6321653
24,9,9384139
25,9,6928029
26,9,11175788
27,9,6239532
28,9,6337547
29,9,6726483
30,9,8977794
40,9,6800874
50,9,6432139
60,9,5898263
70,9,6463832
80,9,7035962
90,9,6207657
100,9,7185865
1,10,7294345
2,10,6206791
3,10,6361822
4,10,6862413
5,10,6780718
6,10,7552783
7,10,6982533
8,10,5876076
9,10,6579592
10,10,9934084
11,10,6046787
12,10,9353347
13,10,6378314
14,10,5943628
15,10,6091177
16,10,8386362
17,10,6683881
18,10,5915507
19,10,6062304
20,10,11265218
21,10,5918485
22,10,9891431
23,10,6262768
24,10,14241995
25,10,18411097
26,10,15199733
27,10,11675557
28,10,16430836
29,10,16552339
30,10,11154605
40,10,16879425
50,10,15443417
60,10,11338415
70,10,17059623
80,10,14605495
90,10,11386965
100,10,16343185
1,11,15857722
2,11,13410448
3,11,23354157
4,11,10446740
5,11,14348380
6,11,15873031
7,11,10794645
8,11,15745111
9,11,12981496
10,11,10543317
11,11,13150976
12,11,13026323
13,11,7390350
14,11,7783627
15,11,8391743
16,11,10968539
17,11,9699032
18,11,7789389
19,11,11394462
20,11,7428902
21,11,10697968
22,11,8686442
23,11,11362382
24,11,6406054
25,11,6584412
26,11,9353085
27,11,7642857
28,11,6393467
29,11,6523958
30,11,7795288
40,11,7056835
50,11,6440842
60,11,7485352
70,11,8195446
80,11,6986714
90,11,6319743
100,11,7257645
1,12,16139975
2,12,7276437
3,12,7644598
4,12,7777527
5,12,11203133
6,12,9331863
7,12,7088165
8,12,9109522
9,12,9068227
10,12,11817476
11,12,7235613
12,12,7034609
13,12,9998008
14,12,7624281
15,12,6519500
16,12,6573205
17,12,8713291
18,12,6913889
19,12,6494163
20,12,6437281
21,12,8273250
22,12,6686634
23,12,6306873
24,12,6450060
25,12,8156768
26,12,7113557
27,12,6493726
28,12,6542219
29,12,9350789
30,12,7115657
40,12,6243798
50,12,6637733
60,12,7581163
70,12,7014922
80,12,6314412
90,12,9238362
100,12,9602134
1,13,6762902
2,13,6700933
3,13,10022711
4,13,6633056
5,13,6407880
6,13,6488328
7,13,7873197
8,13,9098621
9,13,6259985
10,13,9093305
11,13,7616231
12,13,7318560
13,13,7334136
14,13,8800573
15,13,6454277
16,13,8371296
17,13,6865612
18,13,6382357
19,13,7619156
20,13,7757927
21,13,7303976
22,13,6253345
23,13,6945510
24,13,7661007
25,13,6397936
26,13,6232204
27,13,6232208
28,13,7437993
29,13,7226136
30,13,6302047
40,13,6459884
50,13,8310538
60,13,6739961
70,13,6230238
80,13,6461426
90,13,7863591
100,13,7124170
1,14,7146407
2,14,10124128
3,14,10522813
4,14,6307296
5,14,6486534
6,14,11668791
7,14,6386782
8,14,7285001
9,14,7231954
10,14,7405048
11,14,6630128
12,14,6328991
13,14,9160460
14,14,7018879
15,14,6695878
16,14,6623956
17,14,12090293
18,14,6381935
19,14,6362135
20,14,7306951
21,14,7679572
22,14,6462254
23,14,6326690
24,14,6733689
25,14,7623094
26,14,6576310
27,14,13104718
28,14,6884942
29,14,9320212
30,14,6120092
40,14,6892153
50,14,7773001
60,14,6702206
70,14,9814636
80,14,7063286
90,14,6658908
100,14,9487441
1,15,7774187
2,15,6048553
3,15,6904633
4,15,7845255
5,15,7071971
6,15,7096960
7,15,7206303
8,15,9679075
9,15,6208394
10,15,6334371
11,15,10247146
12,15,8838644
13,15,6437485
14,15,6688939
15,15,7838980
16,15,7018521
17,15,6272532
18,15,6622960
19,15,7880667
20,15,7064626
21,15,6465779
22,15,7242914
23,15,10358185
24,15,6534164
25,15,6271017
26,15,8343466
27,15,7141309
28,15,6075361
29,15,6620953
30,15,7588333
40,15,7644275
50,15,6230020
60,15,6734184
70,15,9288172
80,15,6767217
90,15,6279357
100,15,6553771
1,16,19321385
2,16,6379354
3,16,7185889
4,16,7960019
5,16,6819521
6,16,10544370
7,16,7316736
8,16,7514384
9,16,11922827
10,16,8552141
11,16,6156344
12,16,10924250
13,16,6686806
14,16,6309418
15,16,6401550
16,16,7586341
17,16,8797084
18,16,6398193
19,16,8957311
20,16,7981171
21,16,6344269
22,16,6237623
23,16,10622672
24,16,9849667
25,16,11233809
26,16,7159307
27,16,7069237
28,16,11464573
29,16,6559036
30,16,6333815
40,16,6760511
50,16,7552047
60,16,6625950
70,16,6247932
80,16,6437273
90,16,11999676
100,16,6805970
1,17,7243348
2,17,16411982
3,17,6356482
4,17,6384578
5,17,10545371
6,17,9360454
7,17,6341386
8,17,8246742
9,17,9556249
10,17,6546119
11,17,7886285
12,17,11714644
13,17,6489733
14,17,6335819
15,17,6537989
16,17,7296754
17,17,7010585
18,17,6244858
19,17,6473079
20,17,10108247
21,17,6696883
22,17,6499638
23,17,6596727
24,17,7750865
25,17,6881311
26,17,6444801
27,17,9042220
28,17,9641276
29,17,7249194
30,17,6405669
40,17,7152509
50,17,7406126
60,17,6444446
70,17,6928230
80,17,9448480
90,17,6978387
100,17,6296466
1,18,7397217
2,18,11929610
3,18,6341116
4,18,6566882
5,18,13256796
6,18,6781462
7,18,6370588
8,18,9449785
9,18,7446527
10,18,6363517
11,18,6338912
12,18,8051568
13,18,8881840
14,18,6403618
15,18,9885804
16,18,8732051
17,18,7096942
18,18,7078728
19,18,7469362
20,18,7243863
21,18,6624663
22,18,9391446
23,18,7646814
24,18,6732133
25,18,5748876
26,18,7985628
27,18,7654736
28,18,6769392
29,18,9086837
30,18,9748302
40,18,5943875
50,18,6606974
60,18,6337404
70,18,8971497
80,18,6527458
90,18,5827720
100,18,6116937
1,19,16551155
2,19,13629643
3,19,5837368
4,19,5856307
5,19,7536811
6,19,6640188
7,19,7065815
8,19,7082315
9,19,6893496
10,19,6054463
11,19,6375003
12,19,7366569
13,19,6332325
14,19,6202799
15,19,6280003
16,19,9469130
17,19,6338590
18,19,6054037
19,19,6316820
20,19,10294875
21,19,6548004
22,19,6074852
23,19,6581789
24,19,11788794
25,19,5829474
26,19,6199351
27,19,6168239
28,19,7392812
29,19,6740262
30,19,6053667
40,19,6269511
50,19,11099590
60,19,6049775
70,19,6087339
80,19,6192043
90,19,10013999
100,19,6362949
1,20,7312739
2,20,21296405
3,20,15835387
4,20,12993230
5,20,14986992
6,20,16420508
7,20,13799899
8,20,18472150
9,20,16346823
10,20,13418657
11,20,18318081
12,20,15587612
13,20,17949928
14,20,16979726
15,20,12724964
16,20,16204168
17,20,16456688
18,20,14353230
19,20,16113472
20,20,14843511
21,20,10135471
22,20,15297815
23,20,10020715
24,20,9867675
25,20,13022018
26,20,12524915
27,20,9947706
28,20,14053537
29,20,11582970
30,20,10027701
40,20,14818499
50,20,11685533
60,20,15345025
70,20,27203764
80,20,8029358
90,20,7226988
100,20,10657579
