P1,P2,Time
1,1,415631
1,2,1613985
1,3,400719
1,4,331897
1,5,1561292
1,6,320350
1,7,423731
1,8,361394
1,9,2526422
1,10,346180
1,11,358116
1,12,379151
1,13,1556898
1,14,451811
1,15,414079
1,16,381983
1,17,335156
1,18,1698085
1,19,432315
1,20,1935409
1,21,431444
1,22,335046
1,23,461905
1,24,2248616
1,25,2024961
1,26,440087
1,27,459201
1,28,1667289
1,29,421128
1,30,1742340
1,40,1606747
1,50,404454
1,60,1741863
1,70,450438
1,80,365380
1,90,389999
1,100,1846701
1,200,310783
1,300,1793031
1,400,410180
1,500,408336
1,600,376794
2,1,1617616
2,2,272298
2,3,238442
2,4,371006
2,5,205753
2,6,209991
2,7,248198
2,8,326561
2,9,246531
2,10,211660
2,11,276161
2,12,206026
2,13,287594
2,14,194806
2,15,212467
2,16,257352
2,17,269849
2,18,318588
2,19,223220
2,20,205988
2,21,289859
2,22,208225
2,23,266666
2,24,346693
2,25,250102
2,26,227146
2,27,263947
2,28,226660
2,29,1448694
2,30,208806
2,40,262597
2,50,313054
2,60,259005
2,70,207062
2,80,297693
2,90,218702
2,100,280400
2,200,388024
2,300,244500
2,400,301321
2,500,246713
2,600,214145
3,1,1399005
3,2,344419
3,3,267540
3,4,207725
3,5,271622
3,6,256535
3,7,229969
3,8,247841
3,9,424925
3,10,204018
3,11,247579
3,12,377313
3,13,229528
3,14,204668
3,15,394409
3,16,195245
3,17,288686
3,18,232237
3,19,352940
3,20,343036
3,21,317812
3,22,208091
3,23,299828
3,24,223589
3,25,284138
3,26,213479
3,27,216638
3,28,275590
3,29,225234
3,30,209866
3,40,1617213
3,50,250453
3,60,223987
3,70,312242
3,80,237886
3,90,237741
3,100,1754941
3,200,212161
3,300,223145
3,400,216029
3,500,198589
3,600,235949
4,1,1559134
4,2,365642
4,3,200410
4,4,224029
4,5,351926
4,6,1383558
4,7,219258
4,8,292937
4,9,226489
4,10,262145
4,11,180961
4,12,271835
4,13,194158
4,14,198981
4,15,321529
4,16,217505
4,17,258933
4,18,1577902
4,19,197317
4,20,233755
4,21,217270
4,22,185959
4,23,202611
4,24,225936
4,25,1590722
4,26,309657
4,27,196201
4,28,445411
4,29,199816
4,30,225822
4,40,1666074
4,50,221919
4,60,203823
4,70,1745290
4,80,188763
4,90,197702
4,100,1569991
4,200,205297
4,300,1439842
4,400,270485
4,500,2154387
4,600,218319
5,1,256160
5,2,1446680
5,3,214307
5,4,255185
5,5,2166629
5,6,240897
5,7,209562
5,8,320889
5,9,259102
5,10,221208
5,11,1694691
5,12,203863
5,13,1412198
5,14,1737911
5,15,190576
5,16,237427
5,17,200663
5,18,221151
5,19,387000
5,20,213648
5,21,220194
5,22,338979
5,23,266838
5,24,207352
5,25,295889
5,26,292538
5,27,218330
5,28,1872815
5,29,205641
5,30,223259
5,40,217286
5,50,220718
5,60,3495520
5,70,275891
5,80,202347
5,90,335622
5,100,285549
5,200,4121466
5,300,264490
5,400,223066
5,500,244607
5,600,178271
6,1,1469632
6,2,633663
6,3,231926
6,4,547706
6,5,1630806
6,6,1547414
6,7,494026
6,8,1451100
6,9,1526066
6,10,307993
6,11,269086
6,12,339585
6,13,1387943
6,14,1538716
6,15,257035
6,16,328178
6,17,1515213
6,18,2619616
6,19,248365
6,20,254481
6,21,1398058
6,22,1455455
6,23,269336
6,24,250397
6,25,1679772
6,26,1596092
6,27,350469
6,28,1620438
6,29,1474903
6,30,420254
6,40,309233
6,50,1401289
6,60,274613
6,70,1847877
6,80,276376
6,90,291961
6,100,282756
6,200,1656656
6,300,249575
6,400,241748
6,500,1818768
6,600,1530313
7,1,298591
7,2,3399490
7,3,242788
7,4,321411
7,5,1538011
7,6,295215
7,7,307144
7,8,259821
7,9,2874970
7,10,266560
7,11,266556
7,12,281788
7,13,1456271
7,14,238983
7,15,1672528
7,16,371012
7,17,257450
7,18,331377
7,19,1881724
7,20,321967
7,21,3953123
7,22,2919278
7,23,311438
7,24,338306
7,25,3621150
7,26,285075
7,27,320104
7,28,232070
7,29,2247918
7,30,1502425
7,40,248972
7,50,339352
7,60,1521562
7,70,284830
7,80,4341879
7,90,262127
7,100,311111
7,200,3607727
7,300,344997
7,400,1593511
7,500,462606
7,600,1514274
8,1,310292
8,2,264812
8,3,244270
8,4,1921941
8,5,330780
8,6,1817369
8,7,299830
8,8,340167
8,9,1634517
8,10,329096
