P2,P1,Time
1,1,6722936
2,1,6052443
3,1,6580558
4,1,7937267
5,1,6828121
6,1,5873105
7,1,7560595
8,1,6952430
9,1,6127996
10,1,8901380
11,1,6899688
12,1,6289989
13,1,6655922
14,1,7967954
15,1,6887809
16,1,6054190
17,1,6338063
18,1,6987264
19,1,6458238
20,1,6456691
21,1,6087629
22,1,6612844
23,1,6984109
24,1,6381939
25,1,6982736
26,1,6434393
27,1,8566200
28,1,6250804
29,1,7241237
30,1,6547935
40,1,5777547
50,1,6461233
60,1,6598882
70,1,7263510
80,1,6219002
90,1,5658247
100,1,26040682
1,2,11553690
2,2,6447662
3,2,8856281
4,2,6938229
5,2,6125005
6,2,6505444
7,2,9855623
8,2,6310764
9,2,6696843
10,2,6492505
11,2,7072551
12,2,5969460
13,2,7127627
14,2,7120617
15,2,5787544
16,2,6124819
17,2,7000212
18,2,6655610
19,2,5931661
20,2,6105747
21,2,7041521
22,2,7444909
23,2,5968255
24,2,5972816
25,2,6258168
26,2,6908066
27,2,6941881
28,2,6053666
29,2,6286989
30,2,7253850
40,2,6273965
50,2,6087548
60,2,9788724
70,2,6533518
80,2,9406119
90,2,10471850
100,2,8157150
1,3,20848016
2,3,8321672
3,3,13523031
4,3,11893199
5,3,12089424
6,3,11939044
7,3,8352229
8,3,12213410
9,3,8631681
10,3,13534635
11,3,8118612
12,3,7687430
13,3,6944046
14,3,6241648
15,3,10926087
16,3,5850318
17,3,5740745
18,3,5941134
19,3,6824486
20,3,6885139
21,3,9371407
22,3,6444393
23,3,6171167
24,3,7051849
25,3,6611357
26,3,6361005
27,3,9132540
28,3,6038203
29,3,7444145
30,3,5811542
40,3,6425069
50,3,7958164
60,3,6990804
70,3,7648859
80,3,6478332
90,3,6364170
100,3,6775762
1,4,7146780
2,4,6934647
3,4,6173191
4,4,10289447
5,4,5798553
6,4,6665743
7,4,5868202
8,4,6616342
9,4,6026709
10,4,7179279
11,4,6416982
12,4,6006775
13,4,7018842
14,4,6826465
15,4,5938063
16,4,7576803
17,4,6217077
18,4,6854702
19,4,6712830
20,4,8688639
21,4,7029679
22,4,9697119
23,4,6515818
24,4,6908739
25,4,7606953
26,4,6035062
27,4,8998856
28,4,6630232
29,4,6213816
30,4,6995012
40,4,5883852
50,4,6931625
60,4,5907804
70,4,9702681
80,4,6708325
90,4,9474272
100,4,6243047
1,5,15391291
2,5,5896805
3,5,6704244
4,5,6948462
5,5,6003160
6,5,5880871
7,5,6512511
8,5,6539667
9,5,5817385
10,5,6088010
11,5,7044481
12,5,6083390
13,5,6398463
14,5,6312370
15,5,8368064
16,5,6356248
17,5,7905984
18,5,5927014
19,5,6400037
20,5,6534788
21,5,5944753
22,5,7720757
23,5,5913074
24,5,7120655
25,5,6302269
26,5,5840003
27,5,7436036
28,5,6159856
29,5,6678245
30,5,7254630
40,5,6126561
50,5,5988451
60,5,6326457
70,5,6084362
80,5,6567680
90,5,7355867
100,5,5993199
1,6,9691721
2,6,8612015
3,6,6159796
4,6,6029769
5,6,6311688
