P2,P1,Time
1,1,24532880
2,1,26191735
3,1,31023301
4,1,19208160
5,1,21129081
6,1,25326988
7,1,21424150
8,1,18745007
9,1,24623688
10,1,23201389
11,1,19289109
12,1,22184136
13,1,24570595
14,1,19058310
15,1,20774842
16,1,23116851
17,1,18834537
18,1,22796842
19,1,18790468
20,1,24218165
21,1,21871516
22,1,18100603
23,1,24169339
24,1,23538642
25,1,18877025
26,1,20509910
27,1,24112712
28,1,19148098
29,1,20232007
30,1,25443633
40,1,22889722
50,1,18597344
60,1,23091783
70,1,20441959
80,1,24607503
90,1,20243509
100,1,18870165
200,1,24368391
300,1,19885568
400,1,24663558
500,1,22371574
600,1,19083611
1,2,31786152
2,2,30099374
3,2,25503472
4,2,19073378
5,2,19625607
6,2,22982030
7,2,18902091
8,2,20132911
9,2,26207174
10,2,22524412
11,2,23927853
12,2,19974388
13,2,26385003
14,2,19532835
15,2,25095365
16,2,18137920
17,2,21970343
18,2,23388321
19,2,19194465
20,2,24518701
21,2,18012754
22,2,21862566
23,2,21234870
24,2,18222332
25,2,24689546
26,2,19016765
27,2,23932967
28,2,21766186
29,2,24622113
30,2,22831677
40,2,18344456
50,2,24103498
60,2,20222796
70,2,24398473
80,2,19439227
90,2,24919898
100,2,18319652
200,2,21388091
300,2,22784300
400,2,19861535
500,2,20464986
600,2,23265600
1,3,25453404
2,3,25383601
3,3,20105637
4,3,19185373
5,3,24018337
6,3,22057844
7,3,18702251
8,3,23138928
9,3,22144835
10,3,18313769
11,3,22907591
12,3,25165459
13,3,18636610
14,3,20813191
15,3,22717456
16,3,20564436
17,3,20553569
18,3,23557283
19,3,21007354
20,3,19174738
21,3,23479211
22,3,19755426
23,3,19787723
24,3,24451312
25,3,21170754
26,3,24995916
27,3,18990972
28,3,19879318
29,3,26110455
30,3,20980761
40,3,19381720
50,3,22904111
60,3,20997753
70,3,23203804
80,3,18912375
90,3,26274036
100,3,19132451
200,3,21869943
300,3,24365763
400,3,21616284
500,3,23182865
600,3,18795600
1,4,36845810
2,4,31752785
3,4,25874390
4,4,20933257
5,4,19732910
6,4,25019057
7,4,20868901
8,4,19845824
9,4,25651915
10,4,24182484
11,4,19163948
12,4,20227474
13,4,24624005
14,4,19170063
15,4,19438330
16,4,23886960
17,4,19956741
18,4,25824942
19,4,19477933
20,4,19884285
21,4,26102518
22,4,21304050
23,4,19834938
24,4,22145743
25,4,23319039
26,4,18103073
27,4,23078856
28,4,21228298
29,4,23777208
30,4,20544824
40,4,26021538
50,4,19770760
60,4,18968309
70,4,23422922
80,4,19083711
90,4,20460908
100,4,23750653
200,4,19855331
300,4,21251977
400,4,26224342
500,4,19947006
600,4,23233893
1,5,31346171
2,5,28734359
3,5,18660361
4,5,22020574
5,5,24985862
6,5,19520153
7,5,26961074
8,5,18892470
9,5,21817357
10,5,23596452
11,5,20348477
12,5,23606203
13,5,19638848
14,5,21779341
15,5,19110513
16,5,27637104
17,5,18446857
18,5,26864291
19,5,18456540
20,5,24795366
21,5,20020320
22,5,22821822
23,5,19411426
24,5,21253310
25,5,23162899
26,5,21747072
27,5,18706456
28,5,24431514
29,5,20573584
30,5,24178009
40,5,19174792
50,5,26728245
60,5,20097619
70,5,25309139
80,5,18693356
90,5,22452312
100,5,19390593
200,5,23340099
300,5,24707578
400,5,19539565
500,5,21257593
600,5,22780724
1,6,25231947
2,6,26488688
3,6,22392738
4,6,24905884
5,6,22853241
6,6,18978062
7,6,27205698
8,6,24059313
9,6,19479848
10,6,19697650
11,6,22830603
12,6,18787071
13,6,22085537
14,6,24793955
15,6,20304284
16,6,23209154
17,6,20359619
18,6,21635057
19,6,22451190
20,6,21333005
21,6,24600799
22,6,19754462
23,6,20333141
24,6,23699085
25,6,19447218
26,6,19911345
27,6,24070733
28,6,18805991
29,6,20304322
30,6,22490472
40,6,19982594
50,6,21111317
60,6,22621478
70,6,19465164
80,6,22835428
90,6,18264798
100,6,25958321
200,6,19437569
300,6,23126174
400,6,20509995
500,6,17638294
600,6,23284957
1,7,30003471
2,7,22498891
3,7,18619192
4,7,25354153
5,7,21136967
6,7,23952867
7,7,20694834
8,7,23494364
9,7,19189898
10,7,19982656
11,7,22596752
12,7,18666830
13,7,19859773
14,7,24080105
15,7,18879977
16,7,24061305
17,7,38910577
18,7,29279041
19,7,24279737
20,7,24580650
21,7,21046180
22,7,19635201
23,7,24235939
24,7,21913371
25,7,23956773
26,7,23966649
27,7,19096043
28,7,25569728
29,7,20074655
30,7,26191740
40,7,24669678
50,7,22024457
60,7,25479462
70,7,20204376
80,7,21146788
90,7,22838332
100,7,20867666
200,7,22459089
300,7,18353601
400,7,23910411
500,7,18156690
600,7,23698887
1,8,26753425
2,8,30075121
3,8,19499075
4,8,22322184
5,8,26008547
6,8,24953291
7,8,18594910
8,8,23125079
9,8,19065076
10,8,25459409
11,8,20147763
12,8,24078355
13,8,21369909
14,8,23534671
15,8,21653557
16,8,19130536
17,8,23824000
18,8,23073616
19,8,18805896
20,8,24615894
21,8,23424357
22,8,19542260
23,8,21530978
24,8,23341044
25,8,21557430
26,8,19648591
27,8,23595402
28,8,19843973
29,8,25074818
30,8,19382429
40,8,20550166
50,8,23674074
60,8,19332277
70,8,20344208
80,8,24395023
90,8,21381300
100,8,19139638
200,8,26894999
300,8,21299464
400,8,23331461
500,8,21335238
600,8,23753014
1,9,33274061
2,9,26690247
3,9,19143232
4,9,23437038
5,9,24341228
6,9,19795663
7,9,20166323
8,9,24059650
9,9,20683102
10,9,19298081
11,9,23873797
12,9,21917250
13,9,24064223
14,9,23120435
15,9,20320030
16,9,24226163
17,9,24565310
18,9,20060626
19,9,21728097
20,9,23506146
21,9,19933814
22,9,24900853
23,9,29444468
24,9,22116783
25,9,21037937
26,9,23135713
27,9,19783728
28,9,19684617
29,9,23555481
30,9,21865553
40,9,18992317
50,9,24451206
60,9,20716559
70,9,23442050
80,9,23445498
90,9,18404484
100,9,23859036
200,9,21215519
300,9,20108414
400,9,22008640
500,9,22978761
600,9,18913603
1,10,30004501
2,10,25608999
3,10,25243916
4,10,20604217
5,10,20099596
6,10,29028867
7,10,19077303
8,10,24357122
9,10,23556322
10,10,20084153
11,10,20959528
12,10,23267356
13,10,20400817
14,10,20689676
15,10,53449520
16,10,46556354
17,10,51826064
18,10,51049982
19,10,48591084
20,10,46546620
21,10,35053186
22,10,38447267
23,10,37860199
24,10,31194269
25,10,33876980
26,10,30752268
27,10,31335887
28,10,30106417
29,10,29471421
30,10,31262684
40,10,28478418
50,10,29200985
60,10,27653414
70,10,31381061
80,10,27366848
90,10,26960362
100,10,24410802
200,10,26046583
300,10,25367929
400,10,23975461
500,10,22751073
600,10,32302157
1,11,39944609
2,11,27519266
3,11,23282942
4,11,18815268
5,11,26242194
6,11,27224620
7,11,26348054
8,11,19588909
9,11,20964453
10,11,25624255
11,11,23214650
12,11,20571180
13,11,24507286
14,11,24656209
15,11,21255964
16,11,19703525
17,11,26509040
18,11,21120786
19,11,27064682
20,11,19967110
21,11,23840750
